,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item
0,2019-01-01,5.0,Holiday,,,,,
1,2019-01-02,0.58,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
2,2019-01-02,0.58,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
3,2019-01-02,0.5,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
4,2019-01-03,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
5,2019-01-03,0.25,Susan L Wootan Architect,18374 - Nixon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
6,2019-01-03,0.58,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
7,2019-01-03,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
8,2019-01-04,0.42,Susan L Wootan Architect,18374 - Nixon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
9,2019-01-04,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
10,2019-01-04,1.0,Lunch Break,,,,,
11,2019-01-04,0.58,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
12,2019-01-04,1.92,Susan L Wootan Architect,18375 - Lee Egan Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
13,2019-01-04,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
14,2019-01-08,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
15,2019-01-08,0.25,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
16,2019-01-08,0.25,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
17,2019-01-08,0.5,Susan L Wootan Architect,18375 - Lee Egan Residence,Project Coordination,No,Residential,Energy Code Compliance Work
18,2019-01-08,0.25,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
19,2019-01-08,0.42,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
20,2019-01-09,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
21,2019-01-09,0.5,Susan L Wootan Architect,18375 - Lee Egan Residence,Project Coordination,No,Residential,Energy Code Compliance Work
22,2019-01-09,0.33,Susan L Wootan Architect,18375 - Lee Egan Residence,Project Coordination,No,Residential,Energy Code Compliance Work
23,2019-01-09,0.33,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
24,2019-01-09,0.33,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
25,2019-01-10,0.17,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
26,2019-01-10,0.92,"Jason Kaldis Architect, Inc.",18383 - Engwall Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
27,2019-01-10,0.33,"Jason Kaldis Architect, Inc.",18383 - Engwall Residence,Project Coordination,No,Residential,Energy Code Compliance Work
28,2019-01-11,0.25,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
