,local_date,hours,jobcode_1,jobcode_2,activities,billable,class,service item,has_flags,flag_types,emp_name,salary
0,2019-01-02,1.0,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
1,2019-01-02,2.0,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
2,2019-01-02,3.0,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
3,2019-01-03,0.42,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
4,2019-01-03,9.58,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
5,2019-01-04,0.5,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
6,2019-01-04,1.0,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31814: Weekly/Monthly Check Ins: Weekly meeting with managers, instructor calls, etc.",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
7,2019-01-04,1.0,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
8,2019-01-04,1.67,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
9,2019-01-04,0.33,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
10,2019-01-04,8.5,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
11,2019-01-06,0.92,@ Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead,,,EMP_6,1
12,2019-01-06,5.5,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31802: Conference/Presentation Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
13,2019-01-07,2.0,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
14,2019-01-07,2.0,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31802: Conference/Presentation Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
15,2019-01-07,0.42,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
16,2019-01-07,1.17,"2050 Partners, Inc.",18327 Code Readiness MultiFamily,S11801: Initial MF Code Ready - 2050,Yes,Utilities:Other Utilities,Sub - 2050,,,EMP_6,1
