,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item,emp_name,salary,activities,has_flags,flag_types
0,2019-01-01 00:00:00,8.0,Holiday,,,,,,EMP_1,1,,,
1,2019-01-02 00:00:00,1.75,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
2,2019-01-02 00:00:00,1.08,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
3,2019-01-02 00:00:00,1.58,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
4,2019-01-02 00:00:00,1.25,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
5,2019-01-03 00:00:00,2.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
6,2019-01-03 00:00:00,0.67,Lunch Break,,,,,,EMP_1,1,,,
7,2019-01-03 00:00:00,0.33,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
8,2019-01-03 00:00:00,0.58,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services,EMP_1,1,,,
9,2019-01-03 00:00:00,0.17,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
10,2019-01-03 00:00:00,0.92,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services,EMP_1,1,,,
11,2019-01-03 00:00:00,0.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
12,2019-01-04 00:00:00,0.83,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
13,2019-01-04 00:00:00,0.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
14,2019-01-04 00:00:00,1.58,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services,EMP_1,1,,,
15,2019-01-04 00:00:00,0.5,Lunch Break,,,,,,EMP_1,1,,,
16,2019-01-04 00:00:00,1.25,BDE Architecture Inc.,18247 Windy Hill Multifamily,Meeting,No,Nonresidential,Meetings,EMP_1,1,,,
17,2019-01-04 00:00:00,0.08,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services,EMP_1,1,,,
18,2019-01-04 00:00:00,0.33,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
19,2019-01-04 00:00:00,0.67,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services,EMP_1,1,,,
20,2019-01-04 00:00:00,1.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
21,2019-01-04 00:00:00,2.0,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
22,2019-01-05 00:00:00,0.17,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services,EMP_1,1,,,
23,2019-01-05 00:00:00,0.75,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
24,2019-01-06 00:00:00,1.92,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services,EMP_1,1,,,
25,2019-01-06 00:00:00,0.5,Lunch Break,,,,,,EMP_1,1,,,
26,2019-01-06 00:00:00,4.33,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,Yes,Nonresidential,Extra Services,EMP_1,1,,,
27,2019-01-07 00:00:00,0.17,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
28,2019-01-07 00:00:00,1.75,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Extra Services,EMP_1,1,,,
29,2019-01-07 00:00:00,0.17,Rest Break,,,,,,EMP_1,1,,,
30,2019-01-07 00:00:00,1.08,Lunch Break,,,,,,EMP_1,1,,,
31,2019-01-07 00:00:00,0.33,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
32,2019-01-07 00:00:00,0.33,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Extra Services,EMP_1,1,,,
33,2019-01-07 00:00:00,0.17,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
34,2019-01-07 00:00:00,1.83,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Extra Services,EMP_1,1,,,
35,2019-01-07 00:00:00,0.08,Rest Break,,,,,,EMP_1,1,,,
36,2019-01-07 00:00:00,1.17,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Extra Services,EMP_1,1,,,
37,2019-01-07 00:00:00,0.17,Rest Break,,,,,,EMP_1,1,,,
38,2019-01-07 00:00:00,0.25,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Extra Services,EMP_1,1,,,
39,2019-01-07 00:00:00,0.33,HOMEOWNER,18366 Williamette Addition [Larry Downer],Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
40,2019-01-08 00:00:00,0.17,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
