year,,Butterfinger,100 Grand Bar,Anonymous brown globs that come in black and orange wrappers,Any full-sized candy bar,Black Jacks,Bottle Caps,Box'o'Raisins,Cadbury Creme Eggs,Candy Corn,"Vials of pure high fructose corn syrup, for main-lining into your vein",Candy that is clearly just the stuff given out for free at restaurants,"Cash, or other forms of legal tender",Chiclets,Caramellos,Snickers,Hershey's Dark Chocolate,Dental paraphenalia,Dots,Fuzzy Peaches,Generic Brand Acetaminophen,Glow sticks,Broken glow stick,Goo Goo Clusters,Good N' Plenty,Gum from baseball cards,Gummy Bears straight up,Creepy Religious comics/Chick Tracts,Healthy Fruit,Heath Bar,Hershey's Kisses,Hershey’s Milk Chocolate,Hugs (actual physical hugs),Jolly Rancher (bad flavor),Jolly Ranchers (good flavor),Kale smoothie,Kinder Happy Hippo,Kit Kat,Hard Candy,LemonHeads,Licorice (not black),Lindt Truffle,Lollipops,Mars,Mary Janes,Maynards,Milk Duds,LaffyTaffy,Minibags of chips,Reggie Jackson Bar,Pixy Stix,Nerds,Nestle Crunch,Now'n'Laters,Pencils,Milky Way,Reese’s Peanut Butter Cups,Tolberone something or other,Junior Mints,Senior Mints,Mint Kisses,Mint Juleps,Peanut M&M’s,Regular M&Ms,Rolos,Skittles,Smarties (American),Smarties (Commonwealth),Chick-o-Sticks (we don’t know what that is),Spotted Dick,Starburst,Swedish Fish,Those odd marshmallow circus peanut things,Three Musketeers,Trail Mix,Twix,Vicodin,White Bread,Whole Wheat anything,York Peppermint Patties,Necco Wafers
2015,Joy,4129,3431,551,4978,339,2062,583,3079,2068,814,228,4373,1420,3277,4673,3651,360,1876,1471,547,2665,102,1252,1352,280,2947,512,965,3308,3039,3551,1152,662,3266,300,1375,4840,1500,2696,943,4014,2297,3410,1120,562,3102,2343,2058,755,2435,3549,4177,1828,590,4056,4874,3971,3393,659,1791,2301,4300,4258,3971,3733,2921,1644,888,294,3672,2890,809,3780,1204,4651,2506,268,444,3604,1388
2015,Meh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Despair,1118,1543,4781,375,4300,2972,4643,2173,3168,4255,5036,954,3702,1756,667,1609,4934,3261,3504,4551,2505,5178,3478,3695,4906,2253,4783,4165,1844,1963,1600,3975,4534,1961,4903,3338,500,3484,2394,853,1181,2717,1606,3558,3854,2024,2679,2925,3665,2616,1648,1005,3035,4454,1109,499,1174,1795,3996,3002,2634,1001,974,1188,1443,2237,2985,3657,4417,1482,2221,4301,1351,3739,610,2486,4695,4503,1562,3559
2015,No Response,340,613,255,234,948,553,361,335,351,518,323,260,465,554,247,327,293,450,612,489,417,307,857,540,401,387,292,457,435,585,436,460,391,360,384,874,247,603,497,2585,392,573,571,909,1171,461,565,604,1167,536,390,405,724,543,422,214,442,399,932,794,652,286,355,428,411,429,958,1042,876,433,476,477,456,644,326,595,624,640,421,640
2016,Joy,787,548,96,1052,76,321,103,533,348,158,31,1002,144,600,919,732,94,254,275,131,498,22,258,303,33,501,238,188,691,549,563,316,69,504,85,302,965,189,416,0,883,254,690,192,85,536,302,355,190,372,541,752,236,161,789,997,885,655,120,410,622,865,721,766,600,509,376,177,107,537,495,151,702,217,926,503,27,81,732,256
2016,Meh,305,552,277,175,467,467,372,412,411,198,306,181,524,437,217,358,205,444,393,312,439,102,466,390,207,392,85,510,355,519,493,311,443,463,148,349,227,617,486,0,246,639,421,484,486,463,495,526,468,478,431,380,510,345,354,144,254,367,361,444,243,245,426,320,423,405,451,435,240,474,399,183,371,488,211,217,175,256,304,395
2016,Despair,144,81,860,15,513,392,755,293,483,788,894,54,538,143,87,145,928,499,469,748,286,1102,359,489,973,331,890,527,159,171,185,595,714,258,950,393,45,422,277,0,79,329,98,389,426,210,403,335,355,353,239,86,384,701,84,91,83,196,566,333,260,124,85,126,203,298,269,436,735,209,309,855,141,506,87,445,979,846,171,529
2016,No Response,20,75,23,14,200,76,26,18,14,112,25,19,50,76,33,21,29,59,119,65,33,30,173,74,43,32,43,31,51,17,15,34,30,31,73,212,19,28,77,1256,48,34,47,191,259,47,56,40,243,53,45,38,126,49,29,24,34,38,209,69,131,22,24,44,30,44,160,208,174,36,53,67,42,45,32,91,75,73,49,76
2017,Joy,1177,873,176,1559,92,465,117,820,478,233,39,1439,244,953,1399,1105,91,410,402,162,612,24,409,408,44,748,246,228,1069,834,896,433,98,747,108,503,1447,272,670,0,1277,364,1026,1026,148,878,450,537,254,543,769,1188,361,181,1185,1498,1320,1020,151,619,904,1291,1122,1151,829,729,539,299,128,853,754,189,1058,228,1413,707,44,117,1105,353
2017,Meh,460,755,461,212,617,670,476,562,561,289,405,276,744,592,292,507,244,657,559,391,703,105,708,576,238,584,104,683,466,726,667,425,607,638,173,442,287,907,690,0,367,931,587,587,709,639,729,759,706,649,609,472,725,494,485,188,350,496,472,644,332,377,588,455,604,581,605,571,310,615,542,283,518,688,286,241,204,307,418,558
2017,Despair,141,85,1089,17,793,560,1179,395,743,1146,1325,65,761,163,79,175,1433,664,676,1176,448,1625,464,742,1462,431,1406,855,213,222,225,889,1061,380,1435,570,52,586,370,0,98,474,122,122,579,250,545,440,486,546,359,102,557,1076,102,95,84,246,895,421,413,121,75,140,321,425,415,644,1140,299,449,1252,176,836,71,723,1455,1289,232,805
2017,No Response,25,90,77,15,301,108,31,26,21,135,34,23,54,95,33,16,35,72,166,74,40,49,222,77,59,40,47,37,55,21,15,56,37,38,87,288,17,38,73,1803,61,34,68,68,367,36,79,67,357,65,66,41,160,52,31,22,49,41,285,119,154,14,18,57,49,68,244,289,225,36,58,79,51,51,33,132,100,90,48,87
