year,timestamp,Butterfinger,100 Grand Bar,Anonymous brown globs that come in black and orange wrappers,Any full-sized candy bar,Black Jacks,Bottle Caps,Box'o'Raisins,Cadbury Creme Eggs,Candy Corn,"Vials of pure high fructose corn syrup, for main-lining into your vein",Candy that is clearly just the stuff given out for free at restaurants,"Cash, or other forms of legal tender",Chiclets,Caramellos,Snickers,Hershey's Dark Chocolate,Dental paraphenalia,Dots,Fuzzy Peaches,Generic Brand Acetaminophen,Glow sticks,Broken glow stick,Goo Goo Clusters,Good N' Plenty,Gum from baseball cards,Gummy Bears straight up,Creepy Religious comics/Chick Tracts,Healthy Fruit,Heath Bar,Hershey's Kisses,Hershey’s Milk Chocolate,Hugs (actual physical hugs),Jolly Rancher (bad flavor),Jolly Ranchers (good flavor),Kale smoothie,Kinder Happy Hippo,Kit Kat,Hard Candy,LemonHeads,Licorice (not black),Lindt Truffle,Lollipops,Mars,Mary Janes,Maynards,Milk Duds,LaffyTaffy,Minibags of chips,Reggie Jackson Bar,Pixy Stix,Nerds,Nestle Crunch,Now'n'Laters,Pencils,Milky Way,Reese’s Peanut Butter Cups,Tolberone something or other,Junior Mints,Senior Mints,Mint Kisses,Mint Juleps,Peanut M&M’s,Regular M&Ms,Rolos,Skittles,Smarties (American),Smarties (Commonwealth),Chick-o-Sticks (we don’t know what that is),Spotted Dick,Starburst,Swedish Fish,Those odd marshmallow circus peanut things,Three Musketeers,Trail Mix,Twix,Vicodin,White Bread,Whole Wheat anything,York Peppermint Patties,Necco Wafers
2015,2015-10-23 08:46:20.451000,1,0,2,1,0,0,0,2,0,2,2,1,0,0,1,1,2,1,2,2,2,2,0,2,2,2,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2015-10-23 08:46:51.583000,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,2,0,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,2
2015,2015-10-23 08:47:34.285000,2,2,2,1,2,2,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,1,2
2015,2015-10-23 08:47:58.964000,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,2,2,2,2
2015,2015-10-23 08:48:11.719000,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
2015,2015-10-23 08:49:06.808000,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,1,1
2015,2015-10-23 08:50:08.918000,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,1,2,2,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,3,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,1,2
2015,2015-10-23 08:52:14.267000,2,1,2,0,0,1,0,2,0,2,2,1,1,1,1,0,1,0,1,0,1,2,1,2,2,1,2,1,1,1,1,2,1,1,2,0,1,1,1,2,1,2,1,2,0,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,2,1,1,1,0,2,2,1,1
2015,2015-10-23 08:52:22.112000,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2015,2015-10-23 08:53:30.967000,1,1,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,1,2,1,2,2,2,1,1
2015,2015-10-23 08:54:15.203000,1,1,2,1,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2,1,2,1,2,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,1,2
2015,2015-10-23 08:54:15.681000,1,1,1,1,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2
2015,2015-10-23 08:54:56.285000,1,1,2,1,2,2,2,1,0,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,3,1,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2
2015,2015-10-23 08:55:00.636000,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,0,2,1,1,0,1,2,2,2,2,2,2,1,1,1,0,1,1,2,2,1,2
2015,2015-10-23 08:55:06.747000,1,0,2,0,0,0,2,1,1,0,2,0,2,1,1,0,2,0,0,0,1,2,0,2,2,2,2,2,1,0,0,1,2,0,2,0,1,0,0,1,0,0,2,0,0,2,2,0,0,1,2,0,0,2,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
2015,2015-10-23 08:56:20.786000,2,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1
2015,2015-10-23 08:56:25.807000,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,0,1,2
2015,2015-10-23 08:57:21.991000,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,2,2,1,0,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,2,1,2,1,2,1,2,2,2,1,2
2015,2015-10-23 08:57:58.258000,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,1,2,2,2,0,2,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,0,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1
2015,2015-10-23 08:58:14.319000,1,1,2,1,2,1,2,2,2,2,2,1,2,1,1,1,2,0,2,2,1,1,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,1,1,0,2,1,2,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,0,1,1,0,0,2,1,0,2,2,1,1,1,1,1,2,2
2015,2015-10-23 08:58:41.946000,1,1,2,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,0,2,2,2,2,1,2,1,2,2,2,0,2,1,2,1,3,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,0,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1
2015,2015-10-23 08:59:19.520000,1,2,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,3,1,0,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,1,2
2015,2015-10-23 08:59:39.470000,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
