,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
0,Santa Clara,151.0,6.0,151,6,2020-03-18T00:00:00
18089,Plumas,0.0,0.0,0,0,2020-03-18T00:00:00
8087,El Dorado,0.0,0.0,0,0,2020-03-18T00:00:00
7764,Mariposa,0.0,0.0,0,0,2020-03-18T00:00:00
7442,Trinity,0.0,0.0,0,0,2020-03-18T00:00:00
16793,Del Norte,0.0,0.0,0,0,2020-03-18T00:00:00
7117,Ventura,11.0,0.0,11,0,2020-03-18T00:00:00
3565,Orange,38.0,0.0,38,0,2020-03-18T00:00:00
1298,Sierra,0.0,0.0,0,0,2020-03-18T00:00:00
14525,Sacramento,46.0,3.0,46,3,2020-03-18T00:00:00
18413,Amador,0.0,0.0,0,0,2020-03-18T00:00:00
14849,Merced,0.0,0.0,0,0,2020-03-18T00:00:00
6792,San Joaquin,14.0,2.0,14,2,2020-03-18T00:00:00
19061,Yolo,4.0,0.0,4,0,2020-03-18T00:00:00
15173,Kings,0.0,0.0,0,0,2020-03-18T00:00:00
6477,Inyo,0.0,0.0,0,0,2020-03-18T00:00:00
651,Santa Barbara,2.0,0.0,2,0,2020-03-18T00:00:00
6151,Fresno,3.0,0.0,3,0,2020-03-18T00:00:00
3889,Mono,0.0,0.0,0,0,2020-03-18T00:00:00
975,Tuolumne,0.0,0.0,0,0,2020-03-18T00:00:00
5825,Mendocino,0.0,0.0,0,0,2020-03-18T00:00:00
15497,Kern,1.0,0.0,1,0,2020-03-18T00:00:00
13877,Napa,0.0,0.0,0,0,2020-03-18T00:00:00
3239,San Francisco,65.0,0.0,65,0,2020-03-18T00:00:00
8411,Sonoma,6.0,0.0,6,0,2020-03-18T00:00:00
13553,Sutter,0.0,0.0,0,0,2020-03-18T00:00:00
11638,San Diego,40.0,0.0,40,0,2020-03-18T00:00:00
11313,Marin,10.0,0.0,10,0,2020-03-18T00:00:00
17441,Stanislaus,5.0,0.0,5,0,2020-03-18T00:00:00
12262,Glenn,0.0,0.0,0,0,2020-03-18T00:00:00
10989,Alameda,29.0,0.0,29,0,2020-03-18T00:00:00
10664,San Benito,3.0,0.0,3,0,2020-03-18T00:00:00
10338,Tulare,3.0,0.0,3,0,2020-03-18T00:00:00
2592,Monterey,1.0,0.0,1,0,2020-03-18T00:00:00
1943,San Luis Obispo,5.0,0.0,5,0,2020-03-18T00:00:00
12586,Siskiyou,0.0,0.0,0,0,2020-03-18T00:00:00
5499,Santa Cruz,11.0,0.0,11,0,2020-03-18T00:00:00
12910,Madera,2.0,0.0,2,0,2020-03-18T00:00:00
9707,Lake,0.0,0.0,0,0,2020-03-18T00:00:00
13234,Tehama,0.0,0.0,0,0,2020-03-18T00:00:00
9383,Colusa,0.0,0.0,0,0,2020-03-18T00:00:00
2917,Yuba,0.0,0.0,0,0,2020-03-18T00:00:00
17765,Humboldt,1.0,0.0,1,0,2020-03-18T00:00:00
17117,San Bernardino,3.0,0.0,3,0,2020-03-18T00:00:00
9059,Lassen,0.0,0.0,0,0,2020-03-18T00:00:00
1619,Placer,8.0,1.0,8,1,2020-03-18T00:00:00
8735,Shasta,1.0,0.0,1,0,2020-03-18T00:00:00
18737,Imperial,2.0,0.0,2,0,2020-03-18T00:00:00
324,San Mateo,57.0,1.0,57,1,2020-03-18T00:00:00
15821,Riverside,11.0,2.0,11,2,2020-03-18T00:00:00
14201,Los Angeles,47.0,0.0,47,0,2020-03-18T00:00:00
2267,Solano,26.0,0.0,26,0,2020-03-18T00:00:00
4849,Nevada,2.0,0.0,2,0,2020-03-18T00:00:00
4212,Calaveras,2.0,0.0,2,0,2020-03-18T00:00:00
16145,Unassigned,21.0,0.0,21,0,2020-03-18T00:00:00
5174,Butte,0.0,0.0,0,0,2020-03-18T00:00:00
16469,Contra Costa,44.0,0.0,44,0,2020-03-18T00:00:00
6793,San Joaquin,15.0,2.0,1,0,2020-03-19T00:00:00
13554,Sutter,0.0,0.0,0,0,2020-03-19T00:00:00
13878,Napa,0.0,0.0,0,0,2020-03-19T00:00:00
18090,Plumas,0.0,0.0,0,0,2020-03-19T00:00:00
2268,Solano,26.0,0.0,0,0,2020-03-19T00:00:00
14202,Los Angeles,233.0,0.0,186,0,2020-03-19T00:00:00
8088,El Dorado,0.0,0.0,0,0,2020-03-19T00:00:00
7765,Mariposa,0.0,0.0,0,0,2020-03-19T00:00:00
7443,Trinity,0.0,0.0,0,0,2020-03-19T00:00:00
4213,Calaveras,2.0,0.0,0,0,2020-03-19T00:00:00
16146,Unassigned,13.0,0.0,-8,0,2020-03-19T00:00:00
16794,Del Norte,0.0,0.0,0,0,2020-03-19T00:00:00
8412,Sonoma,8.0,0.0,2,0,2020-03-19T00:00:00
7118,Ventura,15.0,0.0,4,0,2020-03-19T00:00:00
3566,Orange,59.0,0.0,21,0,2020-03-19T00:00:00
1299,Sierra,0.0,0.0,0,0,2020-03-19T00:00:00
14526,Sacramento,52.0,3.0,6,0,2020-03-19T00:00:00
18414,Amador,0.0,0.0,0,0,2020-03-19T00:00:00
14850,Merced,0.0,0.0,0,0,2020-03-19T00:00:00
19062,Yolo,5.0,0.0,1,0,2020-03-19T00:00:00
6478,Inyo,0.0,0.0,0,0,2020-03-19T00:00:00
18738,Imperial,2.0,0.0,0,0,2020-03-19T00:00:00
16470,Contra Costa,46.0,0.0,2,0,2020-03-19T00:00:00
1,Santa Clara,183.0,8.0,32,2,2020-03-19T00:00:00
11639,San Diego,68.0,0.0,28,0,2020-03-19T00:00:00
11314,Marin,19.0,0.0,9,0,2020-03-19T00:00:00
17442,Stanislaus,7.0,0.0,2,0,2020-03-19T00:00:00
12263,Glenn,0.0,0.0,0,0,2020-03-19T00:00:00
10990,Alameda,36.0,0.0,7,0,2020-03-19T00:00:00
10665,San Benito,3.0,0.0,0,0,2020-03-19T00:00:00
10339,Tulare,3.0,0.0,0,0,2020-03-19T00:00:00
2593,Monterey,3.0,0.0,2,0,2020-03-19T00:00:00
1944,San Luis Obispo,6.0,0.0,1,0,2020-03-19T00:00:00
12587,Siskiyou,0.0,0.0,0,0,2020-03-19T00:00:00
12911,Madera,3.0,0.0,1,0,2020-03-19T00:00:00
325,San Mateo,58.0,1.0,1,0,2020-03-19T00:00:00
9708,Lake,0.0,0.0,0,0,2020-03-19T00:00:00
4850,Nevada,2.0,0.0,0,0,2020-03-19T00:00:00
9384,Colusa,0.0,0.0,0,0,2020-03-19T00:00:00
2918,Yuba,0.0,0.0,0,0,2020-03-19T00:00:00
13235,Tehama,0.0,0.0,0,0,2020-03-19T00:00:00
17766,Humboldt,1.0,0.0,0,0,2020-03-19T00:00:00
17118,San Bernardino,7.0,0.0,4,0,2020-03-19T00:00:00
9060,Lassen,0.0,0.0,0,0,2020-03-19T00:00:00
1620,Placer,8.0,1.0,0,0,2020-03-19T00:00:00
8736,Shasta,1.0,0.0,0,0,2020-03-19T00:00:00
5175,Butte,0.0,0.0,0,0,2020-03-19T00:00:00
15174,Kings,0.0,0.0,0,0,2020-03-19T00:00:00
3240,San Francisco,80.0,0.0,15,0,2020-03-19T00:00:00
5826,Mendocino,1.0,0.0,1,0,2020-03-19T00:00:00
15822,Riverside,14.0,3.0,3,1,2020-03-19T00:00:00
3890,Mono,0.0,0.0,0,0,2020-03-19T00:00:00
6152,Fresno,6.0,0.0,3,0,2020-03-19T00:00:00
652,Santa Barbara,5.0,0.0,3,0,2020-03-19T00:00:00
