,race_ethnicity,cases,case_percentage,deaths,death_percentage,percent_ca_population,date
0,Latino,5276,35.99,170,28.38,38.9,2020-04-13T00:00:00
128,Multiracial,268,1.83,8,1.34,2.2,2020-04-13T00:00:00
160,American Indian or Alaska Native,33,0.23,3,0.5,0.5,2020-04-13T00:00:00
96,Black,1030,7.03,61,10.18,6.0,2020-04-13T00:00:00
64,Asian,1902,12.97,98,16.36,15.4,2020-04-13T00:00:00
192,Native Hawaiian or Pacific Islander,243,1.66,4,0.67,0.3,2020-04-13T00:00:00
32,White,4639,31.64,246,41.07,36.6,2020-04-13T00:00:00
224,Other,1269,8.66,9,1.5,0.0,2020-04-13T00:00:00
97,Black,1107,6.96,79,11.57,6.0,2020-04-14T00:00:00
161,American Indian or Alaska Native,33,0.21,3,0.44,0.5,2020-04-14T00:00:00
129,Multiracial,303,1.91,9,1.32,2.2,2020-04-14T00:00:00
193,Native Hawaiian or Pacific Islander,252,1.59,6,0.88,0.3,2020-04-14T00:00:00
33,White,4939,31.07,264,38.65,36.6,2020-04-14T00:00:00
225,Other,1306,8.22,16,2.34,0.0,2020-04-14T00:00:00
65,Asian,2045,12.87,103,15.08,15.4,2020-04-14T00:00:00
1,Latino,5910,37.18,203,29.72,38.9,2020-04-14T00:00:00
130,Multiracial,329,1.93,10,1.31,2.2,2020-04-15T00:00:00
194,Native Hawaiian or Pacific Islander,262,1.54,9,1.18,0.3,2020-04-15T00:00:00
162,American Indian or Alaska Native,32,0.19,3,0.39,0.5,2020-04-15T00:00:00
98,Black,1176,6.91,87,11.43,6.0,2020-04-15T00:00:00
34,White,5239,30.79,286,37.58,36.6,2020-04-15T00:00:00
2,Latino,6433,37.8,226,29.7,38.9,2020-04-15T00:00:00
226,Other,1385,8.14,18,2.37,0.0,2020-04-15T00:00:00
66,Asian,2161,12.7,122,16.03,15.4,2020-04-15T00:00:00
3,Latino,7013,38.51,254,29.85,38.9,2020-04-16T00:00:00
67,Asian,2361,12.96,135,15.86,15.4,2020-04-16T00:00:00
227,Other,1414,7.76,18,2.12,0.0,2020-04-16T00:00:00
131,Multiracial,362,1.99,11,1.29,2.2,2020-04-16T00:00:00
195,Native Hawaiian or Pacific Islander,279,1.53,12,1.41,0.3,2020-04-16T00:00:00
163,American Indian or Alaska Native,34,0.19,4,0.47,0.5,2020-04-16T00:00:00
99,Black,1244,6.83,103,12.1,6.0,2020-04-16T00:00:00
35,White,5504,30.22,314,36.9,36.6,2020-04-16T00:00:00
4,Latino,7627,39.41,281,30.58,38.9,2020-04-17T00:00:00
132,Multiracial,376,1.94,11,1.2,2.2,2020-04-17T00:00:00
164,American Indian or Alaska Native,38,0.2,4,0.44,0.5,2020-04-17T00:00:00
36,White,5757,29.75,333,36.24,36.6,2020-04-17T00:00:00
100,Black,1312,6.78,110,11.97,6.0,2020-04-17T00:00:00
196,Native Hawaiian or Pacific Islander,290,1.5,13,1.41,0.3,2020-04-17T00:00:00
68,Asian,2489,12.86,147,16.0,15.4,2020-04-17T00:00:00
228,Other,1463,7.56,20,2.18,0.0,2020-04-17T00:00:00
197,Native Hawaiian or Pacific Islander,304,1.49,14,1.39,0.3,2020-04-18T00:00:00
165,American Indian or Alaska Native,39,0.19,4,0.4,0.5,2020-04-18T00:00:00
69,Asian,2605,12.81,162,16.12,15.4,2020-04-18T00:00:00
5,Latino,8195,40.28,314,31.24,38.9,2020-04-18T00:00:00
101,Black,1376,6.76,120,11.94,6.0,2020-04-18T00:00:00
229,Other,1489,7.32,23,2.29,0.0,2020-04-18T00:00:00
37,White,5945,29.22,357,35.52,36.6,2020-04-18T00:00:00
133,Multiracial,390,1.92,11,1.09,2.2,2020-04-18T00:00:00
102,Black,1414,6.8,125,12.03,6.0,2020-04-19T00:00:00
198,Native Hawaiian or Pacific Islander,310,1.49,14,1.35,0.3,2020-04-19T00:00:00
70,Asian,2635,12.67,169,16.27,15.4,2020-04-19T00:00:00
6,Latino,8397,40.37,326,31.38,38.9,2020-04-19T00:00:00
166,American Indian or Alaska Native,40,0.19,4,0.38,0.5,2020-04-19T00:00:00
134,Multiracial,398,1.91,13,1.25,2.2,2020-04-19T00:00:00
38,White,6051,29.09,368,35.42,36.6,2020-04-19T00:00:00
230,Other,1555,7.48,20,1.92,0.0,2020-04-19T00:00:00
71,Asian,2741,12.22,175,16.14,15.4,2020-04-20T00:00:00
199,Native Hawaiian or Pacific Islander,315,1.4,14,1.29,0.3,2020-04-20T00:00:00
39,White,6257,27.89,388,35.79,36.6,2020-04-20T00:00:00
103,Black,1479,6.59,130,11.99,6.0,2020-04-20T00:00:00
135,Multiracial,876,3.9,16,1.48,2.2,2020-04-20T00:00:00
231,Other,1632,7.27,20,1.85,0.0,2020-04-20T00:00:00
7,Latino,9090,40.52,337,31.09,38.9,2020-04-20T00:00:00
167,American Indian or Alaska Native,43,0.19,4,0.37,0.5,2020-04-20T00:00:00
168,American Indian or Alaska Native,50,0.21,4,0.34,0.5,2020-04-21T00:00:00
104,Black,1630,6.89,138,11.79,6.0,2020-04-21T00:00:00
136,Multiracial,189,0.8,3,0.26,2.2,2020-04-21T00:00:00
72,Asian,3020,12.77,206,17.61,15.4,2020-04-21T00:00:00
200,Native Hawaiian or Pacific Islander,336,1.42,14,1.2,0.3,2020-04-21T00:00:00
232,Other,1735,7.34,24,2.05,0.0,2020-04-21T00:00:00
40,White,6982,29.53,417,35.64,36.6,2020-04-21T00:00:00
8,Latino,9701,41.03,364,31.11,38.9,2020-04-21T00:00:00
9,Latino,10385,42.05,406,32.04,38.9,2020-04-22T00:00:00
233,Other,1698,6.88,23,1.82,0.0,2020-04-22T00:00:00
137,Multiracial,201,0.81,3,0.24,2.2,2020-04-22T00:00:00
105,Black,1682,6.81,149,11.76,6.0,2020-04-22T00:00:00
169,American Indian or Alaska Native,53,0.21,5,0.39,0.5,2020-04-22T00:00:00
41,White,7206,29.18,442,34.89,36.6,2020-04-22T00:00:00
201,Native Hawaiian or Pacific Islander,339,1.37,15,1.18,0.3,2020-04-22T00:00:00
73,Asian,3133,12.69,224,17.68,15.4,2020-04-22T00:00:00
42,White,7422,28.86,485,34.97,36.6,2020-04-23T00:00:00
74,Asian,3241,12.6,237,17.09,15.4,2020-04-23T00:00:00
10,Latino,10964,42.63,447,32.23,38.9,2020-04-23T00:00:00
202,Native Hawaiian or Pacific Islander,347,1.35,16,1.15,0.3,2020-04-23T00:00:00
106,Black,1750,6.81,157,11.32,6.0,2020-04-23T00:00:00
234,Other,1731,6.73,35,2.52,0.0,2020-04-23T00:00:00
170,American Indian or Alaska Native,53,0.21,7,0.5,0.5,2020-04-23T00:00:00
138,Multiracial,208,0.81,3,0.22,2.2,2020-04-23T00:00:00
75,Asian,3357,12.51,250,17.05,15.4,2020-04-24T00:00:00
11,Latino,11630,43.35,476,32.47,38.9,2020-04-24T00:00:00
203,Native Hawaiian or Pacific Islander,357,1.33,17,1.16,0.3,2020-04-24T00:00:00
171,American Indian or Alaska Native,56,0.21,7,0.48,0.5,2020-04-24T00:00:00
107,Black,1801,6.71,165,11.26,6.0,2020-04-24T00:00:00
235,Other,1794,6.69,35,2.39,0.0,2020-04-24T00:00:00
139,Multiracial,217,0.81,4,0.27,2.2,2020-04-24T00:00:00
43,White,7618,28.39,512,34.92,36.6,2020-04-24T00:00:00
108,Black,1839,6.67,170,11.02,6.0,2020-04-25T00:00:00
140,Multiracial,225,0.82,4,0.26,2.2,2020-04-25T00:00:00
12,Latino,12092,43.85,502,32.56,38.9,2020-04-25T00:00:00
44,White,7739,28.07,536,34.76,36.6,2020-04-25T00:00:00
204,Native Hawaiian or Pacific Islander,359,1.3,17,1.1,0.3,2020-04-25T00:00:00
76,Asian,3438,12.47,266,17.25,15.4,2020-04-25T00:00:00
172,American Indian or Alaska Native,58,0.21,7,0.45,0.5,2020-04-25T00:00:00
236,Other,1824,6.61,40,2.59,0.0,2020-04-25T00:00:00
45,White,7885,27.89,543,34.59,36.6,2020-04-26T00:00:00
205,Native Hawaiian or Pacific Islander,368,1.3,18,1.15,0.3,2020-04-26T00:00:00
77,Asian,3508,12.41,271,17.26,15.4,2020-04-26T00:00:00
