,date,confirmed,confirmed_new
0,2021-02-15,3406365,6487
1,2021-02-14,3399878,8842
2,2021-02-13,3391036,9421
3,2021-02-12,3381615,10059
4,2021-02-11,3371556,8575
5,2021-02-10,3362981,8390
6,2021-02-09,3354591,8251
7,2021-02-08,3346340,10414
8,2021-02-07,3335926,15064
9,2021-02-06,3320862,12394
10,2021-02-05,3308468,14021
11,2021-02-04,3294447,13176
12,2021-02-03,3281271,10501
13,2021-02-02,3270770,12064
14,2021-02-01,3258706,15358
15,2021-01-31,3243348,18974
16,2021-01-30,3224374,18427
17,2021-01-29,3205947,19337
18,2021-01-28,3186610,16696
19,2021-01-27,3169914,16728
20,2021-01-26,3153186,17028
21,2021-01-25,3136158,27007
22,2021-01-24,3109151,24111
23,2021-01-23,3085040,22972
24,2021-01-22,3062068,23024
25,2021-01-21,3039044,19673
26,2021-01-20,3019371,22403
27,2021-01-19,2996968,23794
28,2021-01-18,2973174,30699
29,2021-01-17,2942475,42229
30,2021-01-16,2900246,40622
31,2021-01-15,2859624,42655
32,2021-01-14,2816969,35930
33,2021-01-13,2781039,33751
34,2021-01-12,2747288,36487
35,2021-01-11,2710801,39839
36,2021-01-10,2670962,49685
37,2021-01-09,2621277,52636
38,2021-01-08,2568641,50030
39,2021-01-07,2518611,36385
40,2021-01-06,2482226,29892
41,2021-01-05,2452334,31440
42,2021-01-04,2420894,29633
43,2021-01-03,2391261,45352
44,2021-01-02,2345909,53341
45,2021-01-01,2292568,47189
46,2020-12-31,2245379,27237
47,2020-12-30,2218142,30921
48,2020-12-29,2187221,31245
49,2020-12-28,2155976,33170
50,2020-12-27,2122806,50141
51,2020-12-26,2072665,30375
52,2020-12-25,2042290,39144
53,2020-12-24,2003146,39070
54,2020-12-23,1964076,39069
55,2020-12-22,1925007,32659
56,2020-12-21,1892348,37892
57,2020-12-20,1854456,46474
58,2020-12-19,1807982,43608
59,2020-12-18,1764374,41012
60,2020-12-17,1723362,52281
61,2020-12-16,1671081,53711
62,2020-12-15,1617370,32326
63,2020-12-14,1585044,33278
64,2020-12-13,1551766,30334
65,2020-12-12,1521432,35729
66,2020-12-11,1485703,35468
67,2020-12-10,1450235,29677
68,2020-12-09,1420558,30851
69,2020-12-08,1389707,23272
70,2020-12-07,1366435,24735
71,2020-12-06,1341700,30075
72,2020-12-05,1311625,25068
73,2020-12-04,1286557,22018
74,2020-12-03,1264539,18591
75,2020-12-02,1245948,20759
76,2020-12-01,1225189,12221
77,2020-11-30,1212968,14034
78,2020-11-29,1198934,15614
79,2020-11-28,1183320,11996
80,2020-11-27,1171324,12635
81,2020-11-26,1158689,14640
82,2020-11-25,1144049,18350
83,2020-11-24,1125699,15329
84,2020-11-23,1110370,8337
85,2020-11-22,1102033,14319
86,2020-11-21,1087714,15442
87,2020-11-20,1072272,13005
88,2020-11-19,1059267,11478
89,2020-11-18,1047789,9811
90,2020-11-17,1037978,8743
91,2020-11-16,1029235,9890
92,2020-11-15,1019345,10968
93,2020-11-14,1008377,9875
94,2020-11-13,998502,6893
95,2020-11-12,991609,6927
96,2020-11-11,984682,7464
97,2020-11-10,977218,5367
98,2020-11-09,971851,7212
99,2020-11-08,964639,7682
100,2020-11-07,956957,5863
101,2020-11-06,951094,6518
102,2020-11-05,944576,4566
103,2020-11-04,940010,5338
104,2020-11-03,934672,4044
105,2020-11-02,930628,4094
106,2020-11-01,926534,4529
107,2020-10-31,922005,5087
108,2020-10-30,916918,4014
109,2020-10-29,912904,4191
110,2020-10-28,908713,4515
111,2020-10-27,904198,3188
112,2020-10-26,901010,2981
113,2020-10-25,898029,5219
114,2020-10-24,892810,5945
115,2020-10-23,886865,6141
116,2020-10-22,880724,2940
117,2020-10-21,877784,3707
118,2020-10-20,874077,3286
119,2020-10-19,870791,3474
120,2020-10-18,867317,2862
121,2020-10-17,864455,2979
122,2020-10-16,861476,3075
123,2020-10-15,858401,3329
124,2020-10-14,855072,2666
125,2020-10-13,852406,2378
126,2020-10-12,850028,3449
127,2020-10-11,846579,3803
128,2020-10-10,842776,4170
129,2020-10-09,838606,3806
130,2020-10-08,834800,3575
131,2020-10-07,831225,2764
132,2020-10-06,828461,1677
133,2020-10-05,826784,3055
134,2020-10-04,823729,4293
135,2020-10-03,819436,2159
136,2020-10-02,817277,3590
137,2020-10-01,813687,3062
138,2020-09-30,810625,3200
139,2020-09-29,807425,2162
140,2020-09-28,805263,2955
141,2020-09-27,802308,4071
142,2020-09-26,798237,4197
143,2020-09-25,794040,3400
144,2020-09-24,790640,3170
145,2020-09-23,787470,3146
146,2020-09-22,784324,2630
147,2020-09-21,781694,3294
148,2020-09-20,778400,4265
149,2020-09-19,774135,4304
150,2020-09-18,769831,3630
151,2020-09-17,766201,3238
152,2020-09-16,762963,2950
153,2020-09-15,760013,2235
154,2020-09-14,757778,2855
155,2020-09-13,754923,4625
156,2020-09-12,750298,4107
157,2020-09-11,746191,3326
158,2020-09-10,742865,3338
159,2020-09-09,739527,1616
160,2020-09-08,737911,2676
161,2020-09-07,735235,3091
162,2020-09-06,732144,4905
163,2020-09-05,727239,4956
164,2020-09-04,722283,5106
165,2020-09-03,717177,5125
166,2020-09-02,712052,4255
167,2020-09-01,707797,3712
168,2020-08-31,704085,4176
169,2020-08-30,699909,6070
170,2020-08-29,693839,4981
171,2020-08-28,688858,5329
172,2020-08-27,683529,4430
173,2020-08-26,679099,6004
174,2020-08-25,673095,4480
175,2020-08-24,668615,4946
176,2020-08-23,663669,6777
177,2020-08-22,656892,6556
178,2020-08-21,650336,5585
179,2020-08-20,644751,5920
180,2020-08-19,638831,6164
181,2020-08-18,632667,4636
182,2020-08-17,628031,6469
183,2020-08-16,621562,7873
184,2020-08-15,613689,12614
185,2020-08-14,601075,7934
186,2020-08-13,593141,7085
187,2020-08-12,586056,11645
188,2020-08-11,574411,12500
189,2020-08-10,561911,7751
190,2020-08-09,554160,8373
191,2020-08-08,545787,7371
192,2020-08-07,538416,8436
193,2020-08-06,529980,5258
194,2020-08-05,524722,5295
195,2020-08-04,519427,4526
196,2020-08-03,514901,5739
197,2020-08-02,509162,9032
198,2020-08-01,500130,6542
199,2020-07-31,493588,8086
200,2020-07-30,485502,10197
201,2020-07-29,475305,8755
202,2020-07-28,466550,6000
203,2020-07-27,460550,6891
204,2020-07-26,453659,8259
205,2020-07-25,445400,10066
206,2020-07-24,435334,9718
207,2020-07-23,425616,12040
208,2020-07-22,413576,12807
209,2020-07-21,400769,9231
210,2020-07-20,391538,6846
211,2020-07-19,384692,9329
212,2020-07-18,375363,9199
213,2020-07-17,366164,9986
214,2020-07-16,356178,8544
215,2020-07-15,347634,11126
216,2020-07-14,336508,7346
217,2020-07-13,329162,8358
218,2020-07-12,320804,8460
219,2020-07-11,312344,8047
220,2020-07-10,304297,7798
221,2020-07-09,296499,7031
222,2020-07-08,289468,11694
223,2020-07-07,277774,6090
224,2020-07-06,271684,5699
225,2020-07-05,265985,8597
226,2020-07-04,257388,9153
227,2020-07-03,248235,5688
228,2020-07-02,242547,6408
229,2020-07-01,236139,7407
230,2020-06-30,228732,9480
231,2020-06-29,219252,8009
232,2020-06-28,211243,4810
233,2020-06-27,206433,5972
234,2020-06-26,200461,4890
235,2020-06-25,195571,5349
236,2020-06-24,190222,7149
237,2020-06-23,183073,5019
238,2020-06-22,178054,4230
239,2020-06-21,173824,4515
240,2020-06-20,169309,3893
241,2020-06-19,165416,4317
242,2020-06-18,161099,4084
243,2020-06-17,157015,3455
244,2020-06-16,153560,2108
245,2020-06-15,151452,2597
246,2020-06-14,148855,3212
247,2020-06-13,145643,3660
248,2020-06-12,141983,2702
249,2020-06-11,139281,3090
250,2020-06-10,136191,2702
251,2020-06-09,133489,2170
252,2020-06-08,131319,2507
253,2020-06-07,128812,2796
254,2020-06-06,126016,3115
255,2020-06-05,122901,3094
256,2020-06-04,119807,2120
257,2020-06-03,117687,2377
258,2020-06-02,115310,2304
259,2020-06-01,113006,2423
260,2020-05-31,110583,3705
261,2020-05-30,106878,2992
262,2020-05-29,103886,2189
263,2020-05-28,101697,2717
264,2020-05-27,98980,2247
265,2020-05-26,96733,2175
266,2020-05-25,94558,1848
267,2020-05-24,92710,2079
268,2020-05-23,90631,2187
269,2020-05-22,88444,2247
270,2020-05-21,86197,2140
271,2020-05-20,84057,2262
272,2020-05-19,81795,1365
273,2020-05-18,80430,1591
274,2020-05-17,78839,2046
275,2020-05-16,76793,1857
276,2020-05-15,74936,1772
277,2020-05-14,73164,2023
278,2020-05-13,71141,1759
279,2020-05-12,69382,1443
280,2020-05-11,67939,1259
281,2020-05-10,66680,2119
282,2020-05-09,64561,2049
283,2020-05-08,62512,1898
284,2020-05-07,60614,1799
285,2020-05-06,58815,2603
286,2020-05-05,56212,1275
287,2020-05-04,54937,1321
288,2020-05-03,53616,1419
289,2020-05-02,52197,1755
290,2020-05-01,50442,1525
291,2020-04-30,48917,2417
292,2020-04-29,46500,1469
293,2020-04-28,45031,1567
294,2020-04-27,43464,1300
295,2020-04-26,42164,1027
296,2020-04-25,41137,1883
297,2020-04-24,39254,1885
298,2020-04-23,37369,1973
299,2020-04-22,35396,2135
300,2020-04-21,33261,2283
301,2020-04-20,30978,645
302,2020-04-19,30333,1370
303,2020-04-18,28963,1435
304,2020-04-17,27528,1346
305,2020-04-16,26182,1758
306,2020-04-15,24424,1086
307,2020-04-14,23338,990
308,2020-04-13,22348,554
309,2020-04-12,21794,1179
310,2020-04-11,20615,1143
311,2020-04-10,19472,1163
312,2020-04-09,18309,1352
313,2020-04-08,16957,1092
314,2020-04-07,15865,1529
315,2020-04-06,14336,898
316,2020-04-05,13438,1412
317,2020-04-04,12026,1325
318,2020-04-03,10701,1510
319,2020-04-02,9191,1036
320,2020-04-01,8155,673
321,2020-03-31,7482,1035
322,2020-03-30,6447,739
323,2020-03-29,5708,1065
324,2020-03-28,4643,764
325,2020-03-27,3879,873
326,2020-03-26,3006,651
327,2020-03-25,2355,253
328,2020-03-24,2102,369
329,2020-03-23,1733,197
330,2020-03-22,1536,257
331,2020-03-21,1279,216
332,2020-03-20,1063,139
333,2020-03-19,924,313
334,2020-03-18,611,128
335,2020-03-17,483,148
336,2020-03-16,335,42
337,2020-03-15,293,41
338,2020-03-14,252,50
339,2020-03-13,202,0
340,2020-03-12,202,45
341,2020-03-11,157,24
342,2020-03-10,133,19
343,2020-03-09,114,26
344,2020-03-08,88,19
345,2020-03-07,69,9
346,2020-03-06,60,7
347,2020-03-05,53,0
348,2020-03-04,53,0
