cty_fibs,county,population,Latino,White,Asian,Black,American Indian or Alaska Native,Hawaiian,Multiracial,0rf_num,0rf_rate,0rf_err,1-2rf_num,1-2rf_rate,1-2rf_err,3plrf_num,3plrf_rate,3plrf_err
1,Alameda,1671329,373055,512134,529698,169954,4157,13474,68857,52135,3.16,1.99,1159312,70.37,6.98,436060,26.47,6.84
3,Alpine,1129,139,692,18,4,243,0,33,241,21.89,8.4,579,52.59,10.35,281,25.52,9.31
5,Amador,39752,5753,30742,575,994,606,83,999,7169,20.35,5.97,17817,50.59,7.16,10235,29.06,6.49
7,Butte,219186,37731,155415,10573,3526,3390,465,8086,44433,19.46,5.32,122804,53.79,6.88,61078,26.75,6.02
9,Calaveras,45905,5967,36672,719,420,562,98,1467,9940,21.93,6.38,22900,50.53,7.46,12478,27.53,6.6
11,Colusa,21547,13018,7344,266,220,293,73,333,4223,19.65,5.75,12343,57.45,7.1,4920,22.9,6.19
13,Contra Costa,1153526,300420,492393,204045,100798,3126,5379,47365,150886,13.16,3.91,710710,61.99,6.99,284932,24.85,6.49
15,Del Norte,27812,5596,17236,802,917,2059,42,1160,5189,20.77,6.47,13874,55.54,7.66,5915,23.68,6.47
17,El Dorado,192843,25378,148903,8974,1696,1500,328,6064,55253,29.06,6.34,94483,49.69,7.03,40421,21.26,5.76
19,Fresno,999101,537180,286049,103430,46274,5967,1437,18764,68407,6.95,3.13,612805,62.24,7.1,303388,30.81,6.79
21,Glenn,28393,12079,14334,752,240,451,32,505,6805,24.45,6.91,14119,50.73,7.93,6910,24.83,6.56
23,Humboldt,135558,16354,100078,3671,1686,7138,359,6272,28592,21.41,5.51,71198,53.33,6.97,33727,25.26,6.02
25,Imperial,181215,154088,18161,2134,4386,1326,122,998,11322,6.52,3.74,101655,58.55,8.14,60654,34.93,7.76
27,Inyo,18039,4230,10970,271,184,1916,22,446,3994,22.43,5.93,8887,49.9,7.22,4929,27.68,6.43
29,Kern,900202,491545,295715,42400,46976,5476,1092,16998,76248,8.77,3.61,544009,62.58,7.37,249042,28.65,6.95
31,Kings,152940,84514,47938,5787,9662,1351,311,3377,7324,5.31,2.45,90742,65.77,6.79,39912,28.93,6.59
33,Lake,64386,14171,44367,756,1156,1629,151,2156,13872,21.68,6.15,33225,51.94,7.14,16875,26.38,6.17
35,Lassen,30573,5910,19796,399,2432,863,245,928,6083,26.03,6.11,11664,49.91,7.04,5624,24.06,5.91
37,Los Angeles,10039107,4881970,2615947,1485197,798279,18763,22853,216098,294048,2.94,2.0,6698377,66.87,7.15,3024086,30.19,7.03
39,Madera,157327,92483,52197,3244,5016,1712,174,2501,20490,13.61,4.27,87476,58.08,7.12,42636,28.31,6.54
41,Marin,258826,42160,184116,16548,6603,544,450,8405,61986,24.37,5.86,132978,52.27,7.51,59440,23.36,6.61
43,Mariposa,17203,2073,13645,262,206,465,26,526,3625,20.92,6.25,8968,51.75,7.4,4738,27.34,6.64
45,Mendocino,86749,22379,55820,1816,708,3440,130,2456,16030,18.43,5.23,44837,51.55,7.1,26110,30.02,6.42
47,Merced,277680,169442,73546,19728,8191,1157,565,5051,26224,9.72,4.19,170334,63.15,7.32,73172,27.13,6.75
49,Modoc,8841,1291,6825,95,99,259,27,245,2204,25.46,6.76,4222,48.78,7.95,2230,25.76,7.06
51,Mono,14444,3875,9500,361,105,267,46,290,3805,26.81,7.76,7519,52.99,8.87,2866,20.2,7.23
53,Monterey,434061,257721,127497,24789,10919,1324,1960,9851,31346,7.42,3.24,269307,63.71,7.29,122057,28.87,6.98
