,_id,county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
0,1,Santa Clara,151.0,6.0,151,6,2020-03-18T00:00:00
1,2,Santa Clara,183.0,8.0,32,2,2020-03-19T00:00:00
2,3,Santa Clara,246.0,8.0,63,0,2020-03-20T00:00:00
3,4,Santa Clara,269.0,10.0,23,2,2020-03-21T00:00:00
4,5,Santa Clara,284.0,13.0,15,3,2020-03-22T00:00:00
5,6,Santa Clara,336.0,13.0,52,0,2020-03-23T00:00:00
6,7,Santa Clara,389.0,17.0,53,4,2020-03-24T00:00:00
7,8,Santa Clara,452.0,20.0,63,3,2020-03-25T00:00:00
8,9,Santa Clara,487.0,20.0,35,0,2020-03-26T00:00:00
9,10,Santa Clara,557.0,25.0,70,5,2020-03-27T00:00:00
10,11,Santa Clara,587.0,27.0,30,2,2020-03-28T00:00:00
11,12,Santa Clara,591.0,30.0,4,3,2020-03-29T00:00:00
12,13,Santa Clara,745.0,31.0,154,1,2020-03-30T00:00:00
13,14,Santa Clara,777.0,30.0,32,-1,2020-03-31T00:00:00
14,15,Santa Clara,805.0,33.0,28,3,2020-04-01T00:00:00
15,16,Santa Clara,908.0,38.0,103,5,2020-04-02T00:00:00
16,17,Santa Clara,983.0,39.0,75,1,2020-04-03T00:00:00
17,18,Santa Clara,1045.0,39.0,62,0,2020-04-04T00:00:00
18,19,Santa Clara,1052.0,42.0,7,3,2020-04-05T00:00:00
19,20,Santa Clara,1128.0,43.0,76,1,2020-04-06T00:00:00
20,21,Santa Clara,1193.0,46.0,65,3,2020-04-07T00:00:00
21,22,Santa Clara,1257.0,47.0,64,1,2020-04-08T00:00:00
22,23,Santa Clara,1301.0,49.0,44,2,2020-04-09T00:00:00
23,24,Santa Clara,1351.0,52.0,50,3,2020-04-10T00:00:00
24,25,Santa Clara,1441.0,52.0,90,0,2020-04-11T00:00:00
25,26,Santa Clara,1461.0,53.0,20,1,2020-04-12T00:00:00
26,27,Santa Clara,1542.0,60.0,81,7,2020-04-13T00:00:00
27,28,Santa Clara,1561.0,66.0,19,6,2020-04-14T00:00:00
28,29,Santa Clara,1692.0,66.0,131,0,2020-04-15T00:00:00
29,30,Santa Clara,1789.0,69.0,97,3,2020-04-16T00:00:00
