"","county","population","no_rf_prednum","no_rf_prednum_moe","no_rf_predrt","no_rf_predrt_moe","onetwo_rf_prednum","onetwo_rf_prednum_moe","onetwo_rf_predrt","onetwo_rf_predrt_moe","three_rf_prednum","three__prednum_moe","three_rf__predrt","three_rf_predrt_moe","pop_percent"
"1","Alameda County, CA",1647507,52135,32806.7,3.16,1.99,1159312,114962.4,70.37,6.98,436060,112739.6,26.47,6.84,0.042133
"2","Alpine County, CA",1101,241,92.5,21.89,8.4,579,114,52.59,10.35,281,102.5,25.52,9.31,2.8e-05
"3","Amador County, CA",35221,7169,2101.6,20.35,5.97,17817,2521.9,50.59,7.16,10235,2284.1,29.06,6.49,0.000901
"4","Butte County, CA",228315,44433,12156.3,19.46,5.32,122804,15708.3,53.79,6.88,61078,13734.3,26.75,6.02,0.005839
"5","Calaveras County, CA",45318,9940,2890.1,21.93,6.38,22900,3378.6,50.53,7.46,12478,2988.8,27.53,6.6,0.001159
"6","Colusa County, CA",21486,4223,1235.4,19.65,5.75,12343,1525.4,57.45,7.1,4920,1330.4,22.9,6.19,0.000549
"7","Contra Costa County, CA",1146528,150886,44802.4,13.16,3.91,710710,80159.7,61.99,6.99,284932,74417.3,24.85,6.49,0.029321
"8","Del Norte County, CA",24978,5189,1614.9,20.77,6.47,13874,1913.3,55.54,7.66,5915,1617.2,23.68,6.47,0.000639
"9","El Dorado County, CA",190157,55253,12048.6,29.06,6.34,94483,13369.6,49.69,7.03,40421,10958.8,21.26,5.76,0.004863
"10","Fresno County, CA",984600,68407,30837.1,6.95,3.13,612805,69918.5,62.24,7.1,303388,66881.8,30.81,6.79,0.02518
"11","Glenn County, CA",27834,6805,1922.9,24.45,6.91,14119,2206.7,50.73,7.93,6910,1826.7,24.83,6.56,0.000712
"12","Humboldt County, CA",133517,28592,7362.5,21.41,5.51,71198,9311,53.33,6.97,33727,8040.5,25.26,6.02,0.003415
"13","Imperial County, CA",173631,11322,6490.8,6.52,3.74,101655,14132.8,58.55,8.14,60654,13479.7,34.93,7.76,0.00444
"14","Inyo County, CA",17810,3994,1056.6,22.43,5.93,8887,1286.1,49.9,7.22,4929,1145,27.68,6.43,0.000455
"15","Kern County, CA",869299,76248,31381.5,8.77,3.61,544009,64039.3,62.58,7.37,249042,60384.9,28.65,6.95,0.022231
"16","Kings County, CA",137978,7324,3375.7,5.31,2.45,90742,9368.8,65.77,6.79,39912,9089.5,28.93,6.59,0.003529
"17","Lake County, CA",63972,13872,3932.4,21.68,6.15,33225,4570.3,51.94,7.14,16875,3945.3,26.38,6.17,0.001636
"18","Lassen County, CA",23371,6083,1427.3,26.03,6.11,11664,1646.2,49.91,7.04,5624,1382,24.06,5.91,0.000598
"19","Los Angeles County, CA",10016511,294048,200451.3,2.94,2,6698377,715797.1,66.87,7.15,3024086,703878.8,30.19,7.03,0.256158
"20","Madera County, CA",150602,20490,6429.2,13.61,4.27,87476,10718.5,58.08,7.12,42636,9855.6,28.31,6.54,0.003851
"21","Marin County, CA",254404,61986,14904.3,24.37,5.86,132978,19105.2,52.27,7.51,59440,16827.8,23.36,6.61,0.006506
"22","Mariposa County, CA",17331,3625,1083.4,20.92,6.25,8968,1282.9,51.75,7.4,4738,1151.3,27.34,6.64,0.000443
"23","Mendocino County, CA",86977,16030,4546.9,18.43,5.23,44837,6173,51.55,7.1,26110,5586.9,30.02,6.42,0.002224
"24","Merced County, CA",269730,26224,11311.2,9.72,4.19,170334,19735.4,63.15,7.32,73172,18220,27.13,6.75,0.006898
