Year,State,Month,"Cause of Death",Count
2017,CA,01,ALZ,1631
2017,CA,01,CAN,5219
2017,CA,01,CLD,1640
2017,CA,01,DIA,973
2017,CA,01,HOM,169
2017,CA,01,HTD,6494
2017,CA,01,HYP,564
2017,CA,01,INJ,1186
2017,CA,01,LIV,482
2017,CA,01,NEP,396
2017,CA,01,OTH,4886
2017,CA,01,PNF,983
2017,CA,01,STK,1620
2017,CA,01,SUI,342
2017,CA,02,ALZ,1357
2017,CA,02,CAN,4544
2017,CA,02,CLD,1302
2017,CA,02,DIA,851
2017,CA,02,HOM,159
2017,CA,02,HTD,5552
2017,CA,02,HYP,471
2017,CA,02,INJ,1040
2017,CA,02,LIV,423
2017,CA,02,NEP,345
2017,CA,02,OTH,4104
2017,CA,02,PNF,709
2017,CA,02,STK,1306
2017,CA,02,SUI,307
2017,CA,03,ALZ,1370
2017,CA,03,CAN,4866
2017,CA,03,CLD,1356
2017,CA,03,DIA,920
2017,CA,03,HOM,160
2017,CA,03,HTD,5801
2017,CA,03,HYP,467
2017,CA,03,INJ,1127
2017,CA,03,LIV,474
2017,CA,03,NEP,304
2017,CA,03,OTH,4315
2017,CA,03,PNF,619
2017,CA,03,STK,1421
2017,CA,03,SUI,396
2017,CA,04,ALZ,1378
2017,CA,04,CAN,4922
2017,CA,04,CLD,1227
2017,CA,04,DIA,772
2017,CA,04,HOM,164
2017,CA,04,HTD,5153
2017,CA,04,HYP,438
2017,CA,04,INJ,1136
2017,CA,04,LIV,417
2017,CA,04,NEP,313
2017,CA,04,OTH,4024
2017,CA,04,PNF,517
2017,CA,04,STK,1349
2017,CA,04,SUI,339
2017,CA,05,ALZ,1303
2017,CA,05,CAN,4987
2017,CA,05,CLD,1169
2017,CA,05,DIA,749
2017,CA,05,HOM,175
2017,CA,05,HTD,5111
2017,CA,05,HYP,471
2017,CA,05,INJ,1183
2017,CA,05,LIV,440
2017,CA,05,NEP,341
2017,CA,05,OTH,3877
2017,CA,05,PNF,477
2017,CA,05,STK,1347
2017,CA,05,SUI,401
2017,CA,06,ALZ,1231
2017,CA,06,CAN,4746
