"","county","date","hospitalized_covid_patients","all_hospital_beds","icu_available_beds","icu_combined","hospital_capactity","icu_capacity"
"1","placer","2020-03-29","   0","    0","  10","  5","    0","   5"
"2","butte","2020-03-29","   0","    0","   0","  0","    0","   0"
"3","humboldt","2020-03-29","   0","    0","  18","  0","    0","  18"
"4","san diego","2020-03-29","   0","    0"," 205","116","    0","  89"
"5","solano","2020-03-29","   0","    0","  28","  5","    0","  23"
"6","marin","2020-03-29","   0","    0","  11","  8","    0","   3"
"7","contra costa","2020-03-29","   0","    0","  62"," 23","    0","  39"
"8","lassen","2020-03-29","   0","    0","   0","  0","    0","   0"
"9","san benito","2020-03-29","   0","    0","   1","  1","    0","   0"
"10","calaveras","2020-03-29","   0","    0","   0","  0","    0","   0"
"11","siskiyou","2020-03-29","   0","    0","   2","  0","    0","   2"
"12","san francisco","2020-03-29","   0","    0","  61"," 34","    0","  27"
"13","nevada","2020-03-29","   0","    0","   3","  1","    0","   2"
"14","santa clara","2020-03-29","   0","    0","  70"," 80","    0"," -10"
"15","amador","2020-03-29","   0","    0","   2","  0","    0","   2"
"16","los angeles","2020-03-29","   0","    0"," 345","373","    0"," -28"
"17","lake","2020-03-29","   0","    0","   2","  1","    0","   1"
"18","kern","2020-03-29","   0","    0","  39"," 16","    0","  23"
"19","yuba","2020-03-29","   0","    0","   2","  6","    0","  -4"
"20","orange","2020-03-29","   0","    0"," 131"," 71","    0","  60"
"21","del norte","2020-03-29","   0","    0","   3","  0","    0","   3"
"22","inyo","2020-03-29","   0","    0","   0","  0","    0","   0"
"23","el dorado","2020-03-29","   0","    0","   3","  3","    0","   0"
"24","sutter","2020-03-29","   0","    0","   0","  0","    0","   0"
"25","mono","2020-03-29","   0","    0","   2","  0","    0","   2"
"26","merced","2020-03-29","   0","    0","   3","  0","    0","   3"
"27","fresno","2020-03-29","   0","    0","  22"," 17","    0","   5"
"28","modoc","2020-03-29","   0","    0","   0","  0","    0","   0"
"29","santa cruz","2020-03-29","   0","    0","   0","  0","    0","   0"
"30","ventura","2020-03-29","   0","    0","  14"," 24","    0"," -10"
"31","tuolumne","2020-03-29","   0","    0","   0","  0","    0","   0"
"32","tulare","2020-03-29","   0","    0","   7","  8","    0","  -1"
"33","san joaquin","2020-03-29","   0","    0","   7","  7","    0","   0"
"34","alameda","2020-03-29","   0","    0"," 119"," 36","    0","  83"
"35","kings","2020-03-29","   0","    0","   2","  1","    0","   1"
"36","mendocino","2020-03-29","   0","    0","   1","  0","    0","   1"
"37","riverside","2020-03-29","   0","    0","  46"," 33","    0","  13"
"38","stanislaus","2020-03-29","   0","    0","  25"," 17","    0","   8"
"39","colusa","2020-03-29","   0","    0","   0","  0","    0","   0"
"40","san luis obispo","2020-03-29","   0","    0"," 948","  7","    0"," 941"
"41","san bernardino","2020-03-29","   0","    0","  65"," 39","    0","  26"
"42","imperial","2020-03-29","   0","    0","   2","  3","    0","  -1"
"43","sacramento","2020-03-29","   0","    0","  50"," 30","    0","  20"
"44","santa barbara","2020-03-29","   0","    0","  47"," 12","    0","  35"
"45","monterey","2020-03-29","   0","    0","  10","  3","    0","   7"
"46","plumas","2020-03-29","   0","    0","   0","  1","    0","  -1"
"47","madera","2020-03-29","   0","    0","   8","  2","    0","   6"
"48","yolo","2020-03-29","   0","    0","   0","  2","    0","  -2"
"49","trinity","2020-03-29","   0","    0","   0","  0","    0","   0"
"50","","2020-03-29","   0","    0","   5","  1","    0","   4"
"51","napa","2020-03-29","   0","    0","   5","  0","    0","   5"
"52","shasta","2020-03-29","   0","    0","   0","  0","    0","   0"
"53","sonoma","2020-03-29","   0","    0","  12","  7","    0","   5"
"54","glenn","2020-03-29","   0","    0","   0","  0","    0","   0"
"55","tehama","2020-03-29","   0","    0","   2","  0","    0","   2"
"56","san mateo","2020-03-29","   0","    0","  28"," 26","    0","   2"
"57","nevada","2020-03-30","   0","    0","   3","  7","    0","  -4"
"58","amador","2020-03-30","   0","    0","   4","  0","    0","   4"
"59","sutter","2020-03-30","   0","    0","   0","  0","    0","   0"
"60","colusa","2020-03-30","   0","    0","   5","  1","    0","   4"
"61","monterey","2020-03-30","   0","    0","  17","  4","    0","  13"
"62","merced","2020-03-30","   0","    0","  11","  2","    0","   9"
"63","tehama","2020-03-30","   0","    0","   2","  0","    0","   2"
"64","del norte","2020-03-30","   0","    0","   5","  0","    0","   5"
"65","yolo","2020-03-30","   0","    0","   0","  3","    0","  -3"
"66","","2020-03-30","   0","    0","   9","  6","    0","   3"
"67","calaveras","2020-03-30","   0","    0","   5","  1","    0","   4"
"68","sacramento","2020-03-30","   0","    0","  58"," 44","    0","  14"
"69","san benito","2020-03-30","   0","    0","   1","  1","    0","   0"
"70","glenn","2020-03-30","   0","    0","   0","  0","    0","   0"
"71","siskiyou","2020-03-30","   0","    0","   3","  0","    0","   3"
"72","santa cruz","2020-03-30","   0","    0","   4","  0","    0","   4"
"73","contra costa","2020-03-30","   0","    0","  90"," 17","    0","  73"
"74","trinity","2020-03-30","   0","    0","   0","  0","    0","   0"
"75","san joaquin","2020-03-30","   0","    0","  53"," 12","    0","  41"
"76","santa clara","2020-03-30","   0","    0"," 103"," 97","    0","   6"
"77","stanislaus","2020-03-30","   0","    0","  29"," 14","    0","  15"
"78","lassen","2020-03-30","   0","    0","   0","  0","    0","   0"
"79","san bernardino","2020-03-30","   0","    0","  66"," 60","    0","   6"
"80","alameda","2020-03-30","   0","    0"," 146"," 45","    0"," 101"
"81","napa","2020-03-30","   0","    0","   9","  1","    0","   8"
"82","ventura","2020-03-30","   0","    0","  15"," 33","    0"," -18"
"83","fresno","2020-03-30","   0","    0","  24"," 17","    0","   7"
"84","lake","2020-03-30","   0","    0","   3","  1","    0","   2"
"85","yuba","2020-03-30","   0","    0","  10","  6","    0","   4"
"86","san diego","2020-03-30","   0","    0"," 228"," 95","    0"," 133"
"87","san mateo","2020-03-30","   0","    0","  47"," 29","    0","  18"
"88","imperial","2020-03-30","   0","    0","   4","  6","    0","  -2"
"89","solano","2020-03-30","   0","    0","  47","  6","    0","  41"
"90","tuolumne","2020-03-30","   0","    0","   3","  0","    0","   3"
"91","plumas","2020-03-30","   0","    0","   0","  0","    0","   0"
"92","modoc","2020-03-30","   0","    0","   0","  0","    0","   0"
"93","butte","2020-03-30","   0","    0","   5","  3","    0","   2"
"94","shasta","2020-03-30","   0","    0","  13","  0","    0","  13"
"95","riverside","2020-03-30","   0","    0","  77"," 55","    0","  22"
"96","mono","2020-03-30","   0","    0","   2","  0","    0","   2"
"97","san francisco","2020-03-30","   0","    0","  90"," 25","    0","  65"
"98","el dorado","2020-03-30","   0","    0","   9","  6","    0","   3"
"99","san luis obispo","2020-03-30","   0","    0"," 957","  7","    0"," 950"
"100","orange","2020-03-30","   0","    0"," 131","100","    0","  31"
"101","madera","2020-03-30","   0","    0","   4","  4","    0","   0"
"102","marin","2020-03-30","   0","    0","  16","  6","    0","  10"
"103","placer","2020-03-30","   0","    0","  29","  6","    0","  23"
"104","inyo","2020-03-30","   0","    0","   0","  0","    0","   0"
"105","kern","2020-03-30","   0","    0","  51"," 14","    0","  37"
"106","los angeles","2020-03-30","   0","    0"," 456","489","    0"," -33"
"107","kings","2020-03-30","   0","    0","   0","  3","    0","  -3"
"108","mendocino","2020-03-30","   0","    0","   8","  1","    0","   7"
"109","tulare","2020-03-30","   0","    0","   7"," 10","    0","  -3"
"110","humboldt","2020-03-30","   0","    0","  10","  0","    0","  10"
"111","sonoma","2020-03-30","   0","    0","  29","  7","    0","  22"
"112","santa barbara","2020-03-30","   0","    0","  48"," 18","    0","  30"
"113","kings","2020-03-31","   0","    0","   4","  3","    0","   1"
"114","sutter","2020-03-31","   0","    0","   0","  0","    0","   0"
"115","trinity","2020-03-31","   0","    0","   0","  0","    0","   0"
"116","del norte","2020-03-31","   0","    0","   3","  0","    0","   3"
"117","san mateo","2020-03-31","   0","    0","  37"," 23","    0","  14"
"118","fresno","2020-03-31","   0","    0","  23"," 23","    0","   0"
"119","san diego","2020-03-31","   0","    0"," 208","114","    0","  94"
"120","ventura","2020-03-31","   0","    0","  12"," 29","    0"," -17"
"121","tuolumne","2020-03-31","   0","    0","   4","  0","    0","   4"
"122","napa","2020-03-31","   0","    0","  12","  2","    0","  10"
"123","colusa","2020-03-31","   0","    0","   5","  1","    0","   4"
"124","santa barbara","2020-03-31","   0","    0","  48"," 21","    0","  27"
"125","santa cruz","2020-03-31","   0","    0","   7","  3","    0","   4"
"126","imperial","2020-03-31","   0","    0","   4","  7","    0","  -3"
"127","riverside","2020-03-31","   0","    0","  75"," 87","    0"," -12"
"128","amador","2020-03-31","   0","    0","   4","  0","    0","   4"
"129","kern","2020-03-31","   0","    0","  46"," 12","    0","  34"
"130","yuba","2020-03-31","   0","    0","   6","  6","    0","   0"
"131","sacramento","2020-03-31","   0","    0","  66"," 51","    0","  15"
"132","placer","2020-03-31","   0","    0","  28","  6","    0","  22"
"133","alameda","2020-03-31","   0","    0","  77"," 44","    0","  33"
"134","contra costa","2020-03-31","   0","    0","  68"," 21","    0","  47"
"135","sonoma","2020-03-31","   0","    0","  21","  6","    0","  15"
"136","stanislaus","2020-03-31","   0","    0","  34"," 10","    0","  24"
"137","shasta","2020-03-31","   0","    0","   4","  1","    0","   3"
"138","solano","2020-03-31","   0","    0","  42"," 11","    0","  31"
"139","lake","2020-03-31","   0","    0","   3","  2","    0","   1"
"140","san benito","2020-03-31","   0","    0","   1","  1","    0","   0"
"141","plumas","2020-03-31","   0","    0","   0","  0","    0","   0"
"142","tehama","2020-03-31","   0","    0","   4","  0","    0","   4"
"143","nevada","2020-03-31","   0","    0","   6","  3","    0","   3"
"144","tulare","2020-03-31","   0","    0","   9","  9","    0","   0"
"145","los angeles","2020-03-31","   0","    0"," 445","554","    0","-109"
"146","san bernardino","2020-03-31","   0","    0","  63"," 81","    0"," -18"
"147","yolo","2020-03-31","   0","    0","   1","  4","    0","  -3"
"148","butte","2020-03-31","   0","    0","   2","  5","    0","  -3"
"149","humboldt","2020-03-31","   0","    0","   8","  4","    0","   4"
"150","san francisco","2020-03-31","   0","    0","  77"," 44","    0","  33"
"151","inyo","2020-03-31","   0","    0","   6","  0","    0","   6"
"152","san joaquin","2020-03-31","   0","    0","  28"," 19","    0","   9"
"153","mendocino","2020-03-31","   0","    0","   7","  0","    0","   7"
"154","marin","2020-03-31","   0","    0","  15","  6","    0","   9"
"155","orange","2020-03-31","   0","    0"," 131"," 89","    0","  42"
"156","glenn","2020-03-31","   0","    0","   0","  0","    0","   0"
"157","lassen","2020-03-31","   0","    0","   0","  0","    0","   0"
"158","el dorado","2020-03-31","   0","    0","  12","  6","    0","   6"
"159","monterey","2020-03-31","   0","    0","  17","  6","    0","  11"
"160","san luis obispo","2020-03-31","   0","    0"," 955","  9","    0"," 946"
"161","calaveras","2020-03-31","   0","    0","   4","  0","    0","   4"
"162","merced","2020-03-31","   0","    0","  10","  2","    0","   8"
"163","siskiyou","2020-03-31","   0","    0","   4","  0","    0","   4"
"164","madera","2020-03-31","   0","    0","   5","  1","    0","   4"
"165","mono","2020-03-31","   0","    0","   2","  0","    0","   2"
"166","modoc","2020-03-31","   0","    0","   0","  0","    0","   0"
"167","santa clara","2020-03-31","   0","    0","  92"," 90","    0","   2"
"168","alameda","2020-04-01","   0","    0"," 106"," 42","    0","  64"
"169","riverside","2020-04-01","   0","    0","  76"," 76","    0","   0"
"170","lassen","2020-04-01","   0","    0","   0","  0","    0","   0"
"171","santa clara","2020-04-01","   0","    0","  91"," 92","    0","  -1"
"172","siskiyou","2020-04-01","   0","    0","   3","  2","    0","   1"
"173","santa barbara","2020-04-01","   0","    0","  51"," 21","    0","  30"
"174","san benito","2020-04-01","   0","    0","   0","  2","    0","  -2"
"175","mariposa","2020-04-01","   0","    0","   0","  0","    0","   0"
"176","fresno","2020-04-01","   0","    0","  53"," 18","    0","  35"
"177","sacramento","2020-04-01","   0","    0","  74"," 53","    0","  21"
"178","marin","2020-04-01","   0","    0","  14","  6","    0","   8"
"179","santa cruz","2020-04-01","   0","    0","   3","  4","    0","  -1"
"180","solano","2020-04-01","   0","    0","  31","  7","    0","  24"
"181","madera","2020-04-01","   0","    0","   4","  1","    0","   3"
"182","inyo","2020-04-01","   0","    0","   6","  0","    0","   6"
"183","tehama","2020-04-01","   0","    0","   4","  1","    0","   3"
"184","amador","2020-04-01","   0","    0","   2","  0","    0","   2"
"185","trinity","2020-04-01","   0","    0","   0","  0","    0","   0"
"186","mono","2020-04-01","   0","    0","   2","  0","    0","   2"
"187","glenn","2020-04-01","   0","    0","   0","  0","    0","   0"
"188","calaveras","2020-04-01","   0","    0","   5","  0","    0","   5"
"189","shasta","2020-04-01","   0","    0","  13","  1","    0","  12"
"190","san joaquin","2020-04-01","   0","    0","  21"," 27","    0","  -6"
"191","imperial","2020-04-01","   0","    0","   7","  7","    0","   0"
"192","","2020-04-01","   0","    0","   9","  7","    0","   2"
"193","sutter","2020-04-01","   0","    0","   0","  0","    0","   0"
"194","del norte","2020-04-01","   0","    0","   3","  0","    0","   3"
"195","nevada","2020-04-01","   0","    0","   3","  4","    0","  -1"
"196","san mateo","2020-04-01","   0","    0","  36"," 28","    0","   8"
"197","ventura","2020-04-01","   0","    0","  27"," 28","    0","  -1"
"198","tuolumne","2020-04-01","   0","    0","   2","  0","    0","   2"
"199","placer","2020-04-01","   0","    0","   7","  8","    0","  -1"
"200","san luis obispo","2020-04-01","   0","    0"," 968"," 11","    0"," 957"
"201","mendocino","2020-04-01","   0","    0","   8","  0","    0","   8"
"202","yuba","2020-04-01","   0","    0","   6","  6","    0","   0"
"203","lake","2020-04-01","   0","    0","   2","  0","    0","   2"
"204","contra costa","2020-04-01","   0","    0","  61"," 24","    0","  37"
"205","san francisco","2020-04-01","   0","    0","  64"," 38","    0","  26"
"206","el dorado","2020-04-01","   0","    0","   9","  4","    0","   5"
"207","sonoma","2020-04-01","   0","    0","  22","  3","    0","  19"
"208","orange","2020-04-01","   0","    0"," 118"," 98","    0","  20"
"209","kern","2020-04-01","   0","    0","  32"," 16","    0","  16"
"210","merced","2020-04-01","   0","    0","   9","  3","    0","   6"
"211","napa","2020-04-01","   0","    0","   9","  1","    0","   8"
"212","monterey","2020-04-01","   0","    0","  15","  8","    0","   7"
"213","modoc","2020-04-01","   0","    0","   0","  0","    0","   0"
"214","butte","2020-04-01","   0","    0","   9","  6","    0","   3"
"215","colusa","2020-04-01","   0","    0","   5","  1","    0","   4"
"216","humboldt","2020-04-01","   0","    0","   7","  3","    0","   4"
"217","san bernardino","2020-04-01","   0","    0","  34"," 91","    0"," -57"
"218","kings","2020-04-01","   0","    0","   1","  3","    0","  -2"
"219","tulare","2020-04-01","   0","    0","   9","  7","    0","   2"
"220","yolo","2020-04-01","   0","    0","   2","  2","    0","   0"
"221","stanislaus","2020-04-01","   0","    0","  31"," 16","    0","  15"
"222","plumas","2020-04-01","   0","    0","   0","  0","    0","   0"
"223","los angeles","2020-04-01","   0","    0"," 492","555","    0"," -63"
"224","san diego","2020-04-01","   0","    0"," 215","103","    0"," 112"
"225","fresno","2020-04-02","   0","    0","  33"," 19","    0","  14"
"226","mono","2020-04-02","   0","    0","   2","  0","    0","   2"
"227","humboldt","2020-04-02","   0","    0","   8","  2","    0","   6"
"228","tuolumne","2020-04-02","   0","    0","   2","  0","    0","   2"
"229","santa clara","2020-04-02","   0","    0","  95"," 88","    0","   7"
"230","kern","2020-04-02","   0","    0","  36"," 35","    0","   1"
"231","colusa","2020-04-02","   0","    0","   5","  1","    0","   4"
"232","","2020-04-02","   0","    0","   9","  7","    0","   2"
"233","el dorado","2020-04-02","   0","    0","  10","  6","    0","   4"
"234","tulare","2020-04-02","   0","    0","   3","  9","    0","  -6"
"235","stanislaus","2020-04-02","   0","    0","  22"," 18","    0","   4"
"236","san joaquin","2020-04-02","   0","    0","  17"," 27","    0"," -10"
"237","glenn","2020-04-02","   0","    0","   0","  0","    0","   0"
"238","modoc","2020-04-02","   0","    0","   0","  0","    0","   0"
"239","plumas","2020-04-02","   0","    0","   0","  0","    0","   0"
"240","san luis obispo","2020-04-02","   0","    0"," 966","  8","    0"," 958"
