symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
al,2021-03-23,46.02,46.67,45.399912472348845,49.71599999999998,48.11789884509865,50.3887499999999
al,2021-03-24,46.67,48.76,49.0364269010243,49.50899999999998,47.635265896732434,49.533299999999905
al,2021-03-25,48.76,49.99,49.623785986335314,49.18399999999998,48.01017726448829,48.53509999999991
al,2021-03-26,49.99,49.41,49.11372992627326,48.98699999999998,48.67011817632553,47.97794999999991
al,2021-03-29,49.41,50.01,49.321581251360314,48.77899999999998,48.91674545088369,47.5101499999999
al,2021-03-30,50.01,49.0,48.684845818143465,48.749999999999986,49.28116363392246,47.575499999999906
al,2021-03-31,49.0,49.64,49.4607878389473,48.57399999999998,49.18744242261498,47.35314999999991
al,2021-04-01,49.64,49.23,48.8792133743657,48.60699999999998,49.33829494840999,47.6727999999999
al,2021-04-05,49.23,49.4,48.977483839754264,48.72199999999997,49.30219663227333,48.18154999999991
al,2021-04-06,49.4,49.33,48.94995591433746,48.812999999999974,49.33479775484889,48.58634999999991
al,2021-04-07,49.33,49.25,49.15232615291008,49.143999999999984,49.333198503232595,49.4996499999999
al,2021-04-08,49.25,49.0,48.95350136945732,49.40199999999998,49.30546566882173,50.16069999999989
al,2021-04-09,49.0,48.78,48.52646593430897,49.42599999999997,49.20364377921449,50.18439999999989
al,2021-04-12,48.78,48.28,48.891514533713654,49.30499999999997,49.06242918614299,49.834199999999896
al,2021-04-13,48.28,48.65,48.1837693065667,49.19199999999997,48.801619457428664,49.489749999999894
al,2021-04-14,48.65,49.36,49.541253970736626,49.05599999999997,48.75107963828577,49.103849999999895
al,2021-04-15,49.36,48.54,48.66610767178765,49.09199999999997,48.95405309219052,49.11614999999989
al,2021-04-16,48.54,47.95,47.99206795679197,48.98199999999997,48.81603539479369,48.784899999999894
al,2021-04-19,47.95,46.4,47.27111108750044,48.85399999999997,48.527356929862464,48.4450999999999
al,2021-04-20,46.4,46.93,47.13923550703897,48.553999999999974,47.81823795324165,47.73394999999989
al,2021-04-21,46.93,46.31,46.38561524998024,48.31399999999997,47.522158635494435,47.25844999999989
al,2021-04-22,46.31,47.24,47.0286457424811,48.01999999999997,47.11810575699629,46.73074999999989
al,2021-04-23,47.24,48.15,47.908821770528625,47.84399999999997,47.15873717133087,46.52804999999989
al,2021-04-26,48.15,48.73,48.617787288708634,47.78099999999997,47.48915811422058,46.59914999999988
al,2021-04-27,48.73,48.27,48.15770523896922,47.82599999999998,47.90277207614706,46.91654999999988
al,2021-04-28,48.27,47.8,47.738787024037656,47.787999999999975,48.02518138409805,47.01174999999988
al,2021-04-29,47.8,46.71,46.811769249698095,47.63199999999997,47.95012092273203,46.84074999999988
al,2021-04-30,46.71,47.3,47.1887197519429,47.44899999999997,47.53674728182136,46.61319999999988
al,2021-05-03,47.3,47.2,47.46575593020525,47.38399999999997,47.457831521214246,46.671199999999885
al,2021-05-04,47.2,48.57,48.56462185366991,47.46399999999998,47.3718876808095,47.03469999999989
al,2021-05-05,48.57,48.82,48.83324791979135,47.62799999999998,47.771258453873,47.54759999999989
al,2021-05-06,48.82,44.15,44.732637381099046,47.87899999999998,48.12083896924867,48.19624999999988
al,2021-05-07,44.15,45.49,45.77738001892069,47.56999999999998,46.79722597949912,47.46484999999988
al,2021-05-10,45.49,44.87,45.36702593271841,47.30399999999999,46.36148398633275,46.87139999999987
al,2021-05-11,44.87,43.21,44.218911868666616,46.917999999999985,45.86432265755517,46.04259999999987
al,2021-05-12,43.21,44.69,45.00318931168858,46.41199999999999,44.97954843837012,44.98399999999987
al,2021-05-13,44.69,46.38,46.48837702168264,46.100999999999985,44.883032292246746,44.43614999999987
al,2021-05-14,46.38,46.24,46.307794939545566,46.06799999999999,45.3820215281645,44.560799999999865
al,2021-05-17,46.24,45.55,45.784174125319495,45.96199999999999,45.66801435210967,44.50909999999986
al,2021-05-18,45.55,45.75,46.0235914239759,45.79699999999999,45.628676234739785,44.34664999999986
al,2021-05-19,45.75,45.3,45.5562785794128,45.51499999999999,45.669117489826526,43.95859999999986
al,2021-05-20,45.3,45.45,45.42096070110536,45.163,45.54607832655102,43.48599999999986
al,2021-05-21,45.45,45.73,45.873118216732145,45.29299999999999,45.51405221770068,44.152549999999856
al,2021-05-24,45.73,45.65,45.51223071502548,45.31699999999999,45.58603481180046,44.510599999999855
al,2021-05-25,45.65,47.11,47.06901518524261,45.394999999999996,45.6073565412003,44.93404999999986
al,2021-05-26,47.11,47.08,47.27332818460409,45.785,46.108237694133535,46.00309999999986
al,2021-05-27,47.08,47.06,47.06469647424298,46.023999999999994,46.432158462755694,46.61214999999986
al,2021-05-28,47.06,48.2,47.982460893801765,46.092,46.641438975170466,46.77854999999985
al,2021-06-01,48.2,47.44,47.575665609132635,46.288,47.160959316780314,47.21964999999985
al,2021-06-02,47.44,46.71,46.79686902391529,46.47699999999999,47.25397287785354,47.59014999999985
al,2021-06-03,46.71,46.68,46.6932412341627,46.57299999999999,47.0726485852357,47.67144999999985
al,2021-06-04,46.68,46.73,46.69367737815947,46.710999999999984,46.94176572349046,47.78424999999986
al,2021-06-07,46.73,47.29,47.31900313564615,46.838999999999984,46.87117714899364,47.872349999999855
al,2021-06-08,47.29,46.07,46.420864867705305,46.99499999999998,47.010784765995766,48.01064999999986
al,2021-06-09,46.07,45.66,45.96837178003666,47.03699999999999,46.69718984399718,47.86934999999986
al,2021-06-10,45.66,46.25,46.197237096059496,46.89199999999998,46.35145989599812,47.34079999999986
al,2021-06-11,46.25,45.77,45.87009558442464,46.80899999999998,46.317639930665415,47.01554999999986
al,2021-06-14,45.77,46.19,46.18108386919123,46.67999999999999,46.13509328711028,46.60484999999986
al,2021-06-15,46.19,45.32,45.64777321432966,46.47899999999999,46.15339552474019,46.07369999999986
al,2021-06-16,45.32,43.83,44.89726254081708,46.26699999999999,45.87559701649346,45.57519999999986
al,2021-06-17,43.83,42.39,42.9467885901119,45.97899999999999,45.193731344328974,44.944299999999856
al,2021-06-18,42.39,44.05,44.34381587189018,45.54999999999999,44.25915422955265,44.045949999999856
al,2021-06-21,44.05,43.58,43.8558173558844,45.28199999999999,44.1894361530351,43.609499999999855
al,2021-06-22,43.58,43.45,43.76728481891516,44.91099999999999,43.98629076869007,42.994599999999856
al,2021-06-23,43.45,44.37,44.61923589373795,44.64899999999999,43.807527179126716,42.69779999999986
al,2021-06-24,44.37,44.47,44.6981737576562,44.51999999999998,43.995018119417814,42.73109999999986
al,2021-06-25,44.47,42.62,43.3727586710201,44.341999999999985,44.153345412945214,42.65614999999986
al,2021-06-28,42.62,41.73,42.407712775040494,44.02699999999999,43.64223027529681,42.266599999999855
al,2021-06-29,41.73,41.74,42.013946400606244,43.58099999999999,43.00482018353121,41.58629999999986
al,2021-06-30,41.74,42.42,42.69984452240977,43.22299999999999,42.58321345568748,41.14789999999986
al,2021-07-01,42.42,42.22,42.4599790330343,43.081999999999994,42.52880897045832,41.22994999999986
al,2021-07-02,42.22,41.05,41.70403101037056,43.065,42.425872646972216,41.56019999999985
al,2021-07-06,41.05,41.14,41.47949239946797,42.765,41.967248431314815,41.18774999999986
al,2021-07-07,41.14,40.75,41.509836929446216,42.521,41.69149895420988,40.93624999999985
al,2021-07-08,40.75,42.24,42.38754536599812,42.251,41.377665969473256,40.620949999999844
al,2021-07-09,42.24,42.12,42.28587852109946,42.038,41.665110646315505,40.46074999999984
al,2021-07-12,42.12,41.29,41.58675510766149,41.803,41.816740430877005,40.25409999999984
al,2021-07-13,41.29,41.22,41.64907545130011,41.67,41.64116028725134,40.27514999999984
al,2021-07-14,41.22,41.5,41.67181636700941,41.61899999999999,41.50077352483423,40.441949999999835
al,2021-07-15,41.5,40.28,40.965371741582004,41.59499999999999,41.50051568322282,40.62614999999984
al,2021-07-16,40.28,38.95,39.5064569807929,41.380999999999986,41.09367712214855,40.346299999999836
al,2021-07-19,38.95,41.21,41.61543199882901,41.05399999999999,40.37911808143237,39.83044999999984
al,2021-07-20,41.21,41.95,42.13977374458383,41.06999999999998,40.656078720954916,40.12469999999985
al,2021-07-21,41.95,41.3,41.59099862747161,41.15099999999998,41.087385813969945,40.53269999999985
al,2021-07-22,41.3,41.15,41.39419754405058,41.20599999999998,41.1582572093133,40.826949999999854
al,2021-07-23,41.15,41.53,41.597264665948515,41.09699999999998,41.15550480620887,40.69559999999986
al,2021-07-26,41.53,41.36,41.43418299140137,41.037999999999975,41.28033653747258,40.66284999999986
al,2021-07-27,41.36,42.03,42.13581624942433,41.04499999999997,41.306891024981724,40.77409999999986
al,2021-07-28,42.03,42.53,42.510854278510344,41.125999999999976,41.547927349987816,41.05054999999986
al,2021-07-29,42.53,42.36,42.4376773017037,41.22899999999997,41.87528489999188,41.36294999999986
al,2021-07-30,42.36,42.1,42.52082414243349,41.436999999999976,42.03685659999459,41.874549999999864
al,2021-08-02,42.1,42.51,42.76761463695109,41.75199999999998,42.057904399996396,42.55734999999986
al,2021-08-03,42.51,42.11,42.22820174558874,41.881999999999984,42.20860293333094,42.76054999999986
al,2021-08-04,42.11,43.21,43.259130438658694,41.89799999999998,42.175735288887296,42.68849999999986
al,2021-08-05,43.21,42.55,43.27633488313639,42.088999999999984,42.52049019259154,43.03354999999986
al,2021-08-06,42.55,42.55,43.27633488313639,42.228999999999985,42.53032679506103,43.213749999999855
