symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
amc,2021-03-24,9.02,10.94,11.423212524285963,12.21599999999997,11.171645789254596,14.112000000000148
amc,2021-03-25,10.94,10.24,10.56560292777803,12.281999999999972,11.094430526169731,13.795200000000147
amc,2021-03-26,10.24,10.35,10.409767902037531,12.189999999999973,10.80962035077982,13.144450000000148
amc,2021-03-29,10.35,10.35,10.543190783546214,11.820999999999973,10.656413567186547,11.929450000000148
amc,2021-03-30,10.35,10.21,10.25004835450007,11.553999999999972,10.554275711457699,11.070850000000146
amc,2021-03-31,10.21,9.36,9.572826412997452,11.218999999999971,10.4395171409718,10.167200000000147
amc,2021-04-01,9.36,10.61,10.72102013441061,10.75499999999997,10.079678093981201,9.100200000000147
amc,2021-04-05,10.61,10.2,10.172453609634632,10.42299999999997,10.256452062654134,8.501200000000145
amc,2021-04-06,10.2,9.85,9.77491581990344,10.19399999999997,10.23763470843609,8.242050000000145
amc,2021-04-07,9.85,9.79,9.882721949506857,10.112999999999971,10.108423138957395,8.367450000000144
amc,2021-04-08,9.79,9.42,9.50334152876063,10.189999999999971,10.002282092638264,8.863850000000145
amc,2021-04-09,9.42,8.62,8.930799141158436,10.037999999999972,9.808188061758845,8.820450000000145
amc,2021-04-12,8.62,8.84,9.061012317092045,9.875999999999973,9.412125374505898,8.762550000000143
amc,2021-04-13,8.84,9.35,9.398908793246793,9.724999999999973,9.221416916337265,8.699450000000144
amc,2021-04-14,9.35,9.9,9.861633100843667,9.624999999999973,9.264277944224844,8.738800000000143
amc,2021-04-15,9.9,9.33,9.591298419652354,9.593999999999975,9.476185296149897,8.905050000000143
amc,2021-04-16,9.33,9.66,9.586649823202626,9.590999999999974,9.427456864099932,9.072150000000143
amc,2021-04-19,9.66,9.28,9.491197725037233,9.495999999999974,9.504971242733289,8.973700000000141
amc,2021-04-20,9.28,9.78,9.887116729956213,9.403999999999973,9.429980828488858,8.86220000000014
amc,2021-04-21,9.78,9.99,9.87670652309048,9.396999999999974,9.54665388565924,8.95210000000014
amc,2021-04-22,9.99,10.16,10.002776020115338,9.416999999999973,9.694435923772826,9.11805000000014
amc,2021-04-23,10.16,11.5,11.444764237992946,9.490999999999973,9.849623949181884,9.38510000000014
amc,2021-04-26,11.5,11.46,11.36468632004069,9.778999999999971,10.39974929945459,10.119650000000142
