symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
amd,2021-03-23,78.38,76.48,77.44819354458984,80.35400000000013,79.55698880467381,80.93779999999973
amd,2021-03-24,76.48,76.22,76.07231106846695,80.25000000000013,78.53132586978253,80.70914999999974
amd,2021-03-25,76.22,77.41,76.62215316165491,79.74900000000012,77.76088391318837,79.54529999999974
amd,2021-03-26,77.41,77.14,76.48436421420139,79.38500000000013,77.64392260879225,78.72664999999974
amd,2021-03-29,77.14,76.0,74.89032788593768,78.84900000000013,77.4759484058615,77.50004999999973
amd,2021-03-30,76.0,78.5,78.58124047522067,78.17400000000012,76.98396560390768,76.00649999999973
amd,2021-03-31,78.5,81.09,80.6629860572933,77.76100000000012,77.48931040260513,75.25644999999973
amd,2021-04-01,81.09,81.43,80.14610889503253,78.05800000000013,78.68954026840342,76.24239999999973
amd,2021-04-05,81.43,81.44,80.71475326671816,78.29500000000014,79.60302684560229,77.05089999999974
amd,2021-04-06,81.44,82.2,81.39515763199162,78.40900000000015,80.21535123040152,77.62989999999974
amd,2021-04-07,82.2,83.35,83.36012245182535,78.79100000000015,80.87690082026768,78.81934999999973
amd,2021-04-08,83.35,82.76,82.44210708404447,79.47800000000015,81.70126721351178,80.65264999999974
amd,2021-04-09,82.76,78.58,79.71275006273585,80.13200000000015,82.05417814234119,82.23019999999973
amd,2021-04-12,78.58,80.19,79.90684773076207,80.24900000000017,80.8961187615608,82.39309999999973
amd,2021-04-13,80.19,78.55,77.91012054631173,80.55400000000017,80.66074584104054,82.89984999999973
amd,2021-04-14,78.55,83.01,85.38258457812012,80.80900000000017,79.95716389402702,83.14209999999972
amd,2021-04-15,83.01,82.15,82.20826800132295,81.26000000000016,80.97477592935135,83.74474999999971
amd,2021-04-16,82.15,81.11,81.41543418927195,81.36600000000016,81.36651728623424,83.51354999999971
amd,2021-04-19,81.11,79.27,79.30743073314159,81.33400000000015,81.28101152415617,82.97769999999971
amd,2021-04-20,79.27,81.61,81.25298482534372,81.11700000000015,80.61067434943746,82.02899999999971
amd,2021-04-21,81.61,79.06,79.5099644929965,81.05800000000013,80.94378289962498,81.54144999999971
amd,2021-04-22,79.06,82.76,82.51407874345495,80.62900000000015,80.31585526641666,80.29629999999972
amd,2021-04-23,82.76,85.41,84.65386847965749,80.62900000000015,81.1305701776111,80.22174999999972
amd,2021-04-26,85.41,85.21,85.63830611284331,81.31200000000014,82.55704678507408,81.76979999999972
amd,2021-04-27,85.21,84.02,85.63911393696115,81.81400000000015,83.44136452338273,82.83579999999971
amd,2021-04-28,84.02,83.91,83.26681845543467,82.36100000000015,83.6342430155885,83.97049999999972
amd,2021-04-29,83.91,81.62,82.19937106597645,82.45100000000015,83.72616201039233,84.01684999999972
amd,2021-04-30,81.62,78.55,79.10742391576308,82.39800000000015,83.02410800692823,83.72954999999972
amd,2021-05-03,78.55,78.61,77.78945289567972,82.14200000000014,81.5327386712855,82.96834999999973
amd,2021-05-04,78.61,77.83,77.9551386692869,82.07600000000015,80.55849244752368,82.65949999999972
amd,2021-05-05,77.83,77.89,77.48010653341392,81.69800000000015,79.64899496501579,81.61849999999973
amd,2021-05-06,77.89,78.81,78.82198489582223,81.58100000000016,79.06266331001052,81.18319999999972
amd,2021-05-07,78.81,75.99,76.72182287492203,81.18600000000015,78.97844220667369,80.11214999999972
amd,2021-05-10,75.99,76.83,77.3328251838567,80.24400000000016,77.98229480444914,77.91734999999971
amd,2021-05-11,76.83,74.64,75.46688581144949,79.40600000000015,77.59819653629944,76.18354999999971
amd,2021-05-12,74.64,73.09,74.22152000414707,78.46800000000016,76.61213102419963,74.42249999999972
amd,2021-05-13,73.09,74.59,74.65404552381446,77.38600000000017,75.43808734946643,72.47724999999971
amd,2021-05-14,74.59,74.65,75.01778516833265,76.68300000000016,75.15539156631095,71.57699999999971
amd,2021-05-17,74.65,74.44,75.18363379029994,76.29300000000016,74.98692771087397,71.4793499999997
amd,2021-05-18,74.44,76.23,76.33807285633223,75.87600000000018,74.80461847391598,71.3668499999997
amd,2021-05-19,76.23,78.06,77.6054943198951,75.71600000000016,75.27974564927733,71.8641499999997
amd,2021-05-20,78.06,77.17,77.41593992984579,75.73300000000016,76.20649709951823,72.78384999999972
amd,2021-05-21,77.17,77.44,77.37573484236445,75.56900000000016,76.52766473301216,73.21639999999971
amd,2021-05-24,77.44,77.86,77.91550389618791,75.71400000000017,76.83177648867478,74.25839999999971
amd,2021-05-25,77.86,78.34,78.08250903919011,75.81700000000016,77.17451765911653,75.05424999999971
amd,2021-05-26,78.34,78.42,77.7939737879479,76.18700000000017,77.56301177274436,76.3213999999997
amd,2021-05-27,78.42,80.08,80.37577672773727,76.72000000000017,77.84867451516291,77.7537999999997
amd,2021-05-28,80.08,80.81,81.39284511253508,77.26900000000016,78.59244967677527,79.0383999999997
amd,2021-06-01,80.81,81.97,81.71406796037846,77.88500000000016,79.33163311785019,80.3395999999997
amd,2021-06-02,81.97,80.28,80.59399797147978,78.63800000000018,80.21108874523347,81.8077999999997
amd,2021-06-03,80.28,81.58,81.41160369004704,79.04300000000016,80.23405916348898,82.32124999999971
amd,2021-06-04,81.58,81.35,80.72194625295784,79.39500000000017,80.68270610899266,82.65194999999969
amd,2021-06-07,81.35,80.89,81.17657909147313,79.81300000000017,80.9051374059951,83.06034999999969
amd,2021-06-08,80.89,79.96,80.3023325101697,80.15800000000017,80.90009160399674,83.25624999999968
amd,2021-06-09,79.96,81.56,81.16998291273778,80.36800000000018,80.58672773599784,83.09859999999968
amd,2021-06-10,81.56,81.31,81.24241640335879,80.69000000000018,80.91115182399857,83.22814999999967
amd,2021-06-11,81.31,81.55,80.65149177990469,80.97900000000018,81.04410121599905,83.31179999999968
amd,2021-06-14,81.55,80.47,80.40626677063969,81.12600000000018,81.21273414399937,83.10074999999968
amd,2021-06-15,80.47,80.11,80.1651115595572,81.09200000000018,80.96515609599959,82.53469999999967
amd,2021-06-16,80.11,84.56,84.12852437968205,80.90600000000019,80.68010406399974,81.72949999999966
amd,2021-06-17,84.56,84.65,83.80643285880288,81.3340000000002,81.97340270933316,82.45584999999966
amd,2021-06-18,84.65,82.59,82.34740923794864,81.64100000000019,82.86560180622212,82.88644999999966
amd,2021-06-21,82.59,83.58,83.00506116839878,81.76500000000019,82.77373453748142,82.90364999999966
amd,2021-06-22,83.58,83.82,83.33188409691758,82.03400000000019,83.04248969165428,83.29474999999967
amd,2021-06-23,83.82,86.1,85.80968902640113,82.42000000000019,83.30165979443619,83.95194999999967
amd,2021-06-24,86.1,85.62,84.8025122069283,82.87400000000018,84.23443986295746,84.75934999999967
amd,2021-06-25,85.62,87.08,86.6207341812779,83.30500000000018,84.69629324197165,85.48794999999969
amd,2021-06-28,87.08,89.52,88.56038080257295,83.85800000000019,85.49086216131442,86.46064999999967
amd,2021-06-29,89.52,93.93,91.93639530047334,84.76300000000018,86.83390810754295,88.17249999999969
amd,2021-06-30,93.93,93.31,91.09446961224648,86.14500000000018,89.1992720716953,90.84164999999969
amd,2021-07-01,93.31,94.7,93.22141345334605,87.02000000000018,90.56951471446354,92.1762499999997
amd,2021-07-02,94.7,94.47,93.29566133389554,88.02500000000019,91.94634314297569,93.7311499999997
amd,2021-07-06,94.47,90.54,91.12906935070416,89.21300000000019,92.78756209531713,95.5839499999997
amd,2021-07-07,90.54,89.74,89.17123264433448,89.90900000000019,92.03837473021142,96.14269999999969
amd,2021-07-08,89.74,90.9,89.83947133131652,90.50100000000018,91.27224982014094,96.41054999999969
