symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
asm,2021-03-23,1.22,1.22,1.2502697019838171,1.3089999999999942,1.2895699896810715,1.3222000000000054
asm,2021-03-24,1.22,1.27,1.2674426872583577,1.3019999999999943,1.2663799931207143,1.3075500000000055
asm,2021-03-25,1.27,1.26,1.268989159870419,1.2969999999999942,1.2675866620804763,1.2961000000000056
asm,2021-03-26,1.26,1.22,1.2590113763746653,1.2899999999999943,1.2650577747203176,1.2796500000000055
asm,2021-03-29,1.22,1.22,1.2529254556603013,1.2789999999999941,1.250038516480212,1.2544000000000055
asm,2021-03-30,1.22,1.24,1.2356958977235277,1.2729999999999944,1.2400256776534748,1.2404500000000056
asm,2021-03-31,1.24,1.29,1.3018251535753733,1.2619999999999945,1.24001711843565,1.2161000000000055
asm,2021-04-01,1.29,1.27,1.274975280594817,1.2609999999999943,1.2566780789571002,1.2182500000000054
asm,2021-04-05,1.27,1.26,1.2809989777046418,1.2539999999999942,1.2611187193047335,1.2082500000000054
asm,2021-04-06,1.26,1.25,1.270386169756283,1.2469999999999941,1.2607458128698223,1.2014000000000054
asm,2021-04-07,1.25,1.29,1.2909792593931586,1.2499999999999942,1.2571638752465484,1.2177500000000054
asm,2021-04-08,1.29,1.26,1.2675086879717576,1.2569999999999941,1.2681092501643656,1.2420000000000055
asm,2021-04-09,1.26,1.22,1.2416339944578305,1.2559999999999942,1.2654061667762437,1.2456500000000055
asm,2021-04-12,1.22,1.22,1.2491026167920793,1.2519999999999942,1.250270777850829,1.2413500000000055
asm,2021-04-13,1.22,1.19,1.2249867497790172,1.2519999999999942,1.2401805185672194,1.2454000000000054
asm,2021-04-14,1.19,1.27,1.2768558297429462,1.2489999999999941,1.223453679044813,1.2415000000000054
asm,2021-04-15,1.27,1.24,1.2511119859670141,1.251999999999994,1.2389691193632086,1.2505000000000055
asm,2021-04-16,1.24,1.22,1.2477921581451072,1.2469999999999941,1.2393127462421392,1.2401000000000058
asm,2021-04-19,1.22,1.23,1.2497803523060393,1.2419999999999942,1.2328751641614262,1.2294000000000056
asm,2021-04-20,1.23,1.3,1.2938170053010016,1.2389999999999943,1.2319167761076175,1.2231000000000054
asm,2021-04-21,1.3,1.25,1.265601606728826,1.2439999999999944,1.254611184071745,1.2365000000000053
asm,2021-04-22,1.25,1.22,1.2468377450971202,1.2399999999999944,1.2530741227144968,1.229050000000005
asm,2021-04-23,1.22,1.26,1.282374214826079,1.2359999999999947,1.242049415142998,1.2220500000000052
asm,2021-04-26,1.26,1.24,1.2514053391234814,1.2399999999999944,1.2480329434286654,1.233850000000005
asm,2021-04-27,1.24,1.27,1.2708381770520742,1.2419999999999944,1.2453552956191105,1.2403500000000052
asm,2021-04-28,1.27,1.24,1.2606894890955453,1.2499999999999944,1.253570197079407,1.260200000000005
asm,2021-04-29,1.24,1.24,1.2656231856964382,1.2469999999999946,1.2490467980529383,1.2534500000000048
asm,2021-04-30,1.24,1.3,1.3398255954444673,1.2469999999999946,1.2460311987019588,1.2534500000000048
asm,2021-05-03,1.3,1.27,1.2702758176797593,1.2549999999999946,1.2640207991346393,1.271500000000005
asm,2021-05-04,1.27,1.33,1.303789199012389,1.2589999999999946,1.2660138660897595,1.2785000000000049
asm,2021-05-05,1.33,1.32,1.3142747980227694,1.2619999999999945,1.287342577393173,1.2833000000000048
asm,2021-05-06,1.32,1.4,1.3613171174514491,1.2689999999999944,1.2982283849287821,1.296450000000005
asm,2021-05-07,1.4,1.33,1.325898273758859,1.2869999999999944,1.3321522566191881,1.333800000000005
asm,2021-05-10,1.33,1.41,1.3548831306675595,1.2939999999999945,1.3314348377461256,1.343200000000005
asm,2021-05-11,1.41,1.3,1.2929872450835294,1.3109999999999944,1.3576232251640838,1.375350000000005
asm,2021-05-12,1.3,1.25,1.2727438975418148,1.3139999999999945,1.3384154834427227,1.373250000000005
asm,2021-05-13,1.25,1.27,1.2762898880364584,1.3149999999999946,1.308943655628482,1.365550000000005
asm,2021-05-14,1.27,1.38,1.344295724721301,1.3179999999999945,1.2959624370856546,1.362400000000005
asm,2021-05-17,1.38,1.34,1.3292769325669616,1.3259999999999945,1.3239749580571032,1.3717500000000047
asm,2021-05-18,1.34,1.32,1.3220448790598116,1.3329999999999944,1.3293166387047357,1.3781500000000046
asm,2021-05-19,1.32,1.32,1.3151646258849259,1.3319999999999945,1.3262110924698238,1.3651500000000047
asm,2021-05-20,1.32,1.32,1.31096403770092,1.3319999999999945,1.324140728313216,1.3557000000000048
asm,2021-05-21,1.32,1.32,1.313406160152258,1.3239999999999945,1.3227604855421442,1.3301500000000048
asm,2021-05-24,1.32,1.32,1.3054694805054718,1.3229999999999946,1.321840323694763,1.323300000000005
asm,2021-05-25,1.32,1.3,1.2947437622169924,1.3139999999999945,1.3212268824631754,1.300350000000005
asm,2021-05-26,1.3,1.3,1.2970909114941702,1.3139999999999945,1.3141512549754504,1.300350000000005
asm,2021-05-27,1.3,1.31,1.3063358726278098,1.3189999999999946,1.3094341699836338,1.312250000000005
asm,2021-05-28,1.31,1.33,1.3343834607169165,1.3229999999999946,1.3096227799890894,1.321500000000005
asm,2021-06-01,1.33,1.35,1.3433626652815138,1.3179999999999947,1.316415186659393,1.310200000000005
asm,2021-06-02,1.35,1.31,1.3057373437378255,1.3189999999999946,1.3276101244395955,1.3148000000000049
asm,2021-06-03,1.31,1.29,1.3075766693437658,1.3179999999999947,1.3217400829597303,1.314400000000005
asm,2021-06-04,1.29,1.3,1.2978398367158372,1.3149999999999946,1.311160055306487,1.3094500000000049
asm,2021-06-07,1.3,1.28,1.2934170897823716,1.3129999999999946,1.3074400368709915,1.306100000000005
asm,2021-06-08,1.28,1.29,1.2911021808407535,1.3089999999999944,1.2982933579139946,1.298200000000005
asm,2021-06-09,1.29,1.33,1.3221252901943867,1.3059999999999945,1.2955289052759964,1.291900000000005
asm,2021-06-10,1.33,1.31,1.3028252200758907,1.3089999999999944,1.3070192701839978,1.300150000000005
asm,2021-06-11,1.31,1.34,1.3151506105777147,1.3099999999999945,1.308012846789332,1.3040000000000052
asm,2021-06-14,1.34,1.29,1.2967894900517887,1.3129999999999944,1.3186752311928882,1.313000000000005
asm,2021-06-15,1.29,1.29,1.2885428613513592,1.3089999999999944,1.3091168207952588,1.3043500000000052
asm,2021-06-16,1.29,1.22,1.2685328508999418,1.3029999999999946,1.3027445471968393,1.2917500000000053
asm,2021-06-17,1.22,1.18,1.228344541253732,1.2939999999999947,1.2751630314645594,1.272850000000005
asm,2021-06-18,1.18,1.21,1.2282474012214117,1.2829999999999946,1.243442020976373,1.250150000000005
asm,2021-06-21,1.21,1.17,1.2036627763136862,1.2739999999999945,1.2322946806509154,1.233500000000005
