symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
asrt,2021-03-24,0.7229,0.7099,0.7583845751450623,0.901209999999994,0.8225143309031577,0.8362404999999754
asrt,2021-03-25,0.7099,0.6958,0.7300358252837262,0.8770099999999939,0.7849762206021051,0.7883179999999754
asrt,2021-03-26,0.6958,0.6699,0.6969486752272063,0.848239999999994,0.7552508137347368,0.7352434999999755
asrt,2021-03-29,0.6699,0.6772,0.6908986799749858,0.818049999999994,0.7268005424898245,0.6828354999999755
asrt,2021-03-30,0.6772,0.6825,0.6975081628870591,0.7952299999999941,0.7102670283265498,0.6498064999999756
asrt,2021-03-31,0.6825,0.715,0.7271195404602652,0.766719999999994,0.7010113522177,0.6045429999999756
asrt,2021-04-01,0.715,0.6507,0.6669034338774037,0.7460099999999941,0.7056742348118,0.5814164999999757
asrt,2021-04-05,0.6507,0.6042,0.6134410133531043,0.718069999999994,0.6873494898745334,0.5451304999999756
asrt,2021-04-06,0.6042,0.5663,0.5694582834634966,0.691339999999994,0.6596329932496889,0.5156464999999756
asrt,2021-04-07,0.5663,0.586,0.5835616531637944,0.6694399999999939,0.6285219954997927,0.4989019999999756
asrt,2021-04-08,0.586,0.61,0.6105666309912515,0.655749999999994,0.6143479969998618,0.5014959999999755
asrt,2021-04-09,0.61,0.5501,0.5530782600457458,0.645759999999994,0.6128986646665745,0.5112084999999754
asrt,2021-04-12,0.5501,0.521,0.5191552520128188,0.6311899999999939,0.5919657764443831,0.5073409999999755
asrt,2021-04-13,0.521,0.5182,0.512443634373572,0.6162999999999939,0.5683105176295887,0.5003784999999754
asrt,2021-04-14,0.5182,0.5304,0.5174289496902478,0.6003999999999939,0.5516070117530592,0.4898529999999754
asrt,2021-04-15,0.5304,0.4838,0.48049150539738683,0.5851899999999939,0.5445380078353728,0.47905749999997543
asrt,2021-04-16,0.4838,0.4813,0.47499748430238753,0.5620699999999939,0.5242920052235819,0.44884849999997556
asrt,2021-04-19,0.4813,0.4715,0.4670746856339511,0.5451299999999939,0.5099613368157212,0.43243949999997555
asrt,2021-04-20,0.4715,0.5208,0.5149628920927858,0.531859999999994,0.4971408912104808,0.4231864999999756
asrt,2021-04-21,0.5208,0.5109,0.5083972505297091,0.527309999999994,0.5050272608069872,0.4331309999999756
asrt,2021-04-22,0.5109,0.5269,0.526792552366082,0.519799999999994,0.5069848405379915,0.43474849999997567
asrt,2021-04-23,0.5269,0.5721,0.5701410713308358,0.511489999999994,0.5136232270253277,0.4341139999999757
asrt,2021-04-26,0.5721,0.5464,0.5458870075175342,0.513689999999994,0.5331154846835519,0.4572389999999757
asrt,2021-04-27,0.5464,0.5648,0.5665821786663964,0.5162299999999941,0.5375436564557012,0.47859949999997575
asrt,2021-04-28,0.5648,0.5469,0.5490997505400664,0.5208899999999941,0.5466291043038009,0.5021759999999758
asrt,2021-04-29,0.5469,0.5501,0.5495593602621344,0.522539999999994,0.5467194028692006,0.5156984999999757
asrt,2021-04-30,0.5501,0.5491,0.5482590022880962,0.529169999999994,0.5478462685794672,0.5372084999999757
asrt,2021-05-03,0.5491,0.5269,0.5284186203901629,0.535949999999994,0.5482641790529781,0.5555354999999758
asrt,2021-05-04,0.5269,0.51,0.5105142696584603,0.541489999999994,0.5411427860353187,0.5679409999999757
asrt,2021-05-05,0.51,0.4987,0.49526998676622225,0.5404099999999941,0.5307618573568792,0.5632759999999757
asrt,2021-05-06,0.4987,0.57,0.552786991694236,0.5391899999999941,0.5200745715712528,0.5573174999999757
asrt,2021-05-07,0.57,0.512,0.510287248127061,0.543499999999994,0.5367163810475019,0.5632909999999757
asrt,2021-05-10,0.512,0.4901,0.49138983498280975,0.537489999999994,0.5284775873650013,0.5446959999999756
asrt,2021-05-11,0.4901,0.4767,0.4771898055193106,0.531859999999994,0.5156850582433342,0.5282764999999756
asrt,2021-05-12,0.4767,0.4652,0.4654064456290475,0.523049999999994,0.5026900388288895,0.5059274999999757
asrt,2021-05-13,0.4652,0.4923,0.49352420401890224,0.5148799999999941,0.49019335921925966,0.48665149999997565
asrt,2021-05-14,0.4923,0.4325,0.43062573259403797,0.5090999999999941,0.4908955728128398,0.47521199999997565
asrt,2021-05-17,0.4325,1.56,1.5449218458224885,0.49743999999999405,0.47143038187522657,0.4518384999999756
asrt,2021-05-18,1.56,1.56,1.431195208523969,0.6007499999999941,0.8342869212501511,0.7012244999999756
asrt,2021-05-19,1.56,1.49,1.4057901626817704,0.7057499999999941,1.0761912808334342,0.9389234999999756
asrt,2021-05-20,1.49,1.48,1.4120777109339109,0.8048799999999942,1.2141275205556228,1.1468949999999756
asrt,2021-05-21,1.48,1.51,1.4457782359684979,0.8958799999999941,1.3027516803704153,1.3215379999999757
asrt,2021-05-24,1.51,1.52,1.469672181480811,0.9956799999999941,1.3718344535802771,1.5023094999999755
asrt,2021-05-25,1.52,1.85,1.7600245162971477,1.098669999999994,1.421222969053518,1.6747629999999756
asrt,2021-05-26,1.85,1.79,1.791289392559169,1.235999999999994,1.5641486460356788,1.9111454999999755
asrt,2021-05-27,1.79,1.81,1.8054345417583662,1.3684799999999941,1.6394324306904526,2.114305499999975
asrt,2021-05-28,1.81,1.79,1.7611355400482376,1.5002499999999943,1.6962882871269684,2.295057999999975
asrt,2021-06-01,1.79,1.83,1.8434316870285299,1.6359999999999943,1.7275255247513124,2.463648999999975
asrt,2021-06-02,1.83,1.79,1.8175860591549045,1.6629999999999943,1.7616836831675418,2.371811499999975
asrt,2021-06-03,1.79,1.8,1.8170035117258188,1.6859999999999942,1.771122455445028,2.282273999999975
asrt,2021-06-04,1.8,1.84,1.8494196846493396,1.7169999999999945,1.780748303630019,2.2229559999999746
asrt,2021-06-07,1.84,1.86,1.8514736656050186,1.7529999999999943,1.8004988690866794,2.1843879999999745
asrt,2021-06-08,1.86,1.94,1.9502416610875888,1.7879999999999943,1.8203325793911196,2.1530399999999745
asrt,2021-06-09,1.94,1.92,1.9069819309690625,1.8299999999999943,1.86022171959408,2.148340499999974
asrt,2021-06-10,1.92,1.86,1.848555450173849,1.836999999999994,1.88014781306272,2.0756904999999746
asrt,2021-06-11,1.86,1.85,1.8542347468124643,1.843999999999994,1.8734318753751467,2.021862499999975
asrt,2021-06-14,1.85,1.73,1.7251773122962861,1.8479999999999943,1.865621250250098,1.979699999999975
asrt,2021-06-15,1.73,1.72,1.7423479609965469,1.8419999999999945,1.8204141668333989,1.9337999999999749
