symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
atos,2021-03-23,2.39,2.16,2.244102459061528,2.7949999999999995,2.592352791030865,2.976200000000001
atos,2021-03-24,2.16,2.26,2.3300838292502872,2.7199999999999998,2.448235194020577,2.7651500000000007
atos,2021-03-25,2.26,2.16,2.2513719565444115,2.6239999999999997,2.385490129347051,2.5206500000000007
atos,2021-03-26,2.16,2.05,2.125815601155548,2.5489999999999995,2.3103267528980345,2.342750000000001
atos,2021-03-29,2.05,2.05,2.1043969372351494,2.4629999999999996,2.2235511685986897,2.1511500000000003
atos,2021-03-30,2.05,2.11,2.126478348250208,2.396,2.1657007790657934,2.01725
atos,2021-03-31,2.11,2.16,2.1756616894407443,2.3169999999999997,2.147133852710529,1.87045
atos,2021-04-01,2.16,2.12,2.168827699580318,2.2619999999999996,2.151422568473686,1.80045
atos,2021-04-05,2.12,2.04,2.0488206608584782,2.1959999999999997,2.1409483789824577,1.7210999999999999
atos,2021-04-06,2.04,2.16,2.1637829939772573,2.1499999999999995,2.1072989193216385,1.7041999999999997
atos,2021-04-07,2.16,2.06,2.102314892135415,2.127,2.1248659462144257,1.7468999999999997
atos,2021-04-08,2.06,2.02,2.0359394601311647,2.1169999999999995,2.103243964142951,1.81235
atos,2021-04-09,2.02,1.9,1.9556444661652996,2.092999999999999,2.0754959760953007,1.8320000000000003
atos,2021-04-12,1.9,1.84,1.885130104788878,2.0669999999999993,2.016997317396867,1.8393000000000002
atos,2021-04-13,1.84,1.86,1.8890596128042763,2.045999999999999,1.9579982115979113,1.8493500000000005
atos,2021-04-14,1.86,1.73,1.80582347481611,2.026999999999999,1.9253321410652742,1.8572000000000006
atos,2021-04-15,1.73,1.63,1.6756362150824957,1.988999999999999,1.8602214273768496,1.8114000000000003
atos,2021-04-16,1.63,1.52,1.5754830907919404,1.9359999999999988,1.7834809515845664,1.7278000000000007
atos,2021-04-19,1.52,1.55,1.5649003769839527,1.8759999999999988,1.6956539677230444,1.6258000000000006
atos,2021-04-20,1.55,1.7,1.720054905703117,1.8269999999999988,1.6471026451486963,1.5517500000000009
