symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
atvi,2021-03-26,92.4,94.02,94.2368565568087,91.5375,91.4900758309386,90.91192500000031
atvi,2021-03-29,94.02,92.66,91.54927987486195,91.68199999999999,92.3333838872924,91.4131250000003
atvi,2021-03-30,92.66,93.0,93.73592103168974,91.61999999999999,92.4422559248616,91.3553250000003
atvi,2021-03-31,93.0,95.54,95.1316708820603,91.676,92.62817061657441,91.5650750000003
atvi,2021-04-01,95.54,97.87,96.75327842313133,92.27199999999999,93.59878041104962,93.0060250000003
atvi,2021-04-05,97.87,97.32,97.15079026652343,93.00999999999999,95.02252027403308,94.6599250000003
atvi,2021-04-06,97.32,96.84,97.3668039668669,93.55499999999998,95.78834684935539,95.78947500000031
atvi,2021-04-07,96.84,96.46,96.1342377938375,94.10099999999998,96.13889789957027,96.82282500000031
atvi,2021-04-08,96.46,95.78,94.9598029576817,94.69599999999998,96.24593193304685,97.8774250000003
atvi,2021-04-09,95.78,96.14,96.21605060180003,95.18899999999998,96.0906212886979,98.5717250000003
atvi,2021-04-12,96.14,97.54,97.36230828445596,95.56299999999997,96.10708085913194,98.9029000000003
atvi,2021-04-13,97.54,96.69,96.90515107014815,95.91499999999999,96.58472057275463,99.14795000000031
atvi,2021-04-14,96.69,97.78,97.21954069698111,96.318,96.61981371516976,99.45075000000031
atvi,2021-04-15,97.78,96.48,95.869139960624,96.796,97.00654247677984,99.87775000000032
atvi,2021-04-16,96.48,96.0,95.7157398993092,96.89000000000001,96.83102831785324,99.42005000000032
atvi,2021-04-19,96.0,94.47,94.24140215045311,96.703,96.55401887856884,98.3986000000003
atvi,2021-04-20,94.47,93.18,92.65589877013433,96.418,95.8593459190459,97.2566500000003
atvi,2021-04-21,93.18,93.7,94.41962938374655,96.052,94.96623061269727,96.04900000000032
atvi,2021-04-22,93.7,93.02,93.58617701479223,95.776,94.5441537417982,95.19700000000032
atvi,2021-04-23,93.02,94.24,94.41220749081059,95.5,94.03610249453213,94.46035000000032
atvi,2021-04-26,94.24,91.6,91.26612321016749,95.31,94.10406832968809,94.02330000000032
atvi,2021-04-27,91.6,91.25,91.96547735958815,94.71600000000001,93.26937888645872,92.7181500000003
atvi,2021-04-28,91.25,92.09,92.51376624679928,94.172,92.59625259097248,91.6800500000003
atvi,2021-04-29,92.09,91.19,92.31251033248046,93.603,92.42750172731499,90.7365000000003
atvi,2021-04-30,91.19,91.15,91.92055690419747,93.074,92.01500115154333,89.98640000000032
atvi,2021-05-03,91.15,88.69,88.38660246430011,92.589,91.72666743436223,89.3910000000003
atvi,2021-05-04,88.69,90.08,90.39191962709897,92.011,90.7144449562415,88.6070500000003
atvi,2021-05-05,90.08,93.03,92.68556314822702,91.701,90.502963304161,88.48470000000029
atvi,2021-05-06,93.03,94.8,94.56785873041204,91.63399999999999,91.34530886944067,88.93850000000029
atvi,2021-05-07,94.8,93.17,93.59891409202234,91.81199999999998,92.49687257962712,89.9367000000003
atvi,2021-05-10,93.17,95.34,94.98488214242768,91.70499999999998,92.7212483864181,90.2099500000003
atvi,2021-05-11,95.34,92.66,92.92768792899356,92.07899999999998,93.59416559094541,91.54050000000032
atvi,2021-05-12,92.66,93.42,93.41329637506678,92.21999999999998,93.28277706063028,92.18580000000033
atvi,2021-05-13,93.42,93.35,93.15385530345665,92.35299999999998,93.32851804042019,92.70580000000032
atvi,2021-05-14,93.35,92.3,92.22980101812952,92.56899999999999,93.33567869361346,93.32155000000031
atvi,2021-05-17,92.3,93.66,94.42779027242057,92.68399999999998,92.99045246240898,93.59480000000032
atvi,2021-05-18,93.66,94.26,93.93021932352814,93.18099999999997,93.21363497493932,94.66180000000034
atvi,2021-05-19,94.26,96.57,96.45802274653016,93.59899999999996,93.56242331662622,95.42210000000034
atvi,2021-05-20,96.57,95.37,95.2114565698112,93.95299999999997,94.56494887775082,95.95925000000034
atvi,2021-05-21,95.37,96.5,96.14784641574062,94.00999999999996,94.83329925183389,95.77205000000035
atvi,2021-05-24,96.5,96.57,96.30740488714541,94.34299999999998,95.38886616788926,96.20885000000035
atvi,2021-05-25,96.57,97.3,97.33852183440085,94.46599999999998,95.7825774452595,96.15830000000035
atvi,2021-05-26,97.3,97.25,97.01841547518593,94.92999999999998,96.28838496350633,96.91180000000034
atvi,2021-05-27,97.25,97.25,97.20084379489694,95.31299999999997,96.60892330900424,97.42530000000033
atvi,2021-05-28,97.25,96.45,96.15047535225031,95.70299999999996,96.82261553933617,97.93020000000033
atvi,2021-06-01,96.45,95.39,95.09834172056681,96.11799999999997,96.69841035955744,98.45260000000033
