symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
btg,2021-03-23,4.57,4.5,4.562277749570377,4.611000000000007,4.629155229421449,4.7263499999999805
btg,2021-03-24,4.5,4.49,4.53563815830401,4.612000000000007,4.586103486280966,4.70799999999998
btg,2021-03-25,4.49,4.56,4.5551558993629,4.605000000000007,4.5540689908539775,4.66979999999998
btg,2021-03-26,4.56,4.54,4.566310419275309,4.610000000000007,4.556045993902652,4.662949999999979
btg,2021-03-29,4.54,4.22,4.298168624820457,4.602000000000007,4.550697329268434,4.628549999999979
btg,2021-03-30,4.22,4.31,4.241767413468013,4.567000000000007,4.440464886178956,4.532349999999979
btg,2021-03-31,4.31,4.5,4.43955587479245,4.516000000000007,4.396976590785972,4.410249999999979
btg,2021-04-01,4.5,4.47,4.50057174530234,4.505000000000008,4.431317727190648,4.390999999999979
btg,2021-04-05,4.47,4.56,4.556403476729042,4.484000000000007,4.444211818127099,4.352449999999979
btg,2021-04-06,4.56,4.52,4.548405788085953,4.4720000000000075,4.482807878751399,4.342399999999978
btg,2021-04-07,4.52,4.69,4.631576428989508,4.467000000000008,4.4952052525009325,4.351499999999978
btg,2021-04-08,4.69,4.71,4.65765523257857,4.486000000000008,4.5601368350006215,4.417899999999978
btg,2021-04-09,4.71,4.68,4.69921399673958,4.508000000000008,4.610091223333748,4.487449999999978
btg,2021-04-12,4.68,4.79,4.751277918836545,4.520000000000008,4.633394148889165,4.530949999999978
btg,2021-04-13,4.79,4.68,4.709241129674884,4.545000000000007,4.685596099259444,4.601999999999978
btg,2021-04-14,4.68,4.98,4.79870791383373,4.591000000000007,4.68373073283963,4.713399999999979
btg,2021-04-15,4.98,5.11,4.998269924924891,4.658000000000007,4.78248715522642,4.859599999999979
btg,2021-04-16,5.11,4.96,4.945052957560319,4.7190000000000065,4.89165810348428,4.97999999999998
btg,2021-04-19,4.96,5.12,4.981076890135238,4.768000000000007,4.914438735656187,5.059899999999979
btg,2021-04-20,5.12,5.26,5.1240281846366535,4.824000000000007,4.9829591571041245,5.14709999999998
btg,2021-04-21,5.26,5.13,5.104799908962348,4.898000000000006,5.075306104736083,5.267449999999981
btg,2021-04-22,5.13,5.07,5.072564114913423,4.942000000000006,5.09353740315739,5.3090499999999805
btg,2021-04-23,5.07,5.07,5.039410267625618,4.978000000000007,5.0856916021049265,5.328549999999981
btg,2021-04-26,5.07,4.98,4.988028637434665,5.017000000000007,5.080461068069951,5.351499999999982
btg,2021-04-27,4.98,5.01,4.936624638332199,5.036000000000007,5.046974045379968,5.325349999999982
btg,2021-04-28,5.01,4.92,4.91281843215319,5.069000000000006,5.034649363586645,5.336149999999981
btg,2021-04-29,4.92,4.8,4.834338610699214,5.063000000000007,4.996432909057764,5.260399999999981
btg,2021-04-30,4.8,5.06,4.951216166116387,5.032000000000006,4.930955272705176,5.135949999999982
btg,2021-05-03,5.06,4.95,4.960736083861612,5.042000000000007,4.97397018180345,5.119849999999981
btg,2021-05-04,4.95,4.95,4.922590259783116,5.0250000000000075,4.9659801212023,5.047199999999981
btg,2021-05-05,4.95,5.13,5.031263570839498,4.994000000000008,4.960653414134867,4.955299999999981
btg,2021-05-06,5.13,5.19,5.163724860539065,4.994000000000008,5.017102276089911,4.94749999999998
btg,2021-05-07,5.19,5.05,5.076197180565343,5.006000000000007,5.074734850726609,4.97329999999998
btg,2021-05-10,5.05,5.15,5.021411218928381,5.004000000000007,5.066489900484406,4.9702499999999805
btg,2021-05-11,5.15,5.03,5.0391757655070135,5.021000000000006,5.094326600322938,5.01499999999998
btg,2021-05-12,5.03,4.97,4.996108444216124,5.023000000000007,5.072884400215292,5.02689999999998
btg,2021-05-13,4.97,5.1,5.065656017571888,5.028000000000007,5.038589600143529,5.04464999999998
btg,2021-05-14,5.1,5.31,5.157891359372959,5.058000000000007,5.059059733429019,5.11574999999998
btg,2021-05-17,5.31,5.3,5.25393690502806,5.083000000000007,5.14270648895268,5.17209999999998
