symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
cfms,2021-03-24,1.0,1.0,1.0353673478804863,1.0790299999999875,1.0626680911621404,1.1506730000000265
cfms,2021-03-25,1.0,0.995,1.0275125648349523,1.0799999999999876,1.041778727441427,1.1411970000000267
cfms,2021-03-26,0.995,0.9814,1.0173391467919262,1.0754999999999875,1.0261858182942847,1.1191710000000268
cfms,2021-03-29,0.9814,0.9957,1.0222779350597924,1.0586399999999876,1.0112572121961898,1.070124000000027
cfms,2021-03-30,0.9957,0.99,1.0178270127488913,1.0482099999999874,1.00607147479746,1.037366500000027
cfms,2021-03-31,0.99,0.99,1.015718149162857,1.0352099999999875,1.00071431653164,1.000584000000027
cfms,2021-04-01,0.99,0.96,0.992658395943087,1.0262099999999876,0.99714287768776,0.9775515000000269
cfms,2021-04-05,0.96,0.9589,0.9875610887151421,1.0112099999999877,0.9847619184585067,0.9449550000000269
cfms,2021-04-06,0.9589,0.9275,0.9637640558993633,0.9950999999999877,0.9761412789723378,0.9150000000000269
cfms,2021-04-07,0.9275,0.8983,0.9355428400347482,0.9798499999999877,0.959927519314892,0.8912810000000269
cfms,2021-04-08,0.8983,0.8972,0.9285417149475406,0.9696799999999877,0.9393850128765947,0.8822585000000268
cfms,2021-04-09,0.8972,0.8328,0.8778888942636189,0.9593999999999877,0.9253233419177298,0.8746485000000268
cfms,2021-04-12,0.8328,0.8343,0.8814213343766031,0.9431799999999878,0.8944822279451532,0.8539465000000266
cfms,2021-04-13,0.8343,0.8355,0.870723654786642,0.9284699999999878,0.8744214852967689,0.8366970000000267
cfms,2021-04-14,0.8355,0.829,0.8638092832105434,0.9124499999999879,0.8614476568645126,0.8170110000000266
cfms,2021-04-15,0.829,0.8469,0.8762391917997449,0.8963499999999879,0.8506317712430085,0.7975900000000266
cfms,2021-04-16,0.8469,0.852,0.8974815562154154,0.8820399999999878,0.849387847495339,0.7834405000000265
cfms,2021-04-19,0.852,0.79,0.8265622190869922,0.8712399999999878,0.8502585649968928,0.7774360000000264
cfms,2021-04-20,0.79,0.8104,0.8379527181334571,0.8543499999999877,0.8301723766645952,0.7563235000000266
cfms,2021-04-21,0.8104,0.86,0.8782864006603555,0.8426399999999876,0.8235815844430635,0.7476300000000264
cfms,2021-04-22,0.86,0.9431,0.9509601573611843,0.8388099999999875,0.8357210562953757,0.7576855000000264
cfms,2021-04-23,0.9431,0.9505,0.9594141245307475,0.8433999999999875,0.8715140375302506,0.7865605000000265
cfms,2021-04-26,0.9505,0.9512,0.9568267095260042,0.8551699999999874,0.8978426916868337,0.8291870000000265
cfms,2021-04-27,0.9512,0.987,0.9937194126288339,0.8668599999999873,0.915628461124556,0.8676535000000267
cfms,2021-04-28,0.987,0.94,0.94644279256244,0.8820099999999874,0.9394189740830373,0.9100945000000269
cfms,2021-04-29,0.94,0.9349,0.9442071018432567,0.8931099999999873,0.9396126493886916,0.938330500000027
