symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
cort,2021-03-23,25.13,23.65,24.113781063702152,25.43299999999998,25.38576643931526,26.11190000000001
cort,2021-03-24,23.65,23.75,23.82377826789987,25.32199999999998,24.807177626210173,25.740125000000006
cort,2021-03-25,23.75,24.48,24.22348318955846,25.14899999999998,24.45478508414012,25.23810000000001
cort,2021-03-26,24.48,23.85,23.849917322656996,25.02799999999998,24.463190056093417,24.892325000000007
cort,2021-03-29,23.85,23.49,23.83399564137265,24.833999999999982,24.258793370728945,24.398100000000007
cort,2021-03-30,23.49,23.79,24.34191013101048,24.63299999999998,24.002528913819297,23.927325000000003
cort,2021-03-31,23.79,24.43,24.22455351252705,24.44099999999998,23.9316859425462,23.527350000000002
cort,2021-04-01,24.43,24.14,23.958984854090545,24.38899999999998,24.097790628364134,23.501600000000003
cort,2021-04-05,24.14,24.16,24.28624347893424,24.24099999999998,24.111860418909426,23.274100000000004
cort,2021-04-06,24.16,23.32,23.487754967120747,24.086999999999982,24.12790694593962,23.08395000000001
cort,2021-04-07,23.32,22.91,23.480432484021446,23.905999999999985,23.858604630626417,22.86050000000001
cort,2021-04-08,22.91,22.68,22.677789616735602,23.831999999999987,23.54240308708428,22.899000000000008
cort,2021-04-09,22.68,22.43,22.631696662869356,23.724999999999984,23.254935391389523,22.845100000000006
cort,2021-04-12,22.43,22.28,22.39603683063145,23.519999999999985,22.979956927593015,22.5588
cort,2021-04-13,22.28,22.95,22.978040378451574,23.362999999999985,22.74663795172868,22.386950000000002
cort,2021-04-14,22.95,22.94,22.933622971774057,23.308999999999987,22.814425301152454,22.45055
cort,2021-04-15,22.94,22.765,22.683596729430793,23.223999999999986,22.856283534101635,22.4206
cort,2021-04-16,22.765,22.9,22.7611719868477,23.057499999999987,22.82585568940109,22.204075
cort,2021-04-19,22.9,22.53,22.819804256786803,22.933499999999988,22.85057045960073,22.0902
cort,2021-04-20,22.53,23.18,23.009646299456673,22.770499999999988,22.74371363973382,21.880175
cort,2021-04-21,23.18,23.88,23.745235063342047,22.75649999999999,22.889142426489215,22.017599999999998
cort,2021-04-22,23.88,24.0,23.93285219788932,22.85349999999999,23.219428284326142,22.406875
cort,2021-04-23,24.0,24.31,24.087360081907747,22.985499999999988,23.479618856217428,22.8478
cort,2021-04-26,24.31,23.89,23.9371175455427,23.173499999999986,23.75641257081162,23.369775
cort,2021-04-27,23.89,23.76,23.673679221837148,23.334499999999988,23.800941713874415,23.776550000000004
cort,2021-04-28,23.76,23.46,23.22548443791298,23.41549999999999,23.787294475916276,23.963075
cort,2021-04-29,23.46,22.79,23.025226354042083,23.46749999999999,23.678196317277518,24.056550000000005
cort,2021-04-30,22.79,22.46,22.675476842630154,23.46999999999999,23.382130878185013,24.000925000000002
cort,2021-05-03,22.46,22.21,21.993206537949874,23.42599999999999,23.07475391879001,23.817050000000002
cort,2021-05-04,22.21,21.66,21.839162335427595,23.39399999999999,22.786502612526675,23.643525
cort,2021-05-05,21.66,21.71,21.510973654480182,23.24199999999999,22.41100174168445,23.1907
cort,2021-05-06,21.71,21.1,21.73698708158805,23.02499999999999,22.177334494456304,22.622474999999998
cort,2021-05-07,21.1,19.97,20.37625778250009,22.734999999999992,21.818222996304204,21.935049999999997
cort,2021-05-10,19.97,20.45,20.881297288383994,22.30099999999999,21.202148664202802,20.980924999999992
cort,2021-05-11,20.45,20.61,21.048208796928083,21.956999999999987,20.95143244280187,20.32754999999999
cort,2021-05-12,20.61,20.92,21.101845405391416,21.64199999999999,20.83762162853458,19.80607499999999
cort,2021-05-13,20.92,21.23,21.327625952607228,21.38799999999999,20.865081085689724,19.48299999999999
