symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
crtd,2021-03-26,5.02,5.05,5.056523822410503,5.4890000000000025,5.503594896723163,6.038899999999995
crtd,2021-03-29,5.05,5.19,5.198940905730532,5.468000000000002,5.352396597815442,5.907049999999995
crtd,2021-03-30,5.19,4.3,3.937516887259642,5.492000000000002,5.298264398543628,5.873299999999995
crtd,2021-03-31,4.3,4.48,4.714659796488123,5.409000000000001,4.965509599029085,5.582249999999995
crtd,2021-04-01,4.48,4.7,4.885994508787539,5.357000000000001,4.803673066019391,5.377549999999995
crtd,2021-04-05,4.7,4.79,4.97019460666924,5.304,4.769115377346261,5.185949999999995
crtd,2021-04-06,4.79,4.57,4.737169890553431,5.131,4.7760769182308405,4.749999999999996
crtd,2021-04-07,4.57,4.44,4.637254970800772,4.968,4.707384612153894,4.387049999999996
crtd,2021-04-08,4.44,4.26,4.529598209058609,4.798,4.618256408102596,4.057749999999996
crtd,2021-04-09,4.26,4.41,4.646269636651216,4.68,4.4988376054017305,3.8855999999999957
crtd,2021-04-12,4.41,4.27,4.519330956120875,4.619,4.469225070267821,3.863599999999996
crtd,2021-04-13,4.27,4.18,4.3817488955477515,4.5409999999999995,4.40281671351188,3.8076499999999966
crtd,2021-04-14,4.18,4.1,4.332954428848141,4.4399999999999995,4.328544475674587,3.7129499999999966
crtd,2021-04-15,4.1,4.05,4.253216981944259,4.42,4.252362983783058,3.8112999999999966
crtd,2021-04-16,4.05,3.43,3.6246353253688195,4.377,4.184908655855373,3.850799999999997
crtd,2021-04-19,3.43,3.44,3.55379844772813,4.249999999999999,3.9332724372369157,3.691399999999997
crtd,2021-04-20,3.44,3.55,3.638929446677011,4.114999999999999,3.768848291491277,3.5062999999999973
crtd,2021-04-21,3.55,3.71,3.791771664945525,4.012999999999999,3.695898860994185,3.3945499999999975
crtd,2021-04-22,3.71,3.85,3.93097792569909,3.939999999999999,3.7005992406627906,3.3407499999999977
