symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
ctxr,2021-03-26,1.9,1.82,1.8516206975151615,1.9659999999999933,1.9453737095061705,2.028400000000011
ctxr,2021-03-29,1.82,1.85,1.8616833044585535,1.9409999999999932,1.9035824730041138,1.958400000000011
ctxr,2021-03-30,1.85,1.78,1.8158519351466866,1.9409999999999932,1.8857216486694093,1.9483500000000114
ctxr,2021-03-31,1.78,1.84,1.8580480496800762,1.9199999999999935,1.8504810991129397,1.8900000000000117
ctxr,2021-04-01,1.84,1.77,1.821649891083014,1.9109999999999936,1.8469873994086266,1.8654000000000117
ctxr,2021-04-05,1.77,1.83,1.8085281062532839,1.8879999999999935,1.8213249329390844,1.812400000000012
ctxr,2021-04-06,1.83,1.77,1.8207499452114648,1.871999999999994,1.8242166219593896,1.782450000000012
ctxr,2021-04-07,1.77,1.82,1.8195911134335532,1.8499999999999939,1.806144414639593,1.7418500000000123
ctxr,2021-04-08,1.82,1.82,1.815908385423933,1.8309999999999937,1.8107629430930623,1.7144500000000122
ctxr,2021-04-09,1.82,1.83,1.8537336062886576,1.8199999999999938,1.8138419620620416,1.7090000000000125
ctxr,2021-04-12,1.83,1.78,1.8208371618183676,1.812999999999994,1.8192279747080278,1.7144500000000125
ctxr,2021-04-13,1.78,1.8,1.8075502967740746,1.808999999999994,1.8061519831386852,1.7242500000000125
ctxr,2021-04-14,1.8,1.71,1.775874824783004,1.8039999999999938,1.8041013220924569,1.7323000000000122
ctxr,2021-04-15,1.71,1.73,1.7690357850597016,1.796999999999994,1.7727342147283047,1.733250000000012
ctxr,2021-04-16,1.73,1.64,1.7254825154507665,1.7859999999999938,1.7584894764855366,1.724500000000012
ctxr,2021-04-19,1.64,1.51,1.6068438524034439,1.772999999999994,1.718992984323691,1.7092500000000115
ctxr,2021-04-20,1.51,1.7,1.6484719765523792,1.7409999999999939,1.6493286562157943,1.6489000000000114
ctxr,2021-04-21,1.7,1.8,1.7690678385390728,1.733999999999994,1.666219104143863,1.6488000000000114
ctxr,2021-04-22,1.8,1.78,1.7931805299610277,1.731999999999994,1.710812736095909,1.658650000000011
ctxr,2021-04-23,1.78,1.9,1.8328993782056489,1.727999999999994,1.7338751573972726,1.6624500000000109
ctxr,2021-04-26,1.9,1.95,1.9228265084037424,1.7349999999999937,1.7892501049315153,1.6916500000000105
ctxr,2021-04-27,1.95,1.97,1.930451933967434,1.7519999999999936,1.842833403287677,1.7427000000000106
ctxr,2021-04-28,1.97,2.11,2.000873107414626,1.7689999999999935,1.8852222688584512,1.7904500000000105
ctxr,2021-04-29,2.11,2.2,2.0897427763931606,1.8089999999999933,1.9601481792389674,1.8886500000000104
ctxr,2021-04-30,2.2,2.37,2.2255875660210727,1.8559999999999932,2.040098786159312,1.9956500000000108
ctxr,2021-05-03,2.37,2.39,2.310366542483818,1.9289999999999932,2.1500658574395413,2.1547500000000115
ctxr,2021-05-04,2.39,2.3,2.253630397583433,2.0169999999999932,2.230043904959694,2.3333500000000114
ctxr,2021-05-05,2.3,2.18,2.1449308882292977,2.0769999999999933,2.2533626033064627,2.4319000000000117
ctxr,2021-05-06,2.18,2.17,2.1201756766990028,2.114999999999993,2.2289084022043086,2.4694500000000117
ctxr,2021-05-07,2.17,2.23,2.157038645278017,2.153999999999993,2.209272268136206,2.503050000000012
ctxr,2021-05-10,2.23,2.25,2.1614323489200604,2.186999999999993,2.216181512090804,2.5177500000000124
ctxr,2021-05-11,2.25,2.09,2.0760494404554786,2.216999999999993,2.2274543413938694,2.523000000000012
ctxr,2021-05-12,2.09,1.89,1.906613111631292,2.228999999999993,2.181636227595913,2.484000000000012
ctxr,2021-05-13,1.89,1.96,1.9404311601064095,2.206999999999993,2.084424151730609,2.3693000000000124
ctxr,2021-05-14,1.96,1.97,1.964821783555593,2.1829999999999936,2.0429494344870727,2.260250000000012
ctxr,2021-05-17,1.97,2.14,2.076408754025217,2.142999999999993,2.018632956324715,2.1281500000000118
ctxr,2021-05-18,2.14,2.19,2.117710107713605,2.117999999999993,2.0590886375498103,2.050500000000012
ctxr,2021-05-19,2.19,2.26,2.2060636640489175,2.106999999999993,2.1027257583665406,2.018500000000012
ctxr,2021-05-20,2.26,2.35,2.273908972258175,2.1149999999999936,2.155150505577694,2.038500000000012
ctxr,2021-05-21,2.35,2.28,2.2465308574829144,2.1329999999999933,2.220100337051796,2.086650000000012
ctxr,2021-05-24,2.28,2.22,2.1915938395505723,2.1379999999999937,2.240066891367864,2.106500000000012
ctxr,2021-05-25,2.22,2.26,2.2149363092462897,2.1349999999999936,2.233377927578576,2.111300000000012
ctxr,2021-05-26,2.26,2.32,2.279141962759193,2.1519999999999935,2.2422519517190507,2.165350000000012
ctxr,2021-05-27,2.32,2.28,2.259111532273918,2.1949999999999936,2.2681679678127002,2.274650000000012
ctxr,2021-05-28,2.28,2.35,2.308480708023496,2.2269999999999937,2.2721119785418002,2.3480500000000117
ctxr,2021-06-01,2.35,2.32,2.2940422159324467,2.264999999999994,2.2980746523612003,2.4247500000000115
ctxr,2021-06-02,2.32,2.28,2.253607973161257,2.2829999999999937,2.3053831015741335,2.445000000000012
ctxr,2021-06-03,2.28,2.33,2.2830787712122467,2.2919999999999936,2.296922067716089,2.4397500000000116
ctxr,2021-06-04,2.33,2.55,2.4635771570979053,2.2989999999999937,2.3079480451440597,2.4296500000000116
ctxr,2021-06-07,2.55,2.57,2.4652133856097924,2.3189999999999937,2.3886320300960397,2.4517500000000116
ctxr,2021-06-08,2.57,2.49,2.4634714691007265,2.3479999999999936,2.4490880200640266,2.4927500000000116
ctxr,2021-06-09,2.49,2.5,2.4790661536722607,2.374999999999994,2.4627253467093513,2.5242500000000114
ctxr,2021-06-10,2.5,2.6,2.570693679923138,2.398999999999994,2.4751502311395677,2.5472000000000117
ctxr,2021-06-11,2.6,2.75,2.7103104190403258,2.426999999999994,2.5167668207597123,2.582400000000012
ctxr,2021-06-14,2.75,3.23,3.1222746622516313,2.473999999999994,2.5945112138398083,2.662850000000012
ctxr,2021-06-15,3.23,3.34,3.284353118643986,2.5619999999999936,2.806340809226539,2.838300000000012
ctxr,2021-06-16,3.34,3.6,3.6048158660695857,2.6639999999999935,2.984227206151026,3.036150000000012
ctxr,2021-06-17,3.6,3.69,3.7690677015927165,2.7959999999999936,3.189484804100684,3.2905500000000125
ctxr,2021-06-18,3.69,4.23,4.29172659022019,2.9319999999999937,3.3563232027337895,3.535600000000012
ctxr,2021-06-21,4.23,3.82,3.7538195774718894,3.099999999999994,3.6475488018225266,3.8384500000000124
ctxr,2021-06-22,3.82,3.98,4.058668283863634,3.2249999999999934,3.7050325345483515,4.019400000000013
ctxr,2021-06-23,3.98,3.94,4.108985363715849,3.373999999999993,3.796688356365568,4.242050000000013
ctxr,2021-06-24,3.94,3.82,4.01514015622152,3.5179999999999927,3.8444589042437123,4.434200000000013
ctxr,2021-06-25,3.82,3.71,3.82550250848051,3.6399999999999926,3.836305936162475,4.557250000000012
ctxr,2021-06-28,3.71,3.51,3.5466031949054453,3.7359999999999927,3.79420395744165,4.607950000000013
ctxr,2021-06-29,3.51,3.48,3.444921337217314,3.763999999999993,3.6994693049611,4.497650000000013
ctxr,2021-06-30,3.48,2.6,2.6407491015721742,3.777999999999993,3.6263128699740665,4.365550000000013
ctxr,2021-07-01,2.6,2.15,2.2119886076611985,3.677999999999993,3.284208579982711,3.9832500000000133
ctxr,2021-07-02,2.15,2.16,2.042873149149147,3.523999999999993,2.906139053321808,3.509450000000014
ctxr,2021-07-06,2.16,2.23,2.212578450208111,3.316999999999993,2.6574260355478723,2.959400000000014
ctxr,2021-07-07,2.23,2.16,2.1546669833990935,3.157999999999993,2.5149506903652483,2.571950000000014
ctxr,2021-07-08,2.16,2.2,2.207670560318583,2.9759999999999924,2.3966337935768323,2.1766500000000137
ctxr,2021-07-09,2.2,2.09,2.110100147890024,2.801999999999992,2.3310891957178885,1.8490500000000138
ctxr,2021-07-12,2.09,1.98,1.9951244197842266,2.628999999999992,2.2507261304785926,1.568200000000014
ctxr,2021-07-13,1.98,1.89,1.907890406369309,2.455999999999992,2.1604840869857282,1.3277000000000143
ctxr,2021-07-14,1.89,1.92,1.937272183826972,2.293999999999992,2.070322724657152,1.1432000000000144
ctxr,2021-07-15,1.92,1.93,1.9540394403755117,2.137999999999992,2.0202151497714347,0.9992000000000146
ctxr,2021-07-16,1.93,1.85,1.8743005354077047,2.0709999999999917,1.9901434331809567,1.0727500000000147
ctxr,2021-07-19,1.85,1.94,1.9488399862141612,2.0409999999999924,1.9434289554539712,1.2202000000000148
ctxr,2021-07-20,1.94,2.08,2.0665981334921573,2.018999999999992,1.9422859703026476,1.359900000000015
ctxr,2021-07-21,2.08,2.0,2.027064741646745,2.0039999999999925,1.9881906468684318,1.4955000000000152
ctxr,2021-07-22,2.0,1.91,1.9449176311165295,1.9879999999999924,1.992127097912288,1.6037000000000152
ctxr,2021-07-23,1.91,1.91,1.9096659109598748,1.9589999999999925,1.964751398608192,1.6576500000000152
ctxr,2021-07-26,1.91,1.89,1.9237132008899835,1.9409999999999925,1.9465009324054612,1.7158500000000152
ctxr,2021-07-27,1.89,1.98,1.9914402600760295,1.9319999999999926,1.9276672882703074,1.7719500000000152
ctxr,2021-07-28,1.98,1.92,1.9576819479183083,1.9409999999999925,1.9451115255135383,1.847400000000015
ctxr,2021-07-29,1.92,1.89,1.9277736437867623,1.9409999999999925,1.9367410170090256,1.876950000000015
ctxr,2021-07-30,1.89,1.89,1.9126586315792606,1.9369999999999927,1.921160678006017,1.887050000000015
ctxr,2021-08-02,1.89,1.86,1.8992389175024074,1.9409999999999925,1.9107737853373448,1.912050000000015
ctxr,2021-08-03,1.86,1.8,1.8444585895194279,1.9329999999999923,1.8938491902248966,1.904950000000015
ctxr,2021-08-04,1.8,1.9,1.9125939741808042,1.9049999999999927,1.8625661268165978,1.8498000000000154
ctxr,2021-08-05,1.9,1.87,1.9049080403191525,1.8949999999999925,1.8750440845443987,1.8387500000000152
ctxr,2021-08-06,1.87,1.87,1.8838702223120514,1.8909999999999925,1.8733627230295993,1.8389500000000152
ctxr,2021-08-09,1.87,1.86,1.896881788240285,1.8869999999999927,1.8722418153530662,1.837050000000015
ctxr,2021-08-10,1.86,1.84,1.8728236030861847,1.8839999999999926,1.8681612102353777,1.836750000000015
ctxr,2021-08-11,1.84,1.84,1.8728236030861847,1.8699999999999926,1.8587741401569187,1.812400000000015
