symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
dnn,2021-03-23,1.09,1.02,1.0411528215753143,1.126559999999998,1.1188582862748826,1.185077999999994
dnn,2021-03-24,1.02,1.04,1.0503018271980098,1.129999999999998,1.0859055241832551,1.183128499999994
dnn,2021-03-25,1.04,1.08,1.0775755928180786,1.129999999999998,1.0706036827888368,1.171828999999994
dnn,2021-03-26,1.08,1.09,1.0954833605128917,1.123999999999998,1.0737357885258914,1.147779499999994
dnn,2021-03-29,1.09,1.09,1.0920799832663703,1.1029999999999978,1.0791571923505943,1.092829999999994
dnn,2021-03-30,1.09,1.09,1.0619440686935342,1.0949999999999978,1.082771461567063,1.0706804999999942
dnn,2021-03-31,1.09,1.18,1.11497310361149,1.0859999999999979,1.085180974378042,1.047980999999994
dnn,2021-04-01,1.18,1.3,1.1838960818114552,1.0919999999999976,1.116787316252028,1.063231499999994
dnn,2021-04-05,1.3,1.25,1.1446068118119217,1.1109999999999978,1.1778582108346853,1.1097819999999938
dnn,2021-04-06,1.25,1.2,1.147113079197328,1.122999999999998,1.2019054738897903,1.139415999999994
dnn,2021-04-07,1.2,1.23,1.163840487474519,1.133999999999998,1.201270315926527,1.165799999999994
dnn,2021-04-08,1.23,1.16,1.1160771519239052,1.154999999999998,1.2108468772843515,1.2145499999999938
dnn,2021-04-09,1.16,1.09,1.0993208923667794,1.166999999999998,1.1938979181895677,1.2389999999999939
dnn,2021-04-12,1.09,1.07,1.0938713198115795,1.167999999999998,1.1592652787930453,1.234899999999994
dnn,2021-04-13,1.07,1.07,1.0850968772397518,1.1659999999999981,1.1295101858620304,1.2204499999999938
dnn,2021-04-14,1.07,1.04,1.0844779301514906,1.1639999999999981,1.1096734572413536,1.2050999999999938
dnn,2021-04-15,1.04,1.06,1.0892173597229164,1.1589999999999983,1.0864489714942358,1.1816499999999936
dnn,2021-04-16,1.06,0.9828,1.0492283156123106,1.1469999999999982,1.077632647662824,1.1433999999999938
dnn,2021-04-19,0.9828,1.01,1.051932603876488,1.115279999999998,1.0460217651085495,1.0634579999999936
dnn,2021-04-20,1.01,1.02,1.035079504897193,1.091279999999998,1.0340145100723666,1.0082159999999933
dnn,2021-04-21,1.02,0.9998,1.0510756438205413,1.0732799999999982,1.0293430067149112,0.9723239999999933
dnn,2021-04-22,0.9998,0.9954,1.0487330701752087,1.0502599999999982,1.019495337809941,0.9304849999999932
dnn,2021-04-23,0.9954,1.04,1.072680004972009,1.033799999999998,1.0114635585399607,0.9093149999999932
dnn,2021-04-26,1.04,1.03,1.064074798545366,1.0287999999999982,1.0209757056933073,0.9176949999999933
dnn,2021-04-27,1.03,1.08,1.0784092319858503,1.0247999999999982,1.0239838037955382,0.9288749999999931
dnn,2021-04-28,1.08,1.07,1.0705834384580406,1.025799999999998,1.0426558691970256,0.9521049999999931
dnn,2021-04-29,1.07,1.07,1.0851770280862252,1.0287999999999982,1.0517705794646837,0.979134999999993
dnn,2021-04-30,1.07,1.16,1.1534266823723693,1.0297999999999983,1.0578470529764559,0.999214999999993
dnn,2021-05-03,1.16,1.08,1.0872672131996155,1.0475199999999982,1.0918980353176373,1.053678999999993
dnn,2021-05-04,1.08,1.2,1.1433702701481783,1.0545199999999983,1.0879320235450916,1.076692999999993
dnn,2021-05-05,1.2,1.15,1.1200426175116789,1.0725199999999984,1.1252880156967278,1.121806999999993
dnn,2021-05-06,1.15,1.19,1.1325230599222165,1.0875399999999984,1.1335253437978186,1.153764999999993
dnn,2021-05-07,1.19,1.14,1.1127937954622689,1.1069999999999982,1.1523502291985457,1.191434999999993
dnn,2021-05-10,1.14,1.15,1.1039086126030822,1.1169999999999984,1.1482334861323638,1.203204999999993
dnn,2021-05-11,1.15,1.06,1.0619084167095678,1.1289999999999984,1.1488223240882425,1.2175749999999927
dnn,2021-05-12,1.06,1.04,1.0442904368276589,1.1269999999999984,1.119214882725495,1.1973949999999927
