symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
dog,2021-03-23,36.6,36.61,36.697196577416754,36.30099999999992,36.371550643518255,35.28040000000001
dog,2021-03-24,36.61,36.36,36.30499291268417,36.282999999999916,36.4510337623455,35.46010000000001
dog,2021-03-25,36.36,35.86,36.008227393140714,36.26299999999991,36.42068917489701,35.61710000000001
dog,2021-03-26,35.86,35.75,35.90847487706456,36.22699999999992,36.233792783264676,35.705600000000004
dog,2021-03-29,35.75,35.84,35.88886350682963,36.19999999999992,36.072528522176455,35.794850000000004
dog,2021-03-30,35.84,35.92,35.62600728298397,36.168999999999926,35.995019014784305,35.8528
dog,2021-03-31,35.92,35.76,35.712096082163946,36.165999999999926,35.97001267652287,35.94985
dog,2021-04-01,35.76,35.35,35.41743523883168,36.132999999999925,35.900008451015246,35.94144999999999
dog,2021-04-05,35.35,35.45,35.4533836504448,36.02999999999993,35.716672300676834,35.75279999999999
dog,2021-04-06,35.45,35.43,35.498652905192564,35.949999999999925,35.62778153378456,35.61669999999999
dog,2021-04-07,35.43,35.36,35.35165300089449,35.83299999999993,35.56185435585637,35.39439999999998
dog,2021-04-08,35.36,35.08,35.183139599516956,35.70799999999993,35.49456957057092,35.16814999999998
dog,2021-04-09,35.08,35.11,35.11719320626888,35.57999999999992,35.35637971371395,34.95059999999997
dog,2021-04-12,35.11,35.18,35.17098731140041,35.504999999999924,35.27425314247597,34.87139999999997
dog,2021-04-13,35.18,35.12,35.20669943630482,35.44799999999992,35.24283542831732,34.841699999999975
dog,2021-04-14,35.12,34.8,34.726016636971,35.37599999999992,35.201890285544884,34.78064999999997
dog,2021-04-15,34.8,34.63,34.551950195359815,35.26399999999992,35.067926857029924,34.63594999999997
dog,2021-04-16,34.63,34.76,34.63516029203365,35.15099999999992,34.92195123801995,34.500749999999975
dog,2021-04-19,34.76,35.01,34.93977224496077,35.09199999999991,34.86796749201331,34.49394999999998
dog,2021-04-20,35.01,34.695,34.87379600237212,35.04799999999992,34.9153116613422,34.519249999999985
dog,2021-04-21,34.695,35.02,34.9825242643368,34.974499999999914,34.841874440894806,34.46427499999999
dog,2021-04-22,35.02,34.77,34.96051188422657,34.940499999999915,34.901249627263205,34.494399999999985
dog,2021-04-23,34.77,34.82,34.84991154187566,34.90949999999991,34.857499751508804,34.51747499999999
dog,2021-04-26,34.82,34.82,34.737556644600666,34.88049999999991,34.844999834339205,34.53865
dog,2021-04-27,34.82,34.99,34.97838994131642,34.84449999999991,34.836666556226135,34.53917499999999
dog,2021-04-28,34.99,34.73,34.57798722406439,34.831499999999906,34.887777704150764,34.58835
dog,2021-04-29,34.73,34.91,34.83205512514207,34.82449999999991,34.835185136100506,34.636775
dog,2021-04-30,34.91,34.69,34.5929171624987,34.85249999999991,34.860123424067005,34.75155
dog,2021-05-03,34.69,34.65,34.47645658801091,34.84549999999991,34.803415616044674,34.771025
dog,2021-05-04,34.65,34.56,34.57247325198212,34.80949999999991,34.75227707736312,34.7168
dog,2021-05-05,34.56,34.2391,34.09696391240026,34.79599999999991,34.688184718242084,34.709825
dog,2021-05-06,34.2391,34.0,33.914460409611124,34.71790999999991,34.538489812161394,34.5479885
dog,2021-05-07,34.0,34.03,33.89159055842825,34.64090999999991,34.3589932081076,34.395776999999995
