symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
goro,2021-03-26,2.66,2.69,2.7175750913105596,2.755999999999987,2.6812983372049852,2.7284000000000512
goro,2021-03-29,2.69,2.56,2.6009245754366,2.737999999999987,2.68419889146999,2.6823500000000515
goro,2021-03-30,2.56,2.64,2.6239729759162356,2.7089999999999868,2.6427992609799933,2.614650000000051
goro,2021-03-31,2.64,2.87,2.659915585671643,2.684999999999987,2.6418661739866622,2.565750000000051
goro,2021-04-01,2.87,2.86,2.8191945404596046,2.691999999999987,2.717910782657775,2.595850000000051
goro,2021-04-05,2.86,2.86,2.849449799917033,2.690999999999987,2.765273855105183,2.609700000000051
goro,2021-04-06,2.86,2.8,2.813249748904593,2.7059999999999866,2.7968492367367888,2.662950000000051
goro,2021-04-07,2.8,2.91,2.87556790710005,2.7259999999999867,2.7978994911578594,2.7245000000000514
goro,2021-04-08,2.91,2.85,2.8545182718840554,2.7509999999999866,2.835266327438573,2.793300000000051
goro,2021-04-09,2.85,2.79,2.8088448478374586,2.7699999999999867,2.8401775516257155,2.841400000000051
goro,2021-04-12,2.79,2.81,2.818542367315769,2.7829999999999866,2.8234517010838105,2.8698500000000515
goro,2021-04-13,2.81,2.76,2.786634279343483,2.7949999999999866,2.8189678007225405,2.8913000000000517
goro,2021-04-14,2.76,2.91,2.851444415923077,2.8149999999999866,2.7993118671483606,2.9254000000000517
goro,2021-04-15,2.91,2.92,2.8848081209036773,2.8419999999999868,2.8362079114322407,2.969350000000052
goro,2021-04-16,2.92,2.88,2.8588246489555287,2.8469999999999867,2.864138607621494,2.9586000000000516
goro,2021-04-19,2.88,2.92,2.894646541335432,2.848999999999987,2.8694257384143294,2.9399000000000517
goro,2021-04-20,2.92,3.01,2.9365585901187403,2.854999999999987,2.886283825609553,2.9325500000000515
goro,2021-04-21,3.01,2.87,2.8414306591600584,2.8759999999999866,2.9275225504063687,2.962550000000051
goro,2021-04-22,2.87,2.83,2.840809543346655,2.8719999999999866,2.908348366937579,2.934400000000051
goro,2021-04-23,2.83,2.82,2.8350912387928693,2.869999999999987,2.882232244625053,2.914400000000051
goro,2021-04-26,2.82,2.74,2.745036261352337,2.872999999999987,2.8614881630833686,2.908400000000051
goro,2021-04-27,2.74,2.79,2.7793274963250867,2.8659999999999872,2.820992108722246,2.880250000000051
goro,2021-04-28,2.79,2.7,2.7373919030717233,2.868999999999987,2.8106614058148307,2.8796500000000504
goro,2021-04-29,2.7,2.69,2.735388449097159,2.847999999999987,2.7737742705432207,2.8262500000000506
goro,2021-04-30,2.69,2.76,2.76299136867339,2.8249999999999873,2.7458495136954806,2.7720500000000508
goro,2021-05-03,2.76,2.72,2.7554254235450526,2.8129999999999873,2.750566342463654,2.747450000000051
goro,2021-05-04,2.72,2.71,2.73173790636768,2.7929999999999873,2.740377561642436,2.7067500000000506
goro,2021-05-05,2.71,2.73,2.750910585954529,2.7629999999999875,2.7302517077616244,2.6487000000000505
goro,2021-05-06,2.73,2.77,2.7676364411804086,2.7489999999999872,2.7301678051744167,2.6321500000000504
goro,2021-05-07,2.77,2.73,2.7528363841205508,2.742999999999987,2.7434452034496113,2.6362000000000503
goro,2021-05-10,2.73,2.73,2.7269252992488373,2.733999999999987,2.738963468966408,2.63455000000005
goro,2021-05-11,2.73,2.64,2.6703958967449957,2.732999999999987,2.7359756459776055,2.65200000000005
goro,2021-05-12,2.64,2.59,2.625572168593929,2.717999999999987,2.7039837639850703,2.6371500000000503
goro,2021-05-13,2.59,2.74,2.7217863634571526,2.7069999999999874,2.665989175990047,2.63080000000005
goro,2021-05-14,2.74,2.84,2.789913782014883,2.7119999999999873,2.6906594506600316,2.66025000000005
goro,2021-05-17,2.84,2.85,2.8359953387124737,2.7199999999999873,2.7404396337733545,2.69420000000005
goro,2021-05-18,2.85,2.8,2.806262451373637,2.7329999999999877,2.776959755848903,2.73570000000005
goro,2021-05-19,2.8,2.8,2.787376365200697,2.7419999999999876,2.784639837232602,2.76135000000005
goro,2021-05-20,2.8,2.81,2.8124509612838464,2.7489999999999877,2.7897598914884014,2.7788500000000496
goro,2021-05-21,2.81,2.81,2.8097553587450483,2.7529999999999877,2.796506594325601,2.7873500000000497
goro,2021-05-24,2.81,2.76,2.7713377686096257,2.7609999999999877,2.8010043962170674,2.80330000000005
goro,2021-05-25,2.76,2.77,2.787234058476456,2.763999999999988,2.7873362641447117,2.80615000000005
goro,2021-05-26,2.77,2.78,2.7900072701712344,2.7769999999999877,2.781557509429808,2.8298000000000494
goro,2021-05-27,2.78,2.78,2.786807598763697,2.795999999999988,2.7810383396198723,2.8639500000000497
goro,2021-05-28,2.78,2.76,2.7687388306944185,2.799999999999988,2.7806922264132483,2.860750000000049
goro,2021-06-01,2.76,2.81,2.7929652450502753,2.791999999999988,2.7737948176088323,2.829950000000049
goro,2021-06-02,2.81,2.82,2.7935260979793792,2.7879999999999874,2.7858632117392217,2.811700000000049
goro,2021-06-03,2.82,2.86,2.824188903368786,2.7899999999999876,2.797242141159481,2.809500000000049
goro,2021-06-04,2.86,2.93,2.880561040815449,2.7959999999999874,2.8181614274396543,2.8174500000000493
goro,2021-06-07,2.93,2.82,2.8140882496915065,2.8079999999999874,2.8554409516264365,2.8392000000000492
goro,2021-06-08,2.82,2.84,2.8357348881495104,2.8089999999999877,2.8436273010842914,2.834500000000049
goro,2021-06-09,2.84,2.97,2.90205164526368,2.8169999999999873,2.842418200722861,2.8465500000000494
goro,2021-06-10,2.97,2.96,2.913537941502752,2.8369999999999873,2.884945467148574,2.8875500000000494
goro,2021-06-11,2.96,2.83,2.833539442962869,2.854999999999987,2.9099636447657162,2.9237000000000495
goro,2021-06-14,2.83,2.78,2.785449382715693,2.8599999999999874,2.8833090965104775,2.9272000000000498
goro,2021-06-15,2.78,2.72,2.7428105872593838,2.8619999999999877,2.848872731006985,2.92170000000005
goro,2021-06-16,2.72,2.62,2.644925799063648,2.8529999999999878,2.8059151540046567,2.8894500000000503
goro,2021-06-17,2.62,2.54,2.5970747880041083,2.8329999999999878,2.7439434360031045,2.8330000000000504
goro,2021-06-18,2.54,2.63,2.6638112537485004,2.8009999999999877,2.6759622906687364,2.7522500000000507
goro,2021-06-21,2.63,2.55,2.6021401929345576,2.7709999999999875,2.660641527112491,2.682800000000051
goro,2021-06-22,2.55,2.53,2.5909219345988306,2.743999999999988,2.623761018074994,2.6250500000000505
goro,2021-06-23,2.53,2.52,2.5559404430793142,2.7129999999999876,2.5925073453833294,2.563150000000051
goro,2021-06-24,2.52,2.56,2.299289755877255,2.6679999999999877,2.568338230255553,2.4760000000000506
goro,2021-06-25,2.56,2.55,2.5960706594554455,2.6279999999999877,2.565558820170369,2.4100500000000507
goro,2021-06-28,2.55,2.55,2.598734505476126,2.599999999999988,2.560372546780246,2.3790500000000505
goro,2021-06-29,2.55,2.58,2.616550828248777,2.576999999999988,2.556915031186831,2.3643000000000507
goro,2021-06-30,2.58,2.56,2.6032222120918824,2.562999999999988,2.564610020791221,2.3728000000000504
