symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
ibkr,2021-03-24,74.65,73.82,75.11840883446717,77.59199999999991,76.4974312320421,77.81310000000005
ibkr,2021-03-25,73.82,73.0,73.65518370598795,77.09299999999992,75.60495415469474,76.44545000000005
ibkr,2021-03-26,73.0,72.535,72.82552900182748,76.50499999999991,74.73663610312983,75.04085000000006
ibkr,2021-03-29,72.535,72.32,72.90690169542938,75.89449999999991,74.00275740208656,73.69962500000005
ibkr,2021-03-30,72.32,73.04,73.03621889491511,75.45449999999991,73.44183826805771,72.86475000000006
ibkr,2021-03-31,73.04,73.67,73.37638855261685,75.01049999999991,73.30789217870515,72.10822500000006
ibkr,2021-04-01,73.67,75.12,74.58030038687883,74.57449999999992,73.42859478580343,71.48555000000006
ibkr,2021-04-05,75.12,74.74,74.83852220779843,74.24049999999991,73.99239652386896,71.21687500000006
ibkr,2021-04-06,74.74,74.01,74.29445915772645,73.91349999999991,74.24159768257931,71.04700000000005
ibkr,2021-04-07,74.01,73.63,73.95905667241132,73.6904999999999,74.16439845505289,71.13097500000006
ibkr,2021-04-08,73.63,74.47,74.64209348072484,73.58849999999991,73.98626563670193,71.47650000000006
ibkr,2021-04-09,74.47,74.07,74.39382246230126,73.65349999999992,74.14751042446795,72.15492500000006
ibkr,2021-04-12,74.07,73.39,73.5416356929692,73.76049999999991,74.12167361631197,72.83410000000006
ibkr,2021-04-13,73.39,75.24,74.91716597012902,73.84599999999992,73.87778241087464,73.35512500000006
ibkr,2021-04-14,75.24,76.66,75.88445730073474,74.13799999999992,74.3318549405831,74.28260000000006
ibkr,2021-04-15,76.66,76.55,76.29672502300508,74.49999999999991,75.10790329372207,75.26417500000005
ibkr,2021-04-16,76.55,77.36,76.90170359746281,74.78799999999993,75.58860219581473,75.95215000000005
ibkr,2021-04-19,77.36,74.25,74.35878008780455,75.01199999999992,76.17906813054316,76.39642500000005
ibkr,2021-04-20,74.25,73.43,73.11926588606207,74.96299999999992,75.53604542036211,76.11650000000006
ibkr,2021-04-21,73.43,70.89,71.10024547595363,74.90499999999993,74.83403028024142,75.78932500000005
ibkr,2021-04-22,70.89,73.3,73.67627097614186,74.63099999999993,73.51935352016095,74.94795000000003
ibkr,2021-04-23,73.3,72.35,72.99995723224353,74.51399999999992,73.44623568010729,74.52637500000003
ibkr,2021-04-26,72.35,72.4,73.22134963695743,74.34199999999991,73.0808237867382,74.00915000000002
ibkr,2021-04-27,72.4,71.95,72.53404349769113,74.24299999999991,72.85388252449214,73.70210000000002
ibkr,2021-04-28,71.95,73.25,73.82590760173363,73.91399999999992,72.55258834966142,72.91320000000002
ibkr,2021-04-29,73.25,71.52,72.42498557398187,73.57299999999992,72.78505889977428,72.19975000000002
ibkr,2021-04-30,71.52,70.43,71.44070799508347,73.06999999999992,72.36337259984953,71.19995000000003
ibkr,2021-05-03,70.43,70.4,71.07716710249045,72.37699999999992,71.71891506656635,69.86270000000002
ibkr,2021-05-04,70.4,70.02,70.73811482630063,71.99199999999992,71.27927671104425,69.34585000000001
ibkr,2021-05-05,70.02,69.62,70.54904412656376,71.65099999999991,70.85951780736283,68.98145000000002
ibkr,2021-05-06,69.62,69.6,69.92508686198349,71.52399999999992,70.44634520490857,69.13000000000002
ibkr,2021-05-07,69.6,67.92,68.54457417638218,71.15399999999991,70.16423013660571,68.70900000000002
ibkr,2021-05-10,67.92,67.15,67.53812324432221,70.71099999999991,69.4161534244038,68.14615000000002
ibkr,2021-05-11,67.15,65.83,66.31514108060546,70.18599999999991,68.66076894960254,67.44220000000003
