symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
imte,2021-03-23,7.3,6.96,7.701761347027494,6.282999999999992,7.4066284235607345,8.296599999999994
imte,2021-03-24,6.96,6.59,6.476987424451338,6.540999999999992,7.257752282373824,8.603049999999993
imte,2021-03-25,6.59,5.93,6.670564208236708,6.725999999999994,7.035168188249216,8.703899999999994
imte,2021-03-26,5.93,5.5,5.6399174007479385,6.8559999999999945,6.666778792166144,8.651499999999993
imte,2021-03-29,5.5,5.54,5.517691914220244,6.8479999999999945,6.277852528110763,8.268649999999992
imte,2021-03-30,5.54,5.61,5.506261754350298,6.934999999999995,6.031901685407176,8.110399999999991
imte,2021-03-31,5.61,5.91,5.7508111111342,6.655999999999994,5.891267790271451,7.138849999999991
imte,2021-04-01,5.91,5.68,5.768837139833611,6.595999999999994,5.897511860180968,6.762949999999991
imte,2021-04-05,5.68,5.67,5.573400585827891,6.4269999999999925,5.825007906787312,6.192549999999991
imte,2021-04-06,5.67,5.63,5.393716528580794,6.068999999999993,5.773338604524875,5.28194999999999
imte,2021-04-07,5.63,5.55,5.458422241191154,5.901999999999992,5.72555906968325,4.92159999999999
imte,2021-04-08,5.55,5.5,5.420431254770725,5.760999999999992,5.667039379788833,4.686099999999991
imte,2021-04-09,5.5,4.82,5.364492020052798,5.651999999999992,5.611359586525889,4.574699999999991
imte,2021-04-12,4.82,4.7,4.805053251403989,5.540999999999992,5.347573057683927,4.494449999999991
imte,2021-04-13,4.7,4.79,4.791434849866157,5.460999999999993,5.1317153717892845,4.502499999999991
imte,2021-04-14,4.79,5.0,4.983467703285189,5.385999999999993,5.017810247859524,4.547349999999991
imte,2021-04-15,5.0,4.79,4.854665122297927,5.324999999999993,5.011873498573016,4.594499999999991
imte,2021-04-16,4.79,4.68,4.771867225571896,5.212999999999992,4.9379156657153445,4.5219499999999915
imte,2021-04-19,4.68,4.23,4.688262591730938,5.112999999999992,4.851943777143563,4.469049999999991
imte,2021-04-20,4.23,4.41,4.382169505223657,4.968999999999992,4.644629184762376,4.274049999999991
imte,2021-04-21,4.41,4.31,4.460926723161635,4.846999999999992,4.566419456508251,4.127299999999991
imte,2021-04-22,4.31,4.66,4.816686160769064,4.722999999999993,4.4809463043388345,3.9729999999999905
imte,2021-04-23,4.66,4.75,4.7890097264989535,4.638999999999993,4.540630869559223,3.9149499999999904
imte,2021-04-26,4.75,4.72,4.733965804098283,4.631999999999993,4.610420579706149,4.0337999999999905
imte,2021-04-27,4.72,4.71,4.622084060925901,4.633999999999992,4.646947053137433,4.162849999999991
imte,2021-04-28,4.71,4.62,4.6912155871342565,4.625999999999992,4.667964702091622,4.256849999999991
imte,2021-04-29,4.62,4.38,4.498275793243401,4.587999999999992,4.651976468061081,4.272399999999992
imte,2021-04-30,4.38,4.32,4.375240376826257,4.546999999999993,4.561317645374054,4.269799999999991
imte,2021-05-03,4.32,4.25,4.314908438781366,4.510999999999993,4.480878430249369,4.270099999999991
imte,2021-05-04,4.25,4.35,4.376933470584327,4.512999999999993,4.40391895349958,4.343499999999992
imte,2021-05-05,4.35,4.87,4.812927054236855,4.506999999999993,4.38594596899972,4.379499999999991
imte,2021-05-06,4.87,4.37,4.603681503061992,4.562999999999992,4.547297312666481,4.543499999999992
imte,2021-05-07,4.37,3.96,4.178647090511406,4.533999999999992,4.48819820844432,4.486749999999992
imte,2021-05-10,3.96,3.85,3.997377469444759,4.454999999999992,4.31213213896288,4.3157999999999905
imte,2021-05-11,3.85,3.56,3.8003342813508985,4.367999999999992,4.15808809264192,4.138199999999991
imte,2021-05-12,3.56,3.38,3.6251817047051884,4.252999999999992,3.9587253950946137,3.906649999999991
imte,2021-05-13,3.38,3.6,3.6299221255465963,4.1289999999999925,3.765816930063076,3.665499999999991
imte,2021-05-14,3.6,3.75,3.702356791689232,4.050999999999993,3.710544620042051,3.5448999999999913
imte,2021-05-17,3.75,3.72,3.76209557510257,3.9939999999999927,3.7236964133613677,3.4799499999999917
imte,2021-05-18,3.72,3.64,3.6375784940402873,3.9409999999999927,3.7224642755742456,3.4332499999999917
imte,2021-05-19,3.64,3.75,3.734573341257098,3.8699999999999926,3.694976183716164,3.351299999999992
imte,2021-05-20,3.75,3.9,3.8579888488806926,3.757999999999993,3.713317455810776,3.192049999999992
imte,2021-05-21,3.9,3.86,3.911624637716042,3.7109999999999927,3.7755449705405177,3.1979999999999915
imte,2021-05-24,3.86,3.96,3.932680343322088,3.7009999999999925,3.803696647027012,3.286099999999992
