symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
lmt,2021-03-26,364.71,372.79,373.55636006991807,355.14000000000067,359.4096295980472,367.5178499999994
lmt,2021-03-29,372.79,370.54,371.86499502072905,357.7780000000007,363.8697530653648,371.5106499999994
lmt,2021-03-30,370.54,369.5,370.0068038215451,360.1190000000007,366.0931687102432,374.5378999999994
lmt,2021-03-31,369.5,371.02,371.46666122507486,361.96700000000067,367.22877914016215,376.20709999999934
lmt,2021-04-01,371.02,378.75,379.5853260006815,363.22400000000073,368.4925194267748,376.51324999999935
lmt,2021-04-05,378.75,378.97,381.44524788860423,365.59200000000067,371.91167961784987,379.46129999999937
lmt,2021-04-06,378.97,380.19,381.8873188169722,367.7230000000007,374.2644530785666,381.7403499999993
lmt,2021-04-07,380.19,386.02,387.3400480415226,370.38100000000065,376.23963538571104,385.17984999999925
lmt,2021-04-08,386.02,386.23,388.3131585472359,373.37100000000066,379.49975692380735,389.2300499999992
lmt,2021-04-09,386.23,387.85,390.2474640580678,375.87200000000064,381.74317128253824,392.0049499999992
lmt,2021-04-12,387.85,387.11,389.63806370284584,378.1860000000007,383.7787808550255,394.33304999999916
lmt,2021-04-13,387.11,388.67,390.773315103244,379.6180000000007,384.8891872366837,394.6370499999992
lmt,2021-04-14,388.67,390.63,392.66502540736695,381.43100000000067,386.1494581577892,395.9727499999992
lmt,2021-04-15,390.63,391.81,393.562071053042,383.54400000000066,387.6429721051928,398.01869999999917
lmt,2021-04-16,391.81,391.73,392.8937931307375,385.62300000000073,389.03198140346194,399.8563499999992
lmt,2021-04-19,391.73,387.33,388.26835152746406,386.92100000000073,389.93132093564134,399.90199999999913
lmt,2021-04-20,387.33,387.24,388.05994449177797,387.7570000000007,389.06421395709424,398.9868999999991
lmt,2021-04-21,387.24,380.09,379.1823763034079,388.46200000000067,388.45614263806283,398.03724999999906
lmt,2021-04-22,380.09,377.29,377.1822224697192,387.86900000000065,385.66742842537525,394.3800499999991
lmt,2021-04-23,377.29,371.98,372.39102633050743,386.9750000000007,382.8749522835835,390.4795999999991
lmt,2021-04-26,371.98,373.22,374.31571120856756,385.3880000000007,379.24330152238906,385.43179999999904
lmt,2021-04-27,373.22,372.94,373.67593878598035,383.99900000000065,377.2355343482594,381.3021499999991
lmt,2021-04-28,372.94,380.35,381.09673208411044,382.42600000000067,375.8036895655063,377.22039999999913
lmt,2021-04-29,380.35,380.56,381.5601318871657,381.3980000000007,377.31912637700424,374.9722999999991
lmt,2021-04-30,380.56,385.31,385.6540656234562,380.2730000000007,378.39941758466955,372.9622999999991
lmt,2021-05-03,385.31,387.48,387.7520058912909,379.6310000000007,380.7029450564464,372.4507999999991
lmt,2021-05-04,387.48,386.37,387.32522089006574,379.64600000000075,382.9619633709643,373.70494999999914
lmt,2021-05-05,386.37,387.34,388.33710684530155,379.55900000000076,384.0979755806429,374.8228999999991
lmt,2021-05-06,387.34,390.34,390.6849957974366,380.28400000000073,385.17865038709533,377.77314999999913
lmt,2021-05-07,390.34,393.14,394.18047789977265,381.58900000000074,386.8991002580635,381.84354999999914
lmt,2021-05-10,393.14,387.82,386.36456260160816,383.7050000000008,388.97940017204235,387.3859999999991
lmt,2021-05-11,387.82,380.62,377.4601315092167,385.16500000000076,388.59293344802825,390.86109999999906
lmt,2021-05-12,380.62,387.77,387.0690918935998,385.9330000000008,385.9352889653522,392.2550499999991
lmt,2021-05-13,387.77,390.78,391.48706967335033,386.67500000000075,386.5468593102348,393.31849999999906
lmt,2021-05-14,390.78,391.12,392.0359104076966,387.6970000000008,387.9579062068232,394.759899999999
lmt,2021-05-17,391.12,387.22,387.3152443781405,388.2780000000008,389.0119374712155,394.915349999999
lmt,2021-05-18,387.22,385.54,385.3690674259832,388.2520000000008,388.41462498081034,393.559449999999
lmt,2021-05-19,385.54,388.32,389.0205709073411,388.1690000000009,387.4564166538736,392.060449999999
lmt,2021-05-20,388.32,387.22,387.1253005735304,388.26700000000085,387.7442777692491,391.107999999999
lmt,2021-05-21,387.22,387.71,387.70572483504696,387.95500000000084,387.56951851283276,389.373099999999
lmt,2021-05-24,387.71,385.85,386.1100400655638,387.41200000000083,387.61634567522185,387.45954999999896
