symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
lode,2021-03-26,4.83,4.5,4.7118897870473155,5.001999999999997,4.984572292139607,5.54095
lode,2021-03-29,4.5,4.59,4.745736433232066,4.981999999999997,4.823048194759738,5.4052999999999995
lode,2021-03-30,4.59,4.58,4.811104341165168,4.990999999999997,4.745365463173159,5.335099999999999
lode,2021-03-31,4.58,4.96,4.981036249275972,4.972999999999997,4.69024364211544,5.199649999999999
lode,2021-04-01,4.96,4.77,4.8737078398285805,4.978999999999997,4.7801624280769595,5.13125
lode,2021-04-05,4.77,4.9,4.854387808322645,4.903999999999998,4.776774952051307,4.889449999999999
lode,2021-04-06,4.9,4.74,4.852269262216699,4.8009999999999975,4.817849968034205,4.621599999999999
lode,2021-04-07,4.74,4.9,4.929430713032509,4.762999999999998,4.79189997868947,4.530949999999999
lode,2021-04-08,4.9,4.65,4.81478981737128,4.790999999999999,4.827933319126314,4.608899999999999
lode,2021-04-09,4.65,4.49,4.7043612850072964,4.741999999999998,4.768622212750876,4.5158
lode,2021-04-12,4.49,4.5,4.620088655463313,4.707999999999998,4.6757481418339175,4.4749
lode,2021-04-13,4.5,4.23,4.574363100647755,4.707999999999998,4.617165427889279,4.515999999999999
lode,2021-04-14,4.23,4.15,4.426782428116052,4.671999999999999,4.48811028525952,4.473849999999999
lode,2021-04-15,4.15,3.96,4.314645368659837,4.628999999999999,4.37540685683968,4.4179499999999985
lode,2021-04-16,3.96,3.66,4.02001177963269,4.528999999999998,4.236937904559786,4.235449999999998
lode,2021-04-19,3.66,3.57,4.007840064647175,4.417999999999999,4.044625269706525,4.030849999999999
lode,2021-04-20,3.57,3.95,4.280575594944324,4.284999999999999,3.8864168464710165,3.7757499999999986
lode,2021-04-21,3.95,3.75,4.1750426267811385,4.2059999999999995,3.9076112309806783,3.6617999999999986
lode,2021-04-22,3.75,3.83,4.103842882669869,4.090999999999999,3.855074153987119,3.4792999999999985
lode,2021-04-23,3.83,4.11,4.250974878064101,4.0089999999999995,3.84671610265808,3.384249999999999
lode,2021-04-26,4.11,3.93,4.216225302619731,3.970999999999999,3.9344774017720536,3.399799999999998
lode,2021-04-27,3.93,4.01,4.249328787958828,3.9139999999999993,3.9329849345147028,3.376399999999998
lode,2021-04-28,4.01,3.99,4.089151909363185,3.8919999999999986,3.958656623009802,3.438399999999998
lode,2021-04-29,3.99,3.93,4.174238054024411,3.875999999999999,3.9691044153398685,3.511349999999998
lode,2021-04-30,3.93,3.86,4.145066277691198,3.872999999999999,3.9560696102265793,3.602249999999998
lode,2021-05-03,3.86,3.78,4.018439536515523,3.8929999999999993,3.9240464068177197,3.730999999999997
lode,2021-05-04,3.78,3.53,3.8956838915877805,3.9139999999999993,3.87603093787848,3.8391499999999974
lode,2021-05-05,3.53,3.38,3.78079930132229,3.871999999999999,3.7606872919189867,3.7842499999999974
lode,2021-05-06,3.38,3.36,3.763506026072081,3.8349999999999995,3.6337915279459914,3.730149999999997
lode,2021-05-07,3.36,3.19,3.6536058484475427,3.7879999999999994,3.542527685297328,3.645799999999997
lode,2021-05-10,3.19,3.32,3.607444397290851,3.6959999999999993,3.425018456864885,3.4570499999999966
lode,2021-05-11,3.32,3.26,3.6001774332353875,3.6349999999999993,3.39001230457659,3.346399999999997
lode,2021-05-12,3.26,2.96,3.4399772296601236,3.5599999999999996,3.346674869717727,3.2086999999999977
lode,2021-05-13,2.96,3.16,3.5052842945827676,3.4569999999999994,3.2177832464784846,3.0140499999999975
lode,2021-05-14,3.16,3.41,3.80688164860211,3.379999999999999,3.19852216431899,2.895499999999997
lode,2021-05-17,3.41,3.47,3.6762249544579193,3.3349999999999995,3.2690147762126602,2.866699999999997
lode,2021-05-18,3.47,3.34,3.603817498769174,3.3039999999999994,3.3360098508084404,2.8806999999999965
lode,2021-05-19,3.34,3.44,3.601935850736787,3.2849999999999993,3.3373399005389603,2.921249999999996
lode,2021-05-20,3.44,3.35,3.5664832938678117,3.290999999999999,3.3715599336926405,3.017849999999996
lode,2021-05-21,3.35,3.52,3.5911404569615812,3.289999999999999,3.3643732891284275,3.090049999999996
lode,2021-05-24,3.52,3.85,4.063039241839578,3.3229999999999995,3.416248859418952,3.228499999999997
lode,2021-05-25,3.85,3.78,3.9544342644371837,3.376,3.560832572945968,3.3998499999999963
lode,2021-05-26,3.78,3.93,3.8991115212338547,3.428,3.633888381963979,3.549649999999996
lode,2021-05-27,3.93,3.8,3.911613566538801,3.525,3.732592254642653,3.781949999999996
lode,2021-05-28,3.8,3.74,3.9367482755535272,3.589,3.7550615030951024,3.9105999999999965
lode,2021-06-01,3.74,3.88,3.955022847871719,3.622,3.750041002063402,3.9500499999999965
lode,2021-06-02,3.88,3.72,3.8172405999291854,3.6630000000000003,3.7933606680422685,3.998699999999997
lode,2021-06-03,3.72,4.29,4.281459313831036,3.7010000000000005,3.768907112028179,4.031299999999996
lode,2021-06-04,4.29,4.39,4.298379930216348,3.7860000000000005,3.9426047413521195,4.1695499999999965
lode,2021-06-07,4.39,4.21,4.225175736199632,3.8900000000000006,4.0917364942347465,4.339549999999997
lode,2021-06-08,4.21,4.17,4.510430650109624,3.9590000000000005,4.131157662823165,4.416649999999997
lode,2021-06-09,4.17,4.21,4.187614080670036,3.9910000000000005,4.144105108548777,4.404399999999997
lode,2021-06-10,4.21,4.08,4.160060995795041,4.034000000000001,4.1660700723658515,4.420999999999997
lode,2021-06-11,4.08,4.12,4.084672070217108,4.049,4.137380048243902,4.379899999999997
lode,2021-06-14,4.12,3.9,4.010859929511913,4.081,4.131586698829268,4.386099999999996
lode,2021-06-15,3.9,3.88,4.013879354497234,4.0969999999999995,4.054391132552846,4.354849999999996
lode,2021-06-16,3.88,3.6,3.763421648895016,4.0969999999999995,3.996260755035231,4.289749999999996
lode,2021-06-17,3.6,3.51,3.6909613911917263,4.085,3.8641738366901546,4.202149999999996
lode,2021-06-18,3.51,3.55,3.6744159966804935,4.007,3.74611589112677,3.9739999999999958
lode,2021-06-21,3.55,3.63,3.6926110218916044,3.9229999999999996,3.6807439274178466,3.759049999999996
lode,2021-06-22,3.63,3.62,3.7261301950475056,3.8649999999999998,3.663829284945231,3.6281499999999953
lode,2021-06-23,3.62,3.51,3.6621857585660265,3.8099999999999996,3.649219523296821,3.5177999999999954
lode,2021-06-24,3.51,3.47,3.5985881877200723,3.7399999999999993,3.6028130155312144,3.386899999999996
lode,2021-06-25,3.47,3.51,3.614453529753679,3.6789999999999994,3.5585420103541434,3.289899999999996
lode,2021-06-28,3.51,3.5,3.606211128203606,3.6179999999999994,3.542361340236096,3.2068499999999958
lode,2021-06-29,3.5,3.63,3.8365680387383834,3.5779999999999994,3.5282408934907306,3.184699999999996
lode,2021-06-30,3.63,3.48,3.674045400141571,3.5529999999999995,3.562160595660487,3.203799999999996
lode,2021-07-01,3.48,3.38,3.549606250217687,3.540999999999999,3.5347737304403246,3.255399999999996
lode,2021-07-02,3.38,3.19,3.433647801779222,3.5279999999999996,3.4831824869602164,3.294749999999996
lode,2021-07-06,3.19,3.1,3.301419213015003,3.4919999999999995,3.385454991306811,3.2693999999999965
lode,2021-07-07,3.1,3.14,3.3004097506204992,3.438999999999999,3.2903033275378744,3.2007999999999965
lode,2021-07-08,3.14,3.14,3.3139177399709867,3.3909999999999996,3.240202218358583,3.1436499999999965
lode,2021-07-09,3.14,3.17,3.336444200615943,3.354,3.2068014789057218,3.109049999999997
lode,2021-07-12,3.17,3.02,3.2398844509937126,3.3240000000000003,3.1945343192704816,3.087299999999997
lode,2021-07-13,3.02,2.98,3.1664420013556933,3.275000000000001,3.136356212846988,3.0162499999999968
lode,2021-07-14,2.98,3.07,3.1963778186121705,3.2230000000000003,3.0842374752313257,2.9394999999999962
lode,2021-07-15,3.07,2.86,3.104736786573768,3.1670000000000007,3.0794916501542176,2.857399999999996
lode,2021-07-16,2.86,3.07,3.1572977559344753,3.105000000000001,3.0063277667694783,2.7677999999999963
lode,2021-07-19,3.07,3.05,3.1469558535560966,3.0740000000000007,3.0275518445129856,2.758399999999996
lode,2021-07-20,3.05,3.26,3.3616252876402553,3.0600000000000005,3.0350345630086575,2.788199999999996
lode,2021-07-21,3.26,3.21,3.3171907693842204,3.0760000000000005,3.1100230420057717,2.8826499999999955
lode,2021-07-22,3.21,3.09,3.2510857192992564,3.0830000000000006,3.1433486946705145,2.9463499999999954
lode,2021-07-23,3.09,3.12,3.2750916495748332,3.0780000000000003,3.1255657964470096,2.975249999999995
lode,2021-07-26,3.12,3.05,3.1893449264931104,3.0729999999999995,3.1237105309646735,3.0003999999999955
