symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
metx,2021-03-23,2.46,2.23,2.3599719686074194,2.6279999999999997,2.586604946144134,2.8411500000000034
metx,2021-03-24,2.23,2.25,2.2113903340316146,2.627,2.467736630762756,2.7908000000000035
metx,2021-03-25,2.25,2.26,2.4573393430755344,2.6049999999999995,2.3951577538418376,2.6954500000000032
metx,2021-03-26,2.26,2.14,2.1946851632011652,2.5619999999999994,2.350105169227892,2.558700000000003
metx,2021-03-29,2.14,2.28,2.231529150907347,2.4719999999999995,2.2800701128185947,2.328300000000003
metx,2021-03-30,2.28,2.41,2.3644325260023358,2.437,2.280046741879063,2.2447000000000026
metx,2021-03-31,2.41,2.37,2.3803183031697666,2.3939999999999997,2.323364494586042,2.156100000000003
metx,2021-04-01,2.37,2.37,2.3569281402935314,2.367,2.3389096630573616,2.119950000000003
metx,2021-04-05,2.37,2.43,2.38818186098609,2.332,2.349273108704908,2.0740000000000025
metx,2021-04-06,2.43,2.35,2.342682676465099,2.32,2.3761820724699385,2.0884000000000027
metx,2021-04-07,2.35,2.36,2.357419168134369,2.309,2.367454714979959,2.108750000000003
metx,2021-04-08,2.36,2.28,2.302772462015109,2.322,2.36496980998664,2.187000000000003
metx,2021-04-09,2.28,2.13,2.213310590887463,2.325,2.336646539991093,2.2365000000000026
metx,2021-04-12,2.13,2.17,2.1881899345687463,2.312,2.2677643599940622,2.241500000000003
metx,2021-04-13,2.17,2.1399,2.171044016962001,2.315,2.2351762399960418,2.272550000000003
metx,2021-04-14,2.1399,1.96,2.10293949901265,2.3009899999999996,2.2034174933306945,2.2579265000000026
metx,2021-04-15,1.96,1.98,2.3396563166037607,2.2559899999999997,2.1222783288871296,2.1661280000000027
metx,2021-04-16,1.98,1.89,1.9815912662738806,2.21699,2.0748522192580863,2.0911295000000023
metx,2021-04-19,1.89,1.73,1.8454620551889176,2.16899,2.013234812838724,1.9955810000000025
metx,2021-04-20,1.73,1.84,1.8235289458225505,2.0989899999999997,1.9188232085591495,1.8537325000000024
metx,2021-04-21,1.84,1.86,1.868706278666447,2.0479899999999995,1.8925488057060997,1.7653840000000023
metx,2021-04-22,1.86,1.76,1.8184949208820065,1.9979899999999997,1.8816992038040667,1.6889855000000025
metx,2021-04-23,1.76,1.67,1.7233137323847427,1.9459899999999997,1.8411328025360447,1.6158370000000026
metx,2021-04-26,1.67,1.7,1.7160427789451158,1.89999,1.7840885350240299,1.5626385000000027
metx,2021-04-27,1.7,1.67,1.6780726549703737,1.8529899999999997,1.7560590233493534,1.5144400000000027
metx,2021-04-28,1.67,1.78,1.9298852843545198,1.8059999999999998,1.7273726822329023,1.4712135000000026
metx,2021-04-29,1.78,1.71,1.740012105261172,1.7879999999999998,1.7449151214886016,1.4964120000000025
metx,2021-04-30,1.71,1.73,1.736976515967659,1.761,1.733276747659068,1.4973105000000027
metx,2021-05-03,1.73,1.66,1.7002565796639195,1.7449999999999999,1.7321844984393788,1.5209090000000027
metx,2021-05-04,1.66,1.62,1.6412175680975558,1.738,1.7081229989595859,1.5575575000000028
metx,2021-05-05,1.62,1.47,1.5439262262484579,1.716,1.6787486659730575,1.5523560000000027
metx,2021-05-06,1.47,1.51,1.4984079422967134,1.677,1.6091657773153718,1.503004500000003
metx,2021-05-07,1.51,1.39,1.44553029965242,1.652,1.576110518210248,1.484603000000003
metx,2021-05-10,1.39,1.39,1.3729460045264419,1.624,1.5140736788068319,1.4560015000000028
metx,2021-05-11,1.39,1.39,1.3689460896435,1.5930000000000004,1.4727157858712214,1.4175000000000026
metx,2021-05-12,1.39,1.3,1.339570941011421,1.5650000000000004,1.4451438572474808,1.3836500000000025
metx,2021-05-13,1.3,1.35,1.3191686361605426,1.5170000000000003,1.3967625714983207,1.3043000000000025
metx,2021-05-14,1.35,1.4,1.363709544534941,1.4810000000000003,1.3811750476655473,1.2563000000000024
metx,2021-05-17,1.4,1.42,1.4057729698030708,1.448,1.3874500317770315,1.2183500000000023
metx,2021-05-18,1.42,1.31,1.3295368348041934,1.424,1.3983000211846877,1.2054500000000024
metx,2021-05-19,1.31,1.24,1.2839163643528415,1.393,1.3688666807897918,1.1764000000000023
metx,2021-05-20,1.24,1.43,1.3644388372989968,1.3699999999999999,1.325911120526528,1.1649500000000024
metx,2021-05-21,1.43,0.9675,0.949891925994371,1.3619999999999999,1.360607413684352,1.1884500000000022
metx,2021-05-24,0.9675,0.9851,0.930631813298856,1.3197499999999998,1.2295716091229014,1.1284625000000024
metx,2021-05-25,0.9851,0.9754,0.9642692038486278,1.2792599999999996,1.148081072748601,1.0742985000000025
metx,2021-05-26,0.9754,0.99,0.9817758215389063,1.2377999999999996,1.0905207151657341,1.0197285000000025
metx,2021-05-27,0.99,0.9636,0.9768180794079867,1.2067999999999997,1.0570138101104893,0.9887585000000026
metx,2021-05-28,0.9636,0.97,0.9802583073735327,1.1681599999999996,1.025875873406993,0.9390845000000028
metx,2021-06-01,0.97,0.9806,0.9821858113863269,1.1251599999999997,1.0072505822713287,0.8800105000000029
metx,2021-06-02,0.9806,0.964,0.9709407561377291,1.0812199999999996,0.9983670548475525,0.821577500000003
metx,2021-06-03,0.964,0.974,0.9764875222861895,1.0466199999999997,0.9869113698983685,0.787034500000003
metx,2021-06-04,0.974,0.994,0.9918367198754093,1.0200199999999997,0.9826075799322457,0.773031500000003
metx,2021-06-07,0.994,0.9989,0.9934065634792943,0.9764199999999997,0.9864050532881639,0.7218685000000029
metx,2021-06-08,0.9989,1.0,0.9977629768434549,0.9795599999999999,0.9905700355254426,0.7807470000000029
metx,2021-06-09,1.0,0.9963,1.0036159936251146,0.98105,0.9937133570169618,0.8292035000000029
metx,2021-06-10,0.9963,0.98,1.0005724672479137,0.9831399999999999,0.9945755713446413,0.8726275000000028
metx,2021-06-11,0.98,0.9973,0.9848173320549801,0.9821399999999999,0.9897170475630942,0.9038265000000028
metx,2021-06-14,0.9973,0.966,0.9825539666501976,0.9855099999999999,0.9922446983753961,0.9396490000000026
metx,2021-06-15,0.966,0.965,0.980615035685014,0.9851099999999997,0.9834964655835974,0.9596565000000027
metx,2021-06-16,0.965,0.97,0.9767834719924172,0.9835499999999996,0.9773309770557317,0.9704070000000027
metx,2021-06-17,0.97,1.0,0.9673648311935763,0.9841499999999996,0.9748873180371544,0.9812775000000027
metx,2021-06-18,1.0,0.96,0.9748235537557101,0.9867499999999996,0.9832582120247697,0.9927680000000028
metx,2021-06-21,0.96,0.97,0.9793344291516994,0.9833499999999997,0.9755054746831798,0.9832285000000027
metx,2021-06-22,0.97,0.9766,0.9788787007751074,0.9804599999999997,0.9736703164554532,0.9758685000000027
metx,2021-06-23,0.9766,0.9872,0.985293935090467,0.9781199999999997,0.9746468776369689,0.9704580000000027
metx,2021-06-24,0.9872,0.9887,0.9956918051126514,0.9772099999999997,0.9788312517579792,0.9690725000000027
metx,2021-06-25,0.9887,0.9988,0.9962155215773624,0.9780799999999996,0.9821208345053196,0.9718565000000028
metx,2021-06-28,0.9988,0.966,0.983539508037875,0.9782299999999996,0.9876805563368798,0.9733235000000029
metx,2021-06-29,0.966,0.9704,0.9721524012631371,0.9782299999999996,0.9804537042245866,0.9743555000000029
metx,2021-06-30,0.9704,0.9688,0.9696733507724853,0.9787699999999996,0.9771024694830578,0.976422500000003
metx,2021-07-01,0.9688,0.95,0.965037602038258,0.9786499999999995,0.9743349796553719,0.976947500000003
metx,2021-07-02,0.95,0.8846,0.9333253409184998,0.9736499999999995,0.966223319770248,0.966412500000003
metx,2021-07-06,0.8846,0.8049,0.8697822341371224,0.9661099999999994,0.9390155465134988,0.9501485000000031
metx,2021-07-07,0.8049,0.7901,0.8151544802229689,0.9495999999999993,0.8943103643423326,0.9135025000000031
metx,2021-07-08,0.7901,0.835,0.8598462431413598,0.9309499999999995,0.8595735762282217,0.8739530000000031
metx,2021-07-09,0.835,0.8028,0.8362697055997312,0.9157299999999994,0.8513823841521478,0.845125000000003
metx,2021-07-12,0.8028,0.7732,0.8010847886620661,0.8971399999999994,0.8351882561014319,0.810791000000003
metx,2021-07-13,0.7732,0.7455,0.7800750566565083,0.8745799999999994,0.8145255040676214,0.7699385000000031
metx,2021-07-14,0.7455,0.723,0.7514981193668149,0.8525299999999995,0.7915170027117477,0.7336685000000032
metx,2021-07-15,0.723,0.6801,0.7158896666592992,0.8277899999999996,0.7686780018078319,0.6944655000000031
metx,2021-07-16,0.6801,0.6842,0.7105492275876192,0.7989199999999995,0.7391520012052213,0.6492500000000032
metx,2021-07-19,0.6842,0.6925,0.7101696279458172,0.7723399999999996,0.7208346674701476,0.6129965000000033
metx,2021-07-20,0.6925,0.7268,0.743708654842271,0.7531299999999995,0.7113897783134318,0.5969185000000032
metx,2021-07-21,0.7268,0.7118,0.7376092113575073,0.7453199999999995,0.7165265188756212,0.6080355000000033
metx,2021-07-22,0.7118,0.5024,0.5438436484143394,0.7374899999999995,0.7149510125837475,0.6174795000000033
metx,2021-07-23,0.5024,0.474,0.505328329302431,0.7042299999999996,0.6441006750558317,0.5660545000000032
metx,2021-07-26,0.474,0.5442,0.553467719299267,0.6713499999999997,0.5874004500372212,0.5177230000000032
metx,2021-07-27,0.5442,0.5485,0.56602207379566,0.6484499999999996,0.5730003000248142,0.4943925000000031
metx,2021-07-28,0.5485,0.5347,0.5533871854749548,0.6287499999999996,0.5648335333498762,0.4787095000000031
metx,2021-07-29,0.5347,0.5099,0.529085061893795,0.6099199999999996,0.5547890222332508,0.46431500000000303
metx,2021-07-30,0.5099,0.5018,0.5200963094152375,0.5928999999999995,0.5398260148221672,0.452668000000003
metx,2021-08-02,0.5018,0.5082,0.5235045744607252,0.5746599999999996,0.5271506765481115,0.436720000000003
metx,2021-08-03,0.5082,0.5368,0.5137061126768696,0.5562299999999996,0.5208337843654077,0.4201800000000029
metx,2021-08-04,0.5368,0.6162,0.5438161363752166,0.5372299999999997,0.5261558562436052,0.4038935000000029
metx,2021-08-05,0.6162,0.5953,0.6059259852560052,0.5276699999999996,0.5561705708290701,0.4114665000000029
metx,2021-08-06,0.5953,0.5953,0.6059259852560052,0.5369599999999997,0.5692137138860467,0.4597820000000029
