symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
mik,2020-11-27,10.24,9.89,9.707374873540864,9.14700000000001,9.779140031290758,10.348950000000041
mik,2020-11-30,9.89,10.215,10.096523259853239,9.369000000000009,9.816093354193839,10.695000000000041
mik,2020-12-01,10.215,10.25,10.389931924536814,9.566500000000008,9.949062236129226,10.951975000000042
mik,2020-12-02,10.25,12.33,13.454541745019405,9.72350000000001,10.04937482408615,11.085950000000041
mik,2020-12-03,12.33,12.1,13.384907946086793,10.07350000000001,10.809583216057433,11.65712500000004
mik,2020-12-04,12.1,12.07,12.11547701018181,10.344500000000009,11.23972214403829,12.004475000000038
mik,2020-12-07,12.07,12.605,11.944917089418002,10.655500000000009,11.51648142935886,12.417775000000038
mik,2020-12-08,12.605,12.39,12.333171903158076,10.95600000000001,11.879320952905907,12.789000000000039
mik,2020-12-09,12.39,12.895,12.674355121312043,11.205000000000009,12.049547301937272,13.026525000000039
mik,2020-12-10,12.895,12.67,12.630223361328172,11.49850000000001,12.331364867958182,13.365400000000037
mik,2020-12-11,12.67,11.66,11.514478697749864,11.741500000000011,12.444243245305456,13.583725000000038
mik,2020-12-14,11.66,12.31,11.978752317539426,11.91850000000001,12.182828830203638,13.643800000000038
mik,2020-12-15,12.31,11.96,12.05312877841282,12.128000000000009,12.22521922013576,13.783325000000039
mik,2020-12-16,11.96,11.91,12.029470473751507,12.29900000000001,12.136812813423841,13.82450000000004
mik,2020-12-17,11.91,11.63,11.709518130372203,12.257000000000009,12.06120854228256,13.391975000000041
mik,2020-12-18,11.63,11.73,11.748334401509705,12.210000000000012,11.917472361521709,12.994650000000041
mik,2020-12-21,11.73,11.93,12.026127308033896,12.17600000000001,11.854981574347807,12.681575000000041
mik,2020-12-22,11.93,11.66,11.648332034391869,12.10850000000001,11.879987716231872,12.339950000000039
mik,2020-12-23,11.66,11.45,11.38625256100393,12.035500000000011,11.806658477487915,12.032875000000038
mik,2020-12-24,11.45,11.685,11.772596118851071,11.891000000000012,11.687772318325276,11.612750000000037
mik,2020-12-28,11.685,12.0,11.897583882811073,11.792500000000011,11.686848212216852,11.358850000000036
mik,2020-12-29,12.0,12.65,12.401308966623779,11.826500000000014,11.791232141477902,11.457650000000037
mik,2020-12-30,12.65,13.01,13.048395375357215,11.860500000000012,12.077488094318603,11.582775000000037
mik,2020-12-31,13.01,13.125,13.368738037570223,11.965500000000011,12.388325396212403,11.895300000000038
mik,2021-01-04,13.125,13.99,13.71882442946175,12.087000000000012,12.633883597474936,12.224550000000038
mik,2021-01-05,13.99,14.65,14.600715281557052,12.323000000000013,13.085922398316626,12.797600000000037
mik,2021-01-06,14.65,13.88,14.038880854867433,12.615000000000013,13.607281598877751,13.461750000000038
mik,2021-01-07,13.88,13.86,14.022006803289795,12.810000000000013,13.698187732585168,13.84402500000004
mik,2021-01-08,13.86,14.27,14.377908165765808,13.030000000000015,13.75212515505678,14.244850000000037
