symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
mmt,2021-03-24,6.28,6.31,6.29961677587189,6.2249999999999925,6.212241234888353,6.16620000000005
mmt,2021-03-25,6.31,6.32,6.3005126396054525,6.2249999999999925,6.244827489925569,6.17460000000005
mmt,2021-03-26,6.32,6.41,6.42851830688585,6.226999999999994,6.269884993283713,6.188600000000049
mmt,2021-03-29,6.41,6.42,6.422193453923713,6.2359999999999935,6.3165899955224765,6.219200000000049
mmt,2021-03-30,6.42,6.48,6.462937770070299,6.2539999999999925,6.351059997014985,6.269750000000049
mmt,2021-03-31,6.48,6.48,6.424380875557844,6.280999999999993,6.3940399980099905,6.337250000000049
mmt,2021-04-01,6.48,6.53,6.49353104280021,6.314999999999992,6.422693332006661,6.415050000000048
mmt,2021-04-05,6.53,6.45,6.456634675726647,6.355999999999993,6.458462221337775,6.501800000000048
mmt,2021-04-06,6.45,6.46,6.459545851454043,6.387999999999992,6.455641480891851,6.559450000000048
mmt,2021-04-07,6.46,6.52,6.501974481957914,6.413999999999992,6.4570943205945674,6.596850000000048
mmt,2021-04-08,6.52,6.53,6.496989574123413,6.437999999999991,6.4780628803963785,6.624900000000048
mmt,2021-04-09,6.53,6.45,6.443672494743495,6.459999999999991,6.495375253597587,6.644650000000048
mmt,2021-04-12,6.45,6.39,6.383147431487624,6.47299999999999,6.480250169065059,6.64025000000005
mmt,2021-04-13,6.39,6.42,6.423436895769185,6.470999999999991,6.450166779376707,6.600000000000051
mmt,2021-04-14,6.42,6.5,6.488332508693479,6.470999999999991,6.440111186251138,6.567450000000051
mmt,2021-04-15,6.5,6.51,6.468516630391077,6.47299999999999,6.460074124167425,6.543650000000051
mmt,2021-04-16,6.51,6.54,6.524898682233896,6.47599999999999,6.476716082778284,6.527000000000051
mmt,2021-04-19,6.54,6.47,6.458905645998842,6.476999999999991,6.49781072185219,6.511350000000052
mmt,2021-04-20,6.47,6.44,6.446176073192259,6.47899999999999,6.488540481234794,6.502700000000052
mmt,2021-04-21,6.44,6.44,6.422847111233059,6.476999999999991,6.472360320823197,6.488250000000053
mmt,2021-04-22,6.44,6.49,6.463464103974825,6.468999999999991,6.4615735472154645,6.463600000000054
mmt,2021-04-23,6.49,6.48,6.438957403994253,6.464999999999991,6.471049031476976,6.452850000000053
mmt,2021-04-26,6.48,6.46,6.467144177632219,6.467999999999991,6.474032687651318,6.461100000000053
mmt,2021-04-27,6.46,6.59,6.62811504169996,6.47499999999999,6.469355125100879,6.478000000000053
mmt,2021-04-28,6.59,6.55,6.514699865922432,6.49199999999999,6.509570083400586,6.517350000000053
mmt,2021-04-29,6.55,6.56,6.58175039439465,6.49699999999999,6.523046722267058,6.5262500000000525
mmt,2021-04-30,6.56,6.49,6.495135264223099,6.50199999999999,6.5353644815113725,6.534850000000054
mmt,2021-05-03,6.49,6.5,6.518541996556382,6.496999999999988,6.520242987674249,6.519350000000054
mmt,2021-05-04,6.5,6.44,6.438514507733529,6.4999999999999885,6.513495325116166,6.523700000000053
mmt,2021-05-05,6.44,6.47,6.448231475438422,6.4999999999999885,6.488996883410778,6.520250000000054
mmt,2021-05-06,6.47,6.43,6.434584634839589,6.502999999999989,6.482664588940518,6.522650000000054
mmt,2021-05-07,6.43,6.38,6.379466016855701,6.49699999999999,6.465109725960346,6.502850000000054
mmt,2021-05-10,6.38,6.34,6.356445997219952,6.486999999999989,6.436739817306897,6.475000000000053
mmt,2021-05-11,6.34,6.43,6.433493323357732,6.47499999999999,6.404493211537932,6.445000000000053
mmt,2021-05-12,6.43,6.51,6.512276469284765,6.458999999999989,6.412995474358622,6.4099500000000535
mmt,2021-05-13,6.51,6.51,6.47904993958731,6.454999999999989,6.445330316239082,6.406250000000054
mmt,2021-05-14,6.51,6.5099,6.504776168031828,6.44999999999999,6.466886877492722,6.401550000000053
mmt,2021-05-17,6.5099,6.41,6.420830238177318,6.451989999999991,6.481224584995148,6.413276500000054
mmt,2021-05-18,6.41,6.53,6.543960137380082,6.44298999999999,6.457483056663433,6.399328000000054
