symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
msft,2021-03-23,237.58,235.46,235.87044916375658,234.9500000000002,235.16696647764772,237.79160000000002
msft,2021-03-24,235.46,232.34,233.70263350188762,235.2540000000002,235.2646443184318,237.9384
msft,2021-03-25,232.34,236.48,234.65831638025705,234.77500000000018,234.28976287895455,236.32165
msft,2021-03-26,236.48,235.24,233.34692178103492,234.84800000000018,235.01984191930305,236.12450000000004
msft,2021-03-29,235.24,231.85,231.05443826382,234.89100000000022,235.09322794620203,235.81395000000003
msft,2021-03-30,231.85,235.77,238.4317058130985,234.3050000000002,234.01215196413472,234.0764
msft,2021-03-31,235.77,242.35,241.0535073420659,234.1780000000002,234.59810130942316,233.64760000000007
msft,2021-04-01,242.35,249.07,249.23365384298856,235.3410000000002,237.18206753961545,236.32920000000004
msft,2021-04-05,249.07,247.86,248.44941525747586,237.21300000000025,241.144711693077,240.48375000000004
msft,2021-04-06,247.86,249.9,249.21718076317833,238.40000000000026,243.38314112871802,242.87675000000004
msft,2021-04-07,249.9,253.25,253.71956865070337,239.6320000000003,245.55542741914536,245.25445000000005
msft,2021-04-08,253.25,255.85,256.36769000818515,241.41100000000029,248.12028494609692,248.7784
msft,2021-04-09,255.85,255.91,259.05323472541863,243.76200000000026,250.6968566307313,253.30785
msft,2021-04-12,255.91,258.49,260.32372343118993,245.70500000000024,252.4345710871542,256.53679999999997
msft,2021-04-13,258.49,255.59,257.4634121982634,248.03000000000029,254.45304739143614,260.37845000000004
msft,2021-04-14,255.59,259.5,260.644106447315,250.4040000000003,254.83203159429078,263.89860000000004
msft,2021-04-15,259.5,260.74,260.8117772653468,252.77700000000033,256.3880210628605,267.04125
msft,2021-04-16,260.74,258.74,260.13321385978577,254.6160000000003,257.8386807085737,268.7475
msft,2021-04-19,258.74,258.26,258.93778384181434,255.5830000000003,258.1391204723825,268.4095
msft,2021-04-20,258.26,260.58,259.76893610809316,256.6230000000003,258.17941364825504,268.27605
msft,2021-04-21,260.58,257.17,257.9553528692049,257.69100000000026,258.9796090988367,268.2372
msft,2021-04-22,257.17,261.15,260.375944798378,258.08300000000025,258.37640606589116,266.7164
msft,2021-04-23,261.15,261.55,261.54149680922814,258.6130000000003,259.30093737726077,265.81375
msft,2021-04-26,261.55,261.97,263.66592178362475,259.1770000000003,260.05062491817387,265.20295
msft,2021-04-27,261.97,254.56,257.61128650656974,259.5250000000004,260.69041661211594,264.3487
msft,2021-04-28,254.56,252.51,251.57501808240255,259.42200000000037,258.6469444080773,262.7385
msft,2021-04-29,252.51,252.18,252.66323853823533,258.7230000000003,256.6012962720515,260.0991
msft,2021-04-30,252.18,251.86,252.26217759544735,257.8670000000003,255.12753084803435,257.47145
msft,2021-05-03,251.86,247.79,247.2139133662338,257.17900000000026,254.0383538986896,255.51205
msft,2021-05-04,247.79,246.47,246.50717261982336,256.13200000000023,251.9555692657931,252.96819999999997
msft,2021-05-05,246.47,249.73,247.83648508531283,254.72100000000023,250.1270461771954,249.88619999999997
msft,2021-05-06,249.73,252.46,253.17904738032982,253.97700000000023,249.9946974514636,248.64209999999994
msft,2021-05-07,252.46,247.18,248.7898064667097,253.10800000000023,250.81646496764242,247.29534999999996
msft,2021-05-10,247.18,246.23,244.82682686369384,251.6710000000002,249.60430997842832,244.82874999999999
msft,2021-05-11,246.23,239.0,241.19550897457339,250.0970000000002,248.47953998561889,242.30795000000003
msft,2021-05-12,239.0,243.03,244.790667573758,248.54100000000022,245.31969332374592,240.05010000000007
msft,2021-05-13,243.03,248.15,248.4103856012644,247.59300000000022,244.55646221583063,239.34960000000007
msft,2021-05-14,248.15,245.18,243.52919156270926,247.19000000000023,245.7543081438871,239.94365000000008
msft,2021-05-17,245.18,243.08,243.40153328342498,246.52200000000022,245.56287209592475,239.87220000000008
msft,2021-05-18,243.08,243.12,242.03704920738164,246.05100000000022,244.73524806394985,240.2068500000001
msft,2021-05-19,243.12,246.48,247.28171151481286,245.7160000000002,244.19683204263325,240.7201000000001
msft,2021-05-20,246.48,245.17,245.66388138530078,245.39100000000022,244.9578880284222,241.1955000000001
msft,2021-05-21,245.17,250.78,250.19132058151342,244.6620000000002,245.02859201894813,240.63990000000007
msft,2021-05-24,250.78,251.72,251.14308344856173,245.02200000000025,246.94572801263212,242.53725000000003
msft,2021-05-25,251.72,251.49,251.6688749499519,245.57100000000023,248.53715200842143,244.58865
msft,2021-05-26,251.49,249.31,249.3046642239203,246.82000000000025,249.52143467228098,247.96929999999998
msft,2021-05-27,249.31,249.68,250.28385483209985,247.44800000000023,249.45095644818733,249.56104999999997
msft,2021-05-28,249.68,247.4,247.8611922534203,247.6010000000002,249.52730429879156,249.8819
msft,2021-06-01,247.4,247.3,246.9132683380327,247.82300000000023,248.81820286586105,250.24174999999997
msft,2021-06-02,247.3,245.71,243.97728902671577,248.24500000000026,248.3121352439074,250.96764999999996
msft,2021-06-03,245.71,250.79,250.81402745759755,248.50400000000027,247.44475682927163,251.19694999999996
msft,2021-06-04,250.79,253.81,253.34838437278614,248.93500000000026,248.5598378861811,251.74285
