symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
msm,2021-03-26,91.0,89.78,89.60864262021175,88.68300000000008,88.90847877133079,89.09670000000008
msm,2021-03-29,89.78,91.32,90.4366955986522,88.53200000000007,89.19898584755387,88.50950000000009
msm,2021-03-30,91.32,90.19,89.89660199714426,88.79800000000009,89.90599056503592,88.96600000000008
msm,2021-03-31,90.19,91.29,89.74404697997701,88.87100000000007,90.00066037669062,89.00795000000008
msm,2021-04-01,91.29,91.74,90.60750676395779,89.14600000000007,90.4304402511271,89.61280000000008
msm,2021-04-05,91.74,91.64,91.35902612509602,89.47100000000007,90.86696016741807,90.34085000000007
msm,2021-04-06,91.64,86.65,87.26718304144968,89.85900000000007,91.12464011161205,91.17885000000007
msm,2021-04-07,86.65,90.0,90.05158002369451,89.94500000000008,89.63309340774137,91.24835000000006
msm,2021-04-08,90.0,89.98,89.37755292914593,90.22700000000006,89.75539560516091,91.73210000000006
msm,2021-04-09,89.98,89.34,88.88164485660288,90.35900000000007,89.83026373677396,91.81385000000007
msm,2021-04-12,89.34,88.13,88.08642764625931,90.19300000000007,89.66684249118265,91.17235000000008
msm,2021-04-13,88.13,87.67,87.62616416294071,90.02800000000008,89.15456166078843,90.53545000000007
msm,2021-04-14,87.67,88.39,88.39490267321526,89.66300000000008,88.65970777385895,89.49320000000007
msm,2021-04-15,88.39,88.66,88.29863241006449,89.48300000000009,88.56980518257265,88.95140000000006
msm,2021-04-16,88.66,88.56,88.73632985746077,89.22000000000008,88.5998701217151,88.28280000000007
msm,2021-04-19,88.56,89.33,88.86644090300327,88.90200000000009,88.58658008114341,87.57315000000007
msm,2021-04-20,89.33,90.19,89.60762907204025,88.67100000000009,88.83438672076227,87.17385000000006
msm,2021-04-21,90.19,88.84,89.10762252166599,89.0250000000001,89.28625781384152,88.19685000000005
msm,2021-04-22,88.84,90.36,89.44564672236751,88.9090000000001,89.13750520922768,88.10455000000005
msm,2021-04-23,90.36,90.92,90.29444857054432,88.9470000000001,89.54500347281845,88.41135000000004
msm,2021-04-26,90.92,91.86,91.16475485689429,89.1050000000001,90.00333564854563,88.96955000000003
msm,2021-04-27,91.86,91.14,91.11268234432073,89.4780000000001,90.6222237656971,89.98455000000003
msm,2021-04-28,91.14,91.66,91.24173449729554,89.8250000000001,90.79481584379808,90.82775000000001
msm,2021-04-29,91.66,90.16,90.30456342795588,90.1520000000001,91.08321056253206,91.54490000000001
msm,2021-04-30,90.16,92.19,91.73397273767232,90.3020000000001,90.77547370835471,91.75760000000001
msm,2021-05-03,92.19,92.93,92.10217583517417,90.6650000000001,91.24698247223648,92.40065000000001
msm,2021-05-04,92.93,92.7,92.5247694580698,91.0250000000001,91.80798831482433,92.94755
msm,2021-05-05,92.7,93.7,92.96009666611623,91.27600000000011,92.10532554321622,93.23740000000001
msm,2021-05-06,93.7,93.64,92.90045428051295,91.76200000000011,92.6368836954775,94.02444999999999
msm,2021-05-07,93.64,94.02,93.01135048298829,92.09000000000012,92.97125579698499,94.37299999999999
msm,2021-05-10,94.02,93.76,93.24967998125739,92.40000000000012,93.32083719798999,94.65375
msm,2021-05-11,93.76,92.5,92.86019647072038,92.59000000000012,93.46722479866,94.66194999999999
msm,2021-05-12,92.5,95.24,94.04895409493159,92.72600000000011,93.14481653244,94.5668
msm,2021-05-13,95.24,95.62,95.68437551636708,93.08400000000012,93.84321102162667,95.022
msm,2021-05-14,95.62,95.41,96.13888387713968,93.63000000000012,94.43547401441779,95.8878
msm,2021-05-17,95.41,93.91,94.55205507197368,93.95200000000011,94.76031600961187,96.19974999999998
msm,2021-05-18,93.91,93.99,93.61557506328325,94.05000000000011,94.47687733974125,95.99099999999999
msm,2021-05-19,93.99,93.7,93.4988731198069,94.17900000000012,94.31458489316084,95.87804999999999
msm,2021-05-20,93.7,94.56,93.78831639328017,94.17900000000012,94.10972326210724,95.51549999999999
msm,2021-05-21,94.56,94.52,94.69724960659651,94.2710000000001,94.2598155080715,95.41835
msm,2021-05-24,94.52,93.78,93.917281607095,94.32100000000011,94.34654367204767,95.25519999999999
msm,2021-05-25,93.78,94.51,94.10426522232218,94.32300000000012,94.15769578136512,95.00024999999998
msm,2021-05-26,94.51,95.01,94.81713702600851,94.52400000000011,94.27513052091008,95.23304999999998
msm,2021-05-27,95.01,94.4,94.53030799640806,94.50100000000012,94.52008701394007,94.96299999999998
msm,2021-05-28,94.4,95.13,94.57725616716813,94.37900000000012,94.48005800929339,94.54564999999998
msm,2021-06-01,95.13,93.93,94.51976649344319,94.35100000000013,94.69670533952893,94.41579999999998
msm,2021-06-02,93.93,93.26,93.66453869806486,94.35300000000012,94.44113689301929,94.37534999999998
msm,2021-06-03,93.26,92.69,92.97264030873988,94.28000000000013,94.0474245953462,94.17769999999999
msm,2021-06-04,92.69,91.83,92.26663030964006,94.17900000000013,93.59494973023081,93.92519999999998
msm,2021-06-07,91.83,92.82,92.72486278293266,93.90600000000013,93.00663315348721,93.29744999999998
msm,2021-06-08,92.82,91.54,91.93428544525268,93.73600000000013,92.94442210232481,92.96019999999996
msm,2021-06-09,91.54,91.73,91.54756073899284,93.51200000000013,92.47628140154988,92.52184999999997
msm,2021-06-10,91.73,91.71,91.55164922540193,93.23400000000012,92.2275209343666,92.02034999999998
msm,2021-06-11,91.71,91.52,91.67412456344377,92.90400000000014,92.0550139562444,91.43489999999997
msm,2021-06-14,91.52,91.24,91.35845400174486,92.61600000000013,91.8766759708296,90.97934999999997
msm,2021-06-15,91.24,90.16,90.36347265375863,92.22700000000013,91.66445064721974,90.32544999999996
msm,2021-06-16,90.16,87.8,89.58593900651753,91.85000000000014,91.1629670981465,89.75839999999997
msm,2021-06-17,87.8,87.38,86.99247528078747,91.30400000000013,90.04197806543101,88.83979999999995
msm,2021-06-18,87.38,89.37,88.9324157850283,90.77300000000014,89.15465204362067,88.02319999999995
msm,2021-06-21,89.37,88.27,88.81322111905125,90.52700000000013,89.22643469574712,87.91504999999995
msm,2021-06-22,88.27,88.56,88.71878080712683,90.07200000000014,88.90762313049808,87.32714999999995
msm,2021-06-23,88.56,88.66,88.78185339547287,89.77400000000014,88.79174875366539,87.14284999999995
msm,2021-06-24,88.66,89.96,89.81843494073242,89.46700000000013,88.7478325024436,86.94039999999995
msm,2021-06-25,89.96,88.27,88.79492445065961,89.29200000000013,89.15188833496241,87.04469999999995
msm,2021-06-28,88.27,88.25,88.29363576656529,88.96700000000013,88.85792555664162,86.77954999999994
msm,2021-06-29,88.25,89.73,89.32590547993676,88.66800000000013,88.65528370442775,86.56589999999996
msm,2021-06-30,89.73,89.73,89.75972066526333,88.62500000000014,89.01352246961851,86.94214999999996
msm,2021-07-01,89.73,89.75,89.56331717832572,88.81800000000014,89.25234831307901,87.79754999999997
msm,2021-07-02,89.75,90.8,90.64961911052106,89.05500000000015,89.41823220871935,88.64774999999997
msm,2021-07-06,90.8,91.45,91.9467620451971,89.19800000000014,89.87882147247957,89.20459999999997
msm,2021-07-07,91.45,89.9,89.98337830817225,89.51600000000015,90.40254764831973,90.08299999999997
msm,2021-07-08,89.9,91.85,91.79474875172139,89.65000000000013,90.2350317655465,90.43659999999997
msm,2021-07-09,91.85,90.47,90.39961539379229,89.96900000000014,90.77335451036433,91.15879999999997
msm,2021-07-12,90.47,89.29,89.46889585826196,90.02000000000014,90.67223634024289,91.17709999999997
msm,2021-07-13,89.29,89.51,89.51896826314217,90.12200000000014,90.21149089349527,91.25884999999997
msm,2021-07-14,89.51,88.81,89.0653585423899,90.24800000000013,89.97766059566351,91.33684999999997
msm,2021-07-15,88.81,87.12,88.02959870996797,90.15600000000013,89.58844039710901,90.87719999999997
msm,2021-07-16,87.12,85.53,86.04185949116655,89.89500000000012,88.76562693140602,90.06314999999998
msm,2021-07-19,85.53,87.8,87.53448747858559,89.47300000000013,87.68708462093736,88.94544999999997
msm,2021-07-20,87.8,87.47,87.7489567548911,89.17300000000013,87.72472308062491,88.19919999999998
msm,2021-07-21,87.47,86.26,86.8657221921838,88.77500000000012,87.63981538708327,87.31534999999998
msm,2021-07-22,86.26,86.45,86.8219654860595,88.41100000000013,87.1798769247222,86.59119999999999
msm,2021-07-23,86.45,87.2,87.25763679251047,87.87100000000012,86.93658461648147,85.55589999999998
msm,2021-07-26,87.2,86.88,87.0025377768432,87.54400000000012,87.02438974432098,85.10979999999999
msm,2021-07-27,86.88,88.59,88.30247839492449,87.30300000000014,86.97625982954733,84.93015
msm,2021-07-28,88.59,89.09,89.30780383674605,87.21100000000014,87.51417321969822,85.1557
msm,2021-07-29,89.09,89.17,89.16199614256644,87.23900000000015,88.03944881313215,85.66324999999998
msm,2021-07-30,89.17,87.17,87.76673893273521,87.44400000000014,88.41629920875478,86.54339999999998
msm,2021-08-02,87.17,88.21,88.1685050388659,87.60800000000015,88.00086613916986,87.23314999999998
msm,2021-08-03,88.21,85.82,86.61439535040519,87.64900000000014,88.07057742611323,87.56424999999999
msm,2021-08-04,85.82,85.73,86.0689557621216,87.48400000000015,87.32038495074215,87.34539999999997
msm,2021-08-05,85.73,85.94,86.38535239425991,87.43100000000015,86.79025663382811,87.35989999999997
msm,2021-08-06,85.94,85.15,85.67473177694828,87.38000000000015,86.50683775588541,87.30604999999996
msm,2021-08-09,85.15,85.34,85.53924612955981,87.17500000000015,86.05455850392362,86.84889999999994
msm,2021-08-10,85.34,86.58,86.64803419141519,87.02100000000016,85.81637233594908,86.50619999999995
msm,2021-08-11,86.58,86.58,86.64803419141519,86.82000000000015,86.07091489063274,86.06234999999995
