symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
mu,2021-03-23,85.4,83.0,86.87528427745465,89.45399999999992,89.02559915854066,90.41835000000027
mu,2021-03-24,83.0,84.09,86.4974713187948,89.21299999999992,87.01706610569377,89.74835000000027
mu,2021-03-25,84.09,87.99,88.53149530777662,88.69099999999992,86.04137740379585,88.47200000000026
mu,2021-03-26,87.99,86.59,86.08225710622354,88.71299999999992,86.69091826919724,88.49595000000026
mu,2021-03-29,86.59,86.54,86.56157920927203,88.48699999999992,86.6572788461315,87.84515000000026
mu,2021-03-30,86.54,88.21,86.84429913939005,87.9979999999999,86.61818589742101,86.61530000000026
mu,2021-03-31,88.21,92.41,87.7770562137332,87.34299999999992,87.14879059828067,85.15345000000026
mu,2021-04-01,92.41,93.75,89.66290002075897,87.6019999999999,88.90252706552045,86.02010000000027
mu,2021-04-05,93.75,93.49,91.63634170536756,87.9259999999999,90.51835137701363,87.02435000000025
mu,2021-04-06,93.49,93.96,90.70263684605115,88.1469999999999,91.50890091800909,87.83140000000026
mu,2021-04-07,93.96,95.29,91.90361970721473,89.00299999999991,92.3259339453394,90.03905000000024
mu,2021-04-08,95.29,95.3,92.00459083497377,90.23199999999991,93.31395596355961,92.95870000000025
mu,2021-04-09,95.3,95.59,93.73916517514871,91.35299999999991,93.97597064237308,95.36190000000025
mu,2021-04-12,95.59,92.15,91.71980696203465,92.11299999999991,94.51398042824873,96.75190000000025
mu,2021-04-13,92.15,90.67,90.24133806798062,92.6689999999999,93.72598695216583,97.51460000000026
mu,2021-04-14,90.67,90.27,89.76956233610503,93.08199999999991,92.70732463477722,97.78450000000024
mu,2021-04-15,90.27,90.66,90.27259027485997,93.2879999999999,91.89488308985148,97.40775000000023
mu,2021-04-16,90.66,88.41,88.23034704588787,93.1129999999999,91.48325539323432,96.14360000000025
mu,2021-04-19,88.41,87.48,88.01042216991648,92.5789999999999,90.45883692882288,94.11065000000023
mu,2021-04-20,87.48,89.49,89.07662345066211,91.9779999999999,89.46589128588192,92.03350000000025
mu,2021-04-21,89.49,84.71,86.56360695940265,91.53099999999989,89.47392752392129,90.53680000000024
mu,2021-04-22,84.71,86.03,87.02860773619184,90.4729999999999,87.8859516826142,87.85565000000024
mu,2021-04-23,86.03,87.84,88.18243725075376,89.5459999999999,87.2673011217428,85.80920000000023
mu,2021-04-26,87.84,89.46,89.12407794469144,88.7709999999999,87.45820074782854,84.37300000000025
mu,2021-04-27,89.46,86.03,87.13646329223785,88.50199999999991,88.12546716521904,84.32555000000023
mu,2021-04-28,86.03,88.06,87.37002430518582,88.03799999999991,87.42697811014602,83.92215000000024
mu,2021-04-29,88.06,86.07,87.7086260430995,87.81699999999992,87.63798540676402,84.19030000000024
mu,2021-04-30,86.07,85.02,86.07732266114057,87.35799999999992,87.11532360450934,83.90605000000023
mu,2021-05-03,85.02,84.41,85.55371757965797,87.01899999999992,86.41688240300624,83.89255000000023
mu,2021-05-04,84.41,85.15,85.99126130623637,86.7119999999999,85.74792160200417,83.91495000000022
mu,2021-05-05,85.15,84.8,85.46471868692976,86.2779999999999,85.54861440133612,83.61790000000022
mu,2021-05-06,84.8,85.98,86.42801787144796,86.28699999999989,85.29907626755742,84.26830000000021
mu,2021-05-07,85.98,80.85,84.1430905043768,86.2819999999999,85.52605084503828,84.74540000000022
mu,2021-05-10,80.85,80.68,83.22343913906485,85.5829999999999,83.96736723002553,83.47610000000022
mu,2021-05-11,80.68,76.8,80.76442788005014,84.7049999999999,82.87157815335036,81.85065000000021
mu,2021-05-12,76.8,77.19,79.64392360401223,83.7819999999999,80.84771876890024,80.18155000000021
mu,2021-05-13,77.19,79.7,80.52987163742756,82.69499999999991,79.62847917926683,78.23235000000021
mu,2021-05-14,79.7,80.39,81.00325499340624,82.05799999999992,79.65231945284457,77.43485000000021
mu,2021-05-17,80.39,78.88,80.74055369582109,81.59499999999993,79.89821296856306,77.0909500000002
mu,2021-05-18,78.88,79.93,80.65863022999737,81.04199999999993,79.55880864570871,76.5589500000002
mu,2021-05-19,79.93,81.13,81.65063026753886,80.51999999999992,79.68253909713914,76.1176500000002
mu,2021-05-20,81.13,80.72,81.75098009259831,80.15299999999993,80.16502606475943,76.1202500000002
mu,2021-05-21,80.72,82.9,83.53411205464842,79.62699999999992,80.35001737650629,75.80350000000018
mu,2021-05-24,82.9,81.23,82.27679392733644,79.83199999999992,81.20001158433753,77.1786500000002
mu,2021-05-25,81.23,82.24,82.51565552097475,79.88699999999992,81.2100077228917,78.0388500000002
mu,2021-05-26,82.24,83.93,84.32730001409314,80.43099999999993,81.55333848192781,79.9015000000002
mu,2021-05-27,83.93,84.14,84.30636057244118,81.10499999999993,82.34555898795188,81.82500000000019
mu,2021-05-28,84.14,84.15,84.8024764957155,81.54899999999992,82.94370599196793,83.01135000000019
mu,2021-06-01,84.15,84.34,84.42166446134728,81.92499999999993,83.3458039946453,83.90185000000018
mu,2021-06-02,84.34,82.03,83.1441251579597,82.47099999999992,83.67720266309686,85.0525000000002
mu,2021-06-03,82.03,83.76,84.03240416565862,82.68099999999993,83.12813510873124,85.25335000000018
mu,2021-06-04,83.76,84.04,83.97333094802082,82.94399999999993,83.33875673915418,85.49220000000018
mu,2021-06-07,84.04,80.53,82.60132555594664,83.27599999999993,83.57250449276947,85.77485000000019
mu,2021-06-08,80.53,78.66,80.20423999051893,83.03899999999992,82.55833632851298,84.70130000000017
mu,2021-06-09,78.66,79.28,80.52709855240154,82.78199999999991,81.25889088567533,83.62455000000017
mu,2021-06-10,79.28,79.34,80.41766315349778,82.4859999999999,80.59926059045023,82.57630000000017
mu,2021-06-11,79.34,80.49,80.99510407791838,82.0269999999999,80.17950706030015,81.29050000000018
mu,2021-06-14,80.49,82.18,82.51627235054494,81.6619999999999,80.28300470686678,80.36105000000018
mu,2021-06-15,82.18,80.49,81.69354639531389,81.4649999999999,80.91533647124453,79.93755000000019
mu,2021-06-16,80.49,80.64,81.2689774260889,81.0799999999999,80.77355764749636,79.18370000000019
mu,2021-06-17,80.64,76.95,78.2297815690799,80.9409999999999,80.72903843166425,79.09720000000019
mu,2021-06-18,76.95,77.07,77.47894503786185,80.2599999999999,79.46935895444284,77.79730000000019
mu,2021-06-21,77.07,77.66,78.21544934846199,79.56299999999992,78.66957263629523,76.61175000000019
mu,2021-06-22,77.66,79.02,79.65679906334812,79.27599999999993,78.33304842419682,76.45870000000018
mu,2021-06-23,79.02,80.58,80.70881864172166,79.31199999999993,78.56203228279787,77.06920000000018
mu,2021-06-24,80.58,82.03,82.24630924528431,79.44199999999992,79.23468818853192,77.85080000000019
mu,2021-06-25,82.03,83.38,83.17908064903226,79.71099999999993,80.16645879235462,78.87070000000018
mu,2021-06-28,83.38,82.93,82.97697329787117,79.99999999999991,81.23763919490308,79.84250000000019
mu,2021-06-29,82.93,84.98,84.28117217629467,80.0749999999999,81.80175946326872,80.23850000000019
mu,2021-06-30,84.98,80.11,80.73187618725738,80.52399999999992,82.86117297551249,81.44440000000019
mu,2021-07-01,80.11,80.33,80.19605090982687,80.47099999999992,81.94411531700834,81.38240000000019
mu,2021-07-02,80.33,81.08,81.03645125944085,80.80899999999991,81.40607687800556,82.14505000000018
mu,2021-07-06,81.08,78.22,79.94354555329062,81.20999999999992,81.29738458533706,82.90050000000018
mu,2021-07-07,78.22,77.11,77.78009027939852,81.26599999999993,80.27158972355804,82.74200000000017
mu,2021-07-08,77.11,78.74,79.11124111376432,81.07499999999993,79.21772648237203,82.00005000000019
mu,2021-07-09,78.74,79.56,79.8475922031018,80.89099999999993,79.05848432158135,81.32270000000018
mu,2021-07-12,79.56,78.45,79.20959772058028,80.64399999999993,79.22565621438757,80.56525000000018
mu,2021-07-13,78.45,78.49,79.99186665546948,80.15099999999994,78.96710414292505,79.31010000000018
mu,2021-07-14,78.49,76.92,77.87959376828614,79.70699999999995,78.8080694286167,78.25530000000016
mu,2021-07-15,76.92,75.01,76.56451640471317,78.90099999999994,78.17871295241113,76.48375000000016
mu,2021-07-16,75.01,74.58,74.82349686238229,78.39099999999993,77.12247530160742,75.52075000000016
mu,2021-07-19,74.58,75.39,75.9980927796684,77.81599999999995,76.27498353440495,74.53220000000016
mu,2021-07-20,75.39,77.19,77.51794749126076,77.24699999999993,75.97998902293664,73.70415000000017
mu,2021-07-21,77.19,75.53,75.9542546812185,77.14399999999993,76.38332601529109,74.06495000000017
mu,2021-07-22,75.53,75.94,76.23091500967946,76.98599999999993,76.09888401019407,74.28330000000017
mu,2021-07-23,75.94,76.3,77.30915762677444,76.70599999999993,76.04592267346271,74.21105000000016
mu,2021-07-26,76.3,74.22,74.4613295596896,76.37999999999992,76.1306151156418,74.03565000000016
mu,2021-07-27,74.22,75.55,76.0488692203036,75.95699999999992,75.49374341042787,73.60725000000016
mu,2021-07-28,75.55,77.08,77.24704638543868,75.66299999999993,75.51249560695192,73.47885000000016
mu,2021-07-29,77.08,77.58,78.07604400656312,75.67899999999993,76.03499707130128,74.00215000000017
mu,2021-07-30,77.58,77.64,78.49340443047453,75.93599999999994,76.54999804753419,75.01290000000016
mu,2021-08-02,77.64,80.86,80.55015980298403,76.24199999999993,76.91333203168946,76.01400000000015
mu,2021-08-03,80.86,81.98,81.90799915269172,76.78899999999993,78.22888802112632,77.45020000000015
mu,2021-08-04,81.98,81.49,81.95311803606639,77.26799999999994,79.47925868075089,78.62910000000015
mu,2021-08-05,81.49,82.0,82.18886321781912,77.86399999999995,80.14950578716726,79.98740000000015
mu,2021-08-06,82.0,82.0,82.18886321781912,78.46999999999994,80.76633719144485,81.23780000000015
