symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
mvis,2021-03-24,13.2,14.01,15.767575065069066,16.46699999999997,15.54442027265247,17.946375000000064
mvis,2021-03-25,14.01,13.45,15.08276036080824,16.38499999999997,15.032946848434982,17.471675000000065
mvis,2021-03-26,13.45,12.13,13.839200373824522,15.983499999999967,14.505297898956655,16.297375000000066
mvis,2021-03-29,12.13,12.31,13.867154039884115,15.413999999999968,13.713531932637771,14.792025000000063
mvis,2021-03-30,12.31,18.55,18.018728929262906,14.961999999999966,13.24568795509185,13.646425000000065
mvis,2021-03-31,18.55,15.54,17.282124998919148,15.072999999999968,15.013791970061234,13.922875000000067
mvis,2021-04-01,15.54,15.69,17.024667867920826,15.032999999999967,15.18919464670749,13.86817500000007
mvis,2021-04-05,15.69,15.32,16.25802712596866,14.866999999999967,15.35612976447166,13.591325000000072
mvis,2021-04-06,15.32,14.6,15.697490925355979,14.601999999999967,15.344086509647774,13.199725000000072
mvis,2021-04-07,14.6,14.15,15.564801287861988,14.479999999999967,15.096057673098517,13.210025000000073
mvis,2021-04-08,14.15,14.22,15.523402296707443,14.574999999999969,14.780705115399012,13.731325000000073
mvis,2021-04-09,14.22,12.92,14.265587341169269,14.59599999999997,14.593803410266009,14.052175000000071
mvis,2021-04-12,12.92,12.91,14.293579839171317,14.542999999999969,14.035868940177341,14.135750000000073
mvis,2021-04-13,12.91,12.34,13.543866150412583,14.62099999999997,13.660579293451562,14.44970000000007
mvis,2021-04-14,12.34,11.35,12.667488484675273,14.62399999999997,13.220386195634376,14.507900000000069
mvis,2021-04-15,11.35,11.03,12.462450013493761,13.903999999999968,12.596924130422918,12.883250000000066
mvis,2021-04-16,11.03,10.5,12.005955452904733,13.45299999999997,12.074616086948613,11.992750000000068
mvis,2021-04-19,10.5,10.385,11.439861063024123,12.933999999999969,11.549744057965743,10.985200000000066
mvis,2021-04-20,10.385,12.495,12.742371049955162,12.440499999999968,11.161496038643829,10.075675000000066
mvis,2021-04-21,12.495,13.14,13.725947776240162,12.22999999999997,11.605997359095886,9.886925000000065
mvis,2021-04-22,13.14,17.97,16.854508319551393,12.128999999999971,12.117331572730592,10.001325000000065
mvis,2021-04-23,17.97,26.44,32.48194914258341,12.503999999999971,14.068221048487061,11.252625000000064
mvis,2021-04-26,26.44,20.16,30.600864326700105,13.855999999999971,18.19214736565804,14.735675000000063
mvis,2021-04-27,20.16,20.99,21.43015324356557,14.580999999999971,18.84809824377203,16.554175000000065
mvis,2021-04-28,20.99,18.0,18.166145577686486,15.445999999999973,19.562065495848017,18.593375000000062
mvis,2021-04-29,18.0,15.25,15.627234307936307,16.110999999999972,19.041376997232014,19.924825000000062
mvis,2021-04-30,15.25,13.86,14.487836789336777,16.532999999999973,17.777584664821344,20.517825000000062
mvis,2021-05-03,13.86,15.4,15.781958149880964,16.86899999999997,16.471723109880898,20.76757500000006
mvis,2021-05-04,15.4,14.48,14.754690079772782,17.37049999999997,16.11448207325393,21.28182500000006
mvis,2021-05-05,14.48,14.0,14.378269156671394,17.56899999999997,15.569654715502622,20.97722500000006
mvis,2021-05-06,14.0,14.1,14.390210640454539,17.654999999999973,15.046436477001748,20.36332500000006
mvis,2021-05-07,14.1,13.86,14.250445595992241,17.267999999999972,14.7309576513345,18.68122500000006
mvis,2021-05-10,13.86,14.67,14.921940904949414,16.009999999999973,14.440638434223,15.213125000000058
mvis,2021-05-11,14.67,13.34,13.898877443168523,15.460999999999974,14.517092289482001,13.70862500000006
mvis,2021-05-12,13.34,12.48,13.432526279582495,14.695999999999973,14.124728192988002,11.908625000000061
