symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
net,2021-03-24,67.83,66.65,66.80973578262544,73.19900000000005,70.95729432057135,75.15619999999997
net,2021-03-25,66.65,67.57,65.99494912115512,72.20300000000006,69.52152954704758,72.48319999999997
net,2021-03-26,67.57,65.63,65.62898784407263,71.33000000000007,68.87101969803172,70.28359999999995
net,2021-03-29,65.63,65.8,65.39924789421846,70.37800000000007,67.79067979868782,68.00304999999994
net,2021-03-30,65.8,70.26,71.13747505374604,69.55400000000006,67.12711986579188,66.14419999999994
net,2021-03-31,70.26,71.79,71.61704314736257,69.09800000000007,68.17141324386125,65.33359999999995
net,2021-04-01,71.79,71.17,70.00238364551393,69.23500000000007,69.37760882924084,66.03174999999995
net,2021-04-05,71.17,72.21,72.77561595733093,69.18300000000006,69.97507255282723,66.33509999999994
net,2021-04-06,72.21,70.05,70.45391727358677,69.12800000000007,70.72004836855149,66.80404999999993
net,2021-04-07,70.05,72.36,73.03304491302262,68.89600000000006,70.49669891236766,66.90939999999993
net,2021-04-08,72.36,70.88,70.2546752407993,69.34900000000006,71.11779927491177,68.61939999999993
net,2021-04-09,70.88,69.73,69.05068366219123,69.77200000000006,71.03853284994119,70.04154999999993
net,2021-04-12,69.73,77.61,81.94978579612142,69.98800000000006,70.60235523329413,70.78284999999994
net,2021-04-13,77.61,74.57,74.45080539252156,71.18600000000006,72.93823682219609,73.65664999999993
net,2021-04-14,74.57,78.09,77.2493066613056,72.06300000000006,73.48215788146406,75.47279999999994
net,2021-04-15,78.09,74.24,74.30124916191753,72.84600000000006,75.01810525430938,76.86809999999994
net,2021-04-16,74.24,73.3,73.0907760409126,73.09100000000007,74.75873683620625,76.90219999999992
net,2021-04-19,73.3,72.39,72.2011856116981,73.30400000000006,74.2724912241375,76.81654999999992
net,2021-04-20,72.39,73.78,72.64258722623353,73.32200000000006,73.644994149425,76.23244999999993
net,2021-04-21,73.78,75.43,75.69544909517458,73.69500000000006,73.68999609961668,76.44509999999993
net,2021-04-22,75.43,82.72,79.96129080011403,74.00200000000005,74.26999739974445,76.51464999999993
net,2021-04-23,82.72,84.76,82.38769600006778,75.18600000000006,77.08666493316298,78.66254999999994
net,2021-04-26,84.76,87.01,85.60764502773972,76.68900000000005,79.64444328877532,81.41489999999995
net,2021-04-27,87.01,86.16,83.54695608730941,77.62900000000005,82.09962885918355,82.79844999999996
net,2021-04-28,86.16,84.89,82.66117248096106,78.78800000000005,83.45308590612237,84.68719999999995
net,2021-04-29,84.89,84.74,83.45444714878053,79.46800000000005,83.93205727074826,85.39389999999995
net,2021-04-30,84.74,84.06,82.48588363353826,80.51800000000006,84.20137151383219,86.90484999999994
net,2021-05-03,84.06,80.19,79.9080168678597,81.59400000000005,84.15424767588813,88.35134999999994
net,2021-05-04,80.19,79.02,78.14289516288795,82.37400000000005,82.83283178392543,88.94354999999993
net,2021-05-05,79.02,69.07,70.2357060087116,82.89800000000005,81.56188785595029,88.87309999999994
net,2021-05-06,69.07,71.62,73.56134552498514,82.26200000000006,77.3979252373002,86.04409999999993
net,2021-05-07,71.62,68.87,69.28648699067395,81.15200000000006,75.47195015820014,82.37419999999993
net,2021-05-10,68.87,71.29,71.75295952835161,79.56300000000006,73.27130010546676,77.97059999999992
net,2021-05-11,71.29,69.69,70.04841287004453,77.99100000000006,72.61086673697784,73.98629999999991
net,2021-05-12,69.69,66.65,67.5084855874158,76.34400000000007,71.63724449131857,70.23539999999991
net,2021-05-13,66.65,72.3,72.13607974613355,74.52000000000007,69.97482966087905,66.41759999999991
net,2021-05-14,72.3,70.96,71.7097895349438,73.27600000000005,70.74988644058604,64.39389999999992
net,2021-05-17,70.96,72.43,73.07875693287534,71.96600000000005,70.81992429372403,62.56309999999992
net,2021-05-18,72.43,70.79,71.26845319032819,71.19000000000005,71.35661619581603,62.30069999999993
net,2021-05-19,70.79,74.5,74.17993734777181,70.36700000000005,71.16774413054402,62.12284999999993
net,2021-05-20,74.5,74.8,74.51111403348543,70.91000000000005,72.27849608702935,65.18314999999993
net,2021-05-21,74.8,78.88,77.81502010520154,71.22800000000005,73.1189973913529,67.46674999999992
net,2021-05-24,78.88,79.59,79.3710348921756,72.22900000000006,75.03933159423528,71.06934999999991
net,2021-05-25,79.59,79.88,79.62493144796943,73.05900000000005,76.55622106282352,73.88414999999992
net,2021-05-26,79.88,82.81,80.68690866620292,74.07800000000006,77.66414737521569,76.7715499999999
net,2021-05-27,82.81,82.06,81.89611277032051,75.69400000000006,79.37943158347713,80.6354499999999
net,2021-05-28,82.06,83.07,81.21964902318277,76.67000000000007,80.27295438898476,82.56634999999991
net,2021-06-01,83.07,83.86,82.76371336719883,77.88100000000006,81.20530292598984,84.70659999999991
net,2021-06-02,83.86,81.92,80.51275921361781,79.02400000000007,82.0902019506599,86.38899999999991
net,2021-06-03,81.92,83.08,82.73246563655135,80.13700000000007,82.03346796710662,87.7059999999999
net,2021-06-04,83.08,85.84,84.07475308372321,80.99500000000008,82.38231197807109,88.3382499999999
net,2021-06-07,85.84,89.78,88.31772713195278,82.09900000000007,83.53487465204739,89.4675999999999
net,2021-06-08,89.78,90.13,88.10233651102628,83.18900000000008,85.61658310136494,90.54859999999991
net,2021-06-09,90.13,93.47,90.94074032728737,84.24300000000008,87.12105540090997,91.5059999999999
net,2021-06-10,93.47,94.0,92.6689625523263,85.60200000000007,89.23737026727332,93.17489999999991
net,2021-06-11,94.0,95.64,94.3935639773309,86.72100000000007,90.82491351151555,94.31834999999992
net,2021-06-14,95.64,93.4,92.82991052412224,88.07900000000006,92.42994234101037,96.00199999999992
net,2021-06-15,93.4,94.76,93.50688836302253,89.11200000000005,92.75329489400693,96.89984999999993
net,2021-06-16,94.76,100.69,98.36594531437622,90.20200000000006,93.42219659600462,97.94814999999993
net,2021-06-17,100.69,101.68,99.33568104910114,92.07900000000005,95.84479773066975,100.84934999999993
