symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
nvcn,2021-03-26,1.15,1.07,1.086539521344451,1.2420000000000075,1.1716290096966109,1.1809499999999917
nvcn,2021-03-29,1.07,1.05,1.0746318809163893,1.2110000000000078,1.1377526731310739,1.1146999999999916
nvcn,2021-03-30,1.05,1.08,1.093409301446149,1.1860000000000077,1.1085017820873826,1.0652499999999918
nvcn,2021-03-31,1.08,1.12,1.121466670231245,1.158000000000008,1.099001188058255,1.0136999999999918
nvcn,2021-04-01,1.12,1.1,1.107709539580937,1.142000000000008,1.1060007920388368,0.9966499999999918
nvcn,2021-04-05,1.1,1.07,1.0852459879267717,1.1270000000000078,1.1040005280258913,0.985249999999992
nvcn,2021-04-06,1.07,1.05,1.0730835270608412,1.1090000000000078,1.0926670186839278,0.9703999999999919
nvcn,2021-04-07,1.05,1.04,1.057942172587412,1.0940000000000079,1.0784446791226185,0.9630499999999917
nvcn,2021-04-08,1.04,1.01,1.0245863965360698,1.0860000000000078,1.0656297860817459,0.9725999999999917
nvcn,2021-04-09,1.01,0.95,0.9880567132571975,1.0740000000000076,1.0470865240544973,0.9706499999999918
nvcn,2021-04-12,0.95,0.95,0.9847035364459643,1.0540000000000076,1.014724349369665,0.9488499999999919
nvcn,2021-04-13,0.95,0.9208,0.9457523175009441,1.0420000000000074,0.9931495662464433,0.9441999999999918
nvcn,2021-04-14,0.9208,0.8575,0.8917022532486019,1.0290800000000073,0.9690330441642956,0.9354379999999918
nvcn,2021-04-15,0.8575,0.8042,0.8811983437457623,1.0068300000000074,0.9318553627761972,0.9024884999999918
nvcn,2021-04-16,0.8042,0.81,0.8473047175862612,0.9752500000000073,0.8893035751841315,0.8485509999999918
nvcn,2021-04-19,0.81,0.7646,0.7901876616766937,0.9462500000000074,0.8628690501227544,0.8031634999999918
nvcn,2021-04-20,0.7646,0.87,0.9030266315881669,0.9157100000000072,0.8301127000818362,0.7558069999999918
nvcn,2021-04-21,0.87,0.8542,0.8732196790312907,0.8977100000000071,0.8434084667212243,0.7402504999999919
nvcn,2021-04-22,0.8542,0.89,0.9113220730950722,0.8791300000000071,0.8470056444808162,0.7248309999999919
nvcn,2021-04-23,0.89,0.9468,0.949955859217526,0.8671300000000072,0.8613370963205441,0.7258614999999919
nvcn,2021-04-26,0.9468,0.9399,0.9401904381012428,0.8668100000000072,0.8898247308803628,0.7531399999999919
nvcn,2021-04-27,0.9399,0.9797,0.9767904835675258,0.8658000000000072,0.9065164872535754,0.777044999999992
nvcn,2021-04-28,0.9797,0.9686,0.9620460614090092,0.8716900000000072,0.9309109915023837,0.8153784999999921
nvcn,2021-04-29,0.9686,0.97,0.9613038753219343,0.8828000000000072,0.9434739943349225,0.8617579999999923
nvcn,2021-04-30,0.97,0.97,0.9730101627347255,0.8993800000000073,0.9523159962232817,0.9145884999999921
nvcn,2021-05-03,0.97,0.9161,0.9247601567347058,0.9153800000000073,0.9582106641488546,0.959218999999992
nvcn,2021-05-04,0.9161,0.9244,0.9303225343624826,0.9305300000000074,0.9441737760992365,0.9948709999999921
nvcn,2021-05-05,0.9244,0.858,0.874926093895961,0.9359700000000075,0.937582517399491,1.002731999999992
nvcn,2021-05-06,0.858,0.8607,0.8713583077790329,0.9363500000000075,0.9110550115996607,0.995098999999992
nvcn,2021-05-07,0.8607,0.8089,0.8299858831625163,0.9334200000000074,0.8942700077331072,0.9778304999999918
nvcn,2021-05-10,0.8089,0.8223,0.8420366441578315,0.9196300000000074,0.8658133384887381,0.9354324999999918
nvcn,2021-05-11,0.8223,0.77,0.7882160084395076,0.9078700000000074,0.8513088923258255,0.8997219999999917
