symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
poww,2021-03-26,5.91,5.6,5.731838278316192,6.158000000000011,6.04662432280882,5.935849999999983
poww,2021-03-29,5.6,5.64,5.657939103013913,6.06800000000001,5.897749548539213,5.795599999999983
poww,2021-03-30,5.64,5.92,6.051288887077264,6.011000000000011,5.811833032359476,5.723449999999984
poww,2021-03-31,5.92,6.22,6.412246677923057,6.00200000000001,5.847888688239651,5.755399999999983
poww,2021-04-01,6.22,6.44,6.452424849727111,6.0500000000000105,5.971925792159768,5.908699999999983
poww,2021-04-05,6.44,6.65,6.5555033204609625,6.063000000000011,6.127950528106512,5.963549999999982
poww,2021-04-06,6.65,7.19,7.591027885801762,6.062000000000012,6.301967018737675,5.992849999999982
poww,2021-04-07,7.19,7.5,7.110668828052893,6.137000000000012,6.597978012491784,6.2022499999999825
poww,2021-04-08,7.5,7.31,7.257933761648304,6.307000000000012,6.898652008327857,6.615849999999983
poww,2021-04-09,7.31,7.68,7.4990508596968,6.438000000000012,7.035768005551905,6.900599999999983
poww,2021-04-12,7.68,7.44,7.29642589565898,6.615000000000012,7.25051200370127,7.274549999999982
poww,2021-04-13,7.44,7.24,7.208327380699773,6.799000000000012,7.31367466913418,7.6248999999999825
poww,2021-04-14,7.24,7.05,6.875826169154922,6.959000000000012,7.289116446089453,7.882699999999983
poww,2021-04-15,7.05,6.65,6.660205979064911,7.072000000000012,7.209410964059636,8.004699999999982
poww,2021-04-16,6.65,6.68,6.496959863735019,7.115000000000012,7.022940642706424,7.952449999999983
poww,2021-04-19,6.68,6.59,6.41601599007948,7.139000000000013,6.908627095137617,7.851049999999984
poww,2021-04-20,6.59,6.85,6.69275195182751,7.133000000000012,6.802418063425078,7.675399999999984
poww,2021-04-21,6.85,6.83,6.879913922178348,7.099000000000013,6.818278708950053,7.446099999999983
poww,2021-04-22,6.83,7.11,7.019578919899191,7.0320000000000125,6.822185805966702,7.1698499999999825
poww,2021-04-23,7.11,7.29,7.133882579579276,7.012000000000012,6.918123870644469,7.033749999999982
poww,2021-04-26,7.29,7.03,6.982638119577474,6.973000000000013,7.042082580429646,6.882549999999981
poww,2021-04-27,7.03,7.29,7.147507387502643,6.932000000000014,7.038055053619765,6.76009999999998
poww,2021-04-28,7.29,7.14,6.953617076394124,6.9370000000000145,7.122036702413177,6.775899999999979
