symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
pt,2021-03-26,1.23,1.1,1.1207815994633563,1.3650000000000027,1.2564705759915475,1.3363499999999893
pt,2021-03-29,1.1,1.13,1.158975747464047,1.3290000000000028,1.2043137173276985,1.248599999999989
pt,2021-03-30,1.13,1.1,1.1219733000116658,1.2900000000000027,1.1795424782184658,1.1608499999999888
pt,2021-03-31,1.1,1.14,1.1431113969128708,1.2450000000000025,1.1530283188123107,1.065749999999989
pt,2021-04-01,1.14,1.145,1.1528150290923913,1.2100000000000026,1.148685545874874,1.0053999999999887
pt,2021-04-05,1.145,1.14,1.1622544524319762,1.1835000000000027,1.1474570305832494,0.9734249999999889
pt,2021-04-06,1.14,1.34,1.5002425810489168,1.1625000000000028,1.1449713537221664,0.959849999999989
pt,2021-04-07,1.34,1.39,1.4200856266297843,1.1705000000000028,1.2099809024814443,1.016224999999989
pt,2021-04-08,1.39,1.22,1.1496480138720866,1.1915000000000027,1.2699872683209628,1.099999999999989
pt,2021-04-09,1.22,1.44,1.0617822619537258,1.193500000000003,1.2533248455473087,1.1326749999999888
pt,2021-04-12,1.44,1.33,1.3029604746173504,1.2145000000000028,1.3155498970315391,1.2077499999999888
pt,2021-04-13,1.33,1.05,1.093188493941034,1.237500000000003,1.3203665980210262,1.2789749999999889
pt,2021-04-14,1.05,0.9,0.9647649030895544,1.229500000000003,1.2302443986806844,1.268049999999989
pt,2021-04-15,0.9,0.86,0.926142582010332,1.2095000000000031,1.1201629324537896,1.2233749999999888
pt,2021-04-16,0.86,0.82,0.8939905947422083,1.1815000000000029,1.033441954969193,1.157649999999989
pt,2021-04-19,0.82,0.7941,0.8636355872468688,1.1490000000000031,0.9622946366461288,1.0815749999999889
pt,2021-04-20,0.7941,0.85,0.9186536138784195,1.114410000000003,0.9062297577640859,1.002313499999989
pt,2021-04-21,0.85,0.9,0.9927488805256087,1.065410000000003,0.8874865051760573,0.8955769999999887
pt,2021-04-22,0.9,0.8712,0.9063455253920236,1.016410000000003,0.8916576701173715,0.7993404999999887
pt,2021-04-23,0.8712,0.93,0.9867483267535286,0.9815300000000029,0.8848384467449144,0.7439359999999888
pt,2021-04-26,0.93,0.94,0.969280692799737,0.930530000000003,0.8998922978299431,0.6590314999999889
pt,2021-04-27,0.94,0.932,0.9554389024880116,0.8915300000000028,0.9132615318866288,0.613426999999989
pt,2021-04-28,0.932,0.912,0.9249931035797394,0.8797300000000028,0.9195076879244193,0.636392499999989
pt,2021-04-29,0.912,0.9,0.9343683808806788,0.8809300000000029,0.9170051252829463,0.688677999999989
pt,2021-04-30,0.9,0.87,0.8862258645824047,0.884930000000003,0.9113367501886309,0.7431634999999891
pt,2021-05-03,0.87,0.8397,0.8836007601808773,0.8899300000000029,0.8975578334590872,0.7945239999999891
pt,2021-05-04,0.8397,0.83,0.8589472312339308,0.8944900000000029,0.8782718889727248,0.838911999999989
pt,2021-05-05,0.83,0.847,0.8723139971698943,0.8924900000000029,0.8621812593151499,0.8598499999999891
pt,2021-05-06,0.847,0.8455,0.8634895045989821,0.8871900000000028,0.8571208395434333,0.8659829999999891
pt,2021-05-07,0.8455,0.84,0.8590300290256501,0.8846200000000028,0.853247226362289,0.874094499999989
pt,2021-05-10,0.84,0.83,0.8603908102178295,0.8756200000000028,0.8488314842415261,0.8598309999999889
pt,2021-05-11,0.83,0.81,0.8344629158545843,0.8646200000000028,0.842554322827684,0.836367499999989
pt,2021-05-12,0.81,0.7896,0.8215086970025338,0.8524200000000028,0.8317028818851228,0.809963999999989
pt,2021-05-13,0.7896,0.8,0.8285251754751879,0.8401800000000028,0.8176685879234152,0.7854764999999891
pt,2021-05-14,0.8,1.19,1.3101030514723906,0.8301800000000028,0.8117790586156102,0.7686889999999892
pt,2021-05-17,1.19,1.04,1.0359287518563831,0.8621800000000028,0.9378527057437401,0.852851499999989
pt,2021-05-18,1.04,1.07,1.1364253923962528,0.8822100000000027,0.9719018038291601,0.904768499999989
pt,2021-05-19,1.07,1.07,1.0621758157160368,0.9062100000000027,1.0046012025527735,0.962710499999989
pt,2021-05-20,1.07,1.07,1.068590061518405,0.9285100000000028,1.026400801701849,1.0122624999999892
pt,2021-05-21,1.07,1.05,1.0604493431797666,0.9509600000000029,1.040933867801233,1.0584364999999891
pt,2021-05-24,1.05,0.98,0.9796551710863701,0.971960000000003,1.0439559118674886,1.0964854999999891
pt,2021-05-25,0.98,1.01,1.0284334673223947,0.9869600000000031,1.0226372745783259,1.1156344999999892
pt,2021-05-26,1.01,0.8918,0.8909531208361814,1.006960000000003,1.0184248497188841,1.1424534999999891
pt,2021-05-27,0.8918,0.9055,0.9333767012996199,1.0171800000000029,0.9762165664792561,1.1414534999999892
pt,2021-05-28,0.9055,0.9052,0.9351986739178794,1.027730000000003,0.9526443776528375,1.1381959999999893
pt,2021-06-01,0.9052,0.9,0.9083518683836176,0.999250000000003,0.9368295851018917,1.0464354999999894
pt,2021-06-02,0.9,0.89,0.9010218011665438,0.9852500000000031,0.9245530567345945,0.9959794999999894
pt,2021-06-03,0.89,0.92,0.9443424101334531,0.9672500000000032,0.9130353711563964,0.941823499999989
pt,2021-06-04,0.92,0.9483,0.9802111058159719,0.9522500000000031,0.9153569141042643,0.900762499999989
pt,2021-06-07,0.9483,0.947,0.9587347676448515,0.940080000000003,0.9263379427361762,0.871969499999989
pt,2021-06-08,0.947,0.9745,0.9956463281637146,0.9297800000000029,0.9332252951574509,0.8525464999999889
pt,2021-06-09,0.9745,0.9688,0.9696604208289221,0.9292300000000029,0.9469835301049673,0.8598309999999888
pt,2021-06-10,0.9688,0.9539,0.956192861476388,0.925110000000003,0.9542556867366448,0.8618084999999887
pt,2021-06-11,0.9539,0.9892,0.9940373393624059,0.931320000000003,0.9541371244910966,0.8902124999999887
pt,2021-06-14,0.9892,1.01,1.0194388288432514,0.939690000000003,0.9658247496607311,0.9243434999999888
pt,2021-06-15,1.01,0.972,0.9736619829412102,0.950170000000003,0.9805498331071542,0.9579054999999886
pt,2021-06-16,0.972,0.9688,0.9713526503872091,0.9573700000000029,0.9776998887381028,0.9800874999999886
pt,2021-06-17,0.9688,0.9449,0.9590858410850708,0.9652500000000028,0.9747332591587352,1.0000874999999887
pt,2021-06-18,0.9449,0.9122,0.9232283723709572,0.9677400000000029,0.9647888394391568,1.0039889999999887
pt,2021-06-21,0.9122,0.9036,0.9158348393594149,0.9641300000000029,0.9472592262927713,0.9913564999999886
pt,2021-06-22,0.9036,0.9,0.9020496146040172,0.9597900000000031,0.9327061508618475,0.9760049999999886
pt,2021-06-23,0.9,0.93,0.9498838579149502,0.9523400000000031,0.921804100574565,0.9539134999999886
pt,2021-06-24,0.93,0.96,0.9744363143769357,0.9484600000000031,0.92453606704971,0.9407109999999885
pt,2021-06-25,0.96,1.02,1.0501986615841186,0.9490700000000029,0.93635737803314,0.9395734999999886
pt,2021-06-28,1.02,0.985,0.9922744227746823,0.9521500000000028,0.9642382520220933,0.9454044999999887
pt,2021-06-29,0.985,1.14,1.1746032372117523,0.9496500000000028,0.9711588346813955,0.9392324999999888
pt,2021-06-30,1.14,1.04,1.0286953709424127,0.9664500000000029,1.0274392231209304,0.9798704999999888
pt,2021-07-01,1.04,1.02,1.009384175359685,0.9735700000000028,1.031626148747287,0.9964224999999889
pt,2021-07-02,1.02,1.0,1.014984127057948,0.9810800000000027,1.0277507658315248,1.013196499999989
pt,2021-07-06,1.0,0.948,0.9491284044047266,0.9898600000000026,1.0185005105543499,1.031286999999989
pt,2021-07-07,0.948,0.9306,0.9494306542406998,0.9943000000000026,0.9950003403695666,1.0372104999999892
pt,2021-07-08,0.9306,1.01,1.0417953224527539,0.9973600000000026,0.9735335602463777,1.0381074999999893
pt,2021-07-09,1.01,1.07,1.0779800900199763,1.0053600000000027,0.9856890401642519,1.0495724999999894
pt,2021-07-12,1.07,1.06,1.0508348555409535,1.0163600000000028,1.0137926934428347,1.0669789999999892
pt,2021-07-13,1.06,1.03,1.0298630681189347,1.0203600000000028,1.02919512896189,1.0667474999999893
pt,2021-07-14,1.03,1.08,1.0946281947399288,1.0248600000000028,1.0294634193079266,1.0667159999999893
pt,2021-07-15,1.08,1.1,1.1022719100647462,1.0188600000000028,1.0463089462052846,1.0438544999999892
pt,2021-07-16,1.1,1.09,1.0898840004856587,1.0248600000000028,1.0642059641368564,1.0511609999999894
pt,2021-07-19,1.09,1.13,1.1234151074346848,1.0318600000000029,1.0728039760912378,1.0610439999999892
pt,2021-07-20,1.13,1.1,1.1185222968426265,1.0448600000000028,1.0918693173941585,1.085293999999989
pt,2021-07-21,1.1,1.02,1.0210777652206644,1.0600600000000027,1.094579544929439,1.1134299999999893
pt,2021-07-22,1.02,1.05,1.0426177631219065,1.0690000000000026,1.069719696619626,1.1250339999999892
pt,2021-07-23,1.05,0.99,1.0192102686453088,1.0730000000000026,1.0631464644130841,1.1248879999999892
pt,2021-07-26,0.99,0.92,0.9409939116424679,1.0650000000000026,1.0387643096087227,1.0975919999999895
pt,2021-07-27,0.92,0.94,0.9617121910489822,1.0510000000000026,0.9991762064058152,1.0579959999999893
pt,2021-07-28,0.94,0.925,0.941229847347408,1.0420000000000027,0.9794508042705434,1.0329249999999894
pt,2021-07-29,0.925,0.92,0.9315223295597738,1.0265000000000026,0.9613005361803624,0.9930289999999895
pt,2021-07-30,0.92,0.9596,0.9669145524151745,1.0085000000000028,0.9475336907869083,0.9504829999999893
pt,2021-08-02,0.9596,0.89,0.9167511596386251,0.9954600000000028,0.9515557938579389,0.9233429999999894
pt,2021-08-03,0.89,0.92,0.9200394416066123,0.9714600000000029,0.9310371959052927,0.8743529999999893
pt,2021-08-04,0.92,0.91,0.9196244296367302,0.953460000000003,0.9273581306035285,0.8453429999999893
pt,2021-08-05,0.91,0.9351,0.9409562312520696,0.942460000000003,0.921572087069019,0.8368239999999891
pt,2021-08-06,0.9351,0.9418,0.9491419767253741,0.930970000000003,0.9260813913793461,0.8294034999999891
pt,2021-08-09,0.9418,0.9011,0.8982263731732028,0.926150000000003,0.9313209275862308,0.838180999999989
pt,2021-08-10,0.9011,0.855,0.872613356569437,0.924260000000003,0.9212472850574872,0.8524669999999889
pt,2021-08-11,0.855,0.855,0.872613356569437,0.915760000000003,0.8991648567049915,0.8501529999999888
