symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
rkt,2021-03-26,23.91,23.8,22.309215924249553,23.639999999999986,23.248566917305254,21.73335
rkt,2021-03-29,23.8,23.2,24.131426771790835,23.439999999999987,23.432377944870172,21.83275
rkt,2021-03-30,23.2,23.09,24.197703733888133,23.259999999999984,23.35491862991345,21.76015
rkt,2021-03-31,23.09,22.55,23.69500687264468,23.118999999999986,23.2666124199423,21.75355
rkt,2021-04-01,22.55,22.44,23.409011610907886,23.063999999999986,23.027741613294868,21.913800000000002
rkt,2021-04-05,22.44,22.65,23.059745819929713,23.000999999999987,22.83182774219658,22.03305
rkt,2021-04-06,22.65,22.58,23.408008817667366,22.966999999999988,22.771218494797722,22.2041
rkt,2021-04-07,22.58,22.57,23.44220733800025,22.92099999999999,22.707478996531815,22.3153
rkt,2021-04-08,22.57,22.75,23.566644631365033,22.925999999999988,22.661652664354545,22.501799999999996
rkt,2021-04-09,22.75,22.17,23.127534176748103,22.953999999999986,22.691101776236366,22.6912
rkt,2021-04-12,22.17,22.98,23.314794077874396,22.779999999999987,22.517401184157578,22.385199999999998
rkt,2021-04-13,22.98,22.25,22.93985037037948,22.697999999999986,22.671600789438386,22.291499999999996
rkt,2021-04-14,22.25,22.76,23.25767025147383,22.602999999999987,22.531067192958925,22.152549999999998
rkt,2021-04-15,22.76,22.12,22.92534375131865,22.569999999999986,22.607378128639287,22.152399999999993
rkt,2021-04-16,22.12,22.01,22.79081609290271,22.526999999999983,22.44491875242619,22.125449999999994
rkt,2021-04-19,22.01,21.67,22.455282814113115,22.483999999999984,22.299945834950794,22.095499999999994
rkt,2021-04-20,21.67,21.9,22.402730734046735,22.38599999999998,22.089963889967198,21.937649999999998
rkt,2021-04-21,21.9,21.87,22.43439897467424,22.317999999999984,22.026642593311465,21.858099999999997
rkt,2021-04-22,21.87,22.15,22.688424340460237,22.247999999999983,21.97442839554098,21.784799999999997
rkt,2021-04-23,22.15,22.57,23.034151541056005,22.187999999999985,22.032952263693986,21.749699999999997
rkt,2021-04-26,22.57,22.9,23.49565631723851,22.227999999999987,22.21196817579599,21.932499999999997
rkt,2021-04-27,22.9,22.86,23.536269840924426,22.219999999999988,22.441312117197327,21.984199999999994
rkt,2021-04-28,22.86,22.9,23.54807167881091,22.280999999999988,22.58087474479822,22.184999999999995
rkt,2021-04-29,22.9,22.45,23.045767314543294,22.29499999999999,22.68724982986548,22.261249999999997
rkt,2021-04-30,22.45,22.5,23.055528214758134,22.32799999999999,22.608166553243656,22.373599999999993
rkt,2021-05-03,22.5,22.49,22.974927233659617,22.37699999999999,22.572111035495773,22.51214999999999
rkt,2021-05-04,22.49,22.8,22.99042864351404,22.458999999999993,22.544740690330517,22.70619999999999
rkt,2021-05-05,22.8,19.01,19.32193036629346,22.548999999999992,22.629827126887015,22.896549999999987
rkt,2021-05-06,19.01,18.09,18.72214012693568,22.26299999999999,21.423218084591344,22.179299999999987
rkt,2021-05-07,18.09,17.66,18.245757327362377,21.856999999999992,20.31214538972756,21.213949999999986
rkt,2021-05-10,17.66,17.14,17.470414812199458,21.365999999999993,19.428096926485043,20.115749999999984
rkt,2021-05-11,17.14,16.68,17.095610764623938,20.78999999999999,18.66539795099003,18.890249999999984
rkt,2021-05-12,16.68,16.58,16.860643586903414,20.17199999999999,18.003598633993356,17.661599999999982
rkt,2021-05-13,16.58,17.34,17.552874718080723,19.53999999999999,17.52906575599557,16.494849999999982
rkt,2021-05-14,17.34,17.74,18.045154600195996,19.02899999999999,17.466043837330382,15.712199999999985
rkt,2021-05-17,17.74,17.61,18.015058840964496,18.55299999999999,17.557362558220255,15.095799999999986
rkt,2021-05-18,17.61,17.09,17.42119199640938,18.06499999999999,17.574908372146837,14.534899999999984
rkt,2021-05-19,17.09,17.23,17.498229481121825,17.493999999999993,17.413272248097893,13.865649999999984
rkt,2021-05-20,17.23,16.94,17.249948092499732,17.315999999999992,17.35218149873193,14.162699999999987
rkt,2021-05-21,16.94,16.9,17.135147495339368,17.20099999999999,17.214787665821287,14.573599999999988
rkt,2021-05-24,16.9,16.81,16.983992969805612,17.124999999999993,17.10985844388086,15.019749999999988
rkt,2021-05-25,16.81,17.46,17.424397535152334,17.09199999999999,17.009905629253907,15.491949999999985
rkt,2021-05-26,17.46,18.35,17.833116801338097,17.16999999999999,17.159937086169272,16.137249999999987
rkt,2021-05-27,18.35,17.71,17.80308683537583,17.34699999999999,17.55662472411285,16.908699999999985
rkt,2021-05-28,17.71,17.91,18.083434110810806,17.383999999999993,17.607749816075234,17.24794999999998
