symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
rs,2021-03-23,141.41,142.4,140.5944123061741,149.03400000000008,145.9784148650105,153.19890000000004
rs,2021-03-24,142.4,146.72,148.91930834892435,148.4000000000001,144.785609910007,150.41825000000006
rs,2021-03-25,146.72,155.62,157.0031806795188,147.9650000000001,145.43040660667134,148.43510000000006
rs,2021-03-26,155.62,150.8,152.8228417320532,148.24400000000009,148.8269377377809,148.50455000000005
rs,2021-03-29,150.8,151.25,150.4849062248082,148.0890000000001,149.4846251585206,147.70755000000005
rs,2021-03-30,151.25,152.29,150.48848713490935,148.2170000000001,150.07308343901374,147.76805000000007
rs,2021-03-31,152.29,155.65,156.23596699606043,148.4530000000001,150.81205562600917,148.2055000000001
rs,2021-04-01,155.65,156.95,156.19369044349054,149.0830000000001,152.4247037506728,149.72560000000007
rs,2021-04-05,156.95,154.86,154.80008439538986,149.90000000000012,153.93313583378188,151.71830000000006
rs,2021-04-06,154.86,154.53,154.02337441464073,150.7950000000001,154.2420905558546,153.76050000000004
rs,2021-04-07,154.53,154.28,154.14181577264662,152.10700000000008,154.33806037056974,156.57955000000004
rs,2021-04-08,154.28,154.26,152.0036310227637,153.29500000000007,154.31870691371316,158.81530000000004
rs,2021-04-09,154.26,156.59,155.4154740806271,154.04900000000006,154.29913794247545,159.78770000000003
rs,2021-04-12,156.59,154.3,156.15079389191476,154.14600000000004,155.06275862831697,159.14490000000004
rs,2021-04-13,154.3,155.54,154.40288256269636,154.49600000000004,154.80850575221132,159.05885000000006
rs,2021-04-14,155.54,155.09,155.02734846913287,154.92500000000004,155.05233716814087,159.12515000000005
rs,2021-04-15,155.09,156.01,155.82541368669624,155.20500000000004,155.06489144542726,158.81235000000007
rs,2021-04-16,156.01,155.3,155.8951691377859,155.24100000000004,155.37992763028484,157.97865000000007
rs,2021-04-19,155.3,152.85,153.6783646040126,155.07600000000002,155.35328508685657,156.78975000000008
rs,2021-04-20,152.85,155.12,154.93566395316154,154.875,154.51885672457107,155.6752500000001
rs,2021-04-21,155.12,155.16,158.06117014360473,154.934,154.7192378163807,155.3987000000001
rs,2021-04-22,155.16,157.49,156.96446091642116,155.022,154.86615854425384,155.3596500000001
rs,2021-04-23,157.49,159.81,156.94601767467145,155.345,155.7407723628359,155.9727500000001
rs,2021-04-26,159.81,160.02,159.63135387850414,155.667,157.09718157522394,156.5496000000001
rs,2021-04-27,160.02,162.12,161.99286598819145,156.239,158.07145438348266,157.71815000000015
rs,2021-04-28,162.12,163.62,163.94262921996588,156.89700000000002,159.42096958898844,159.06735000000018
rs,2021-04-29,163.62,160.31,159.9302082024518,157.75000000000003,160.82064639265897,160.81810000000016
rs,2021-04-30,160.31,164.55,164.37022110895498,158.18,160.65043092843933,161.45225000000016
rs,2021-05-03,164.55,168.85,169.3618523266973,159.10500000000002,161.95028728562625,163.16040000000015
rs,2021-05-04,168.85,171.3,171.83190063356827,160.705,164.25019152375086,166.28590000000014
rs,2021-05-05,171.3,174.99,175.77222563391842,162.323,166.60012768250058,169.22255000000013
rs,2021-05-06,174.99,177.24,179.64688727600716,164.30599999999998,169.39675178833375,172.78745000000015
rs,2021-05-07,177.24,175.68,176.4486660660971,166.281,172.01116785888917,176.08455000000015
rs,2021-05-10,175.68,176.48,176.44891502850317,167.868,173.2341119059261,178.22190000000015
rs,2021-05-11,176.48,167.83,170.87848832871836,169.514,174.31607460395074,180.34565000000015
rs,2021-05-12,167.83,172.44,172.40323741358566,170.08499999999998,172.15404973596716,179.79495000000014
rs,2021-05-13,172.44,170.56,170.2181474381954,170.967,172.24936649064477,180.01740000000015
rs,2021-05-14,170.56,170.6,170.03413396355097,171.99200000000002,171.68624432709652,180.50810000000016
rs,2021-05-17,170.6,167.81,168.18034562472465,172.597,171.32416288473104,179.99680000000015
rs,2021-05-18,167.81,166.39,167.33098007865874,172.493,170.15277525648736,177.96860000000015
rs,2021-05-19,166.39,165.59,164.63264323364072,172.002,168.89851683765824,175.28925000000015
rs,2021-05-20,165.59,165.93,165.5756111079887,171.062,167.79567789177216,171.92585000000014
rs,2021-05-21,165.93,168.25,168.2004527886262,169.931,167.17378526118145,168.55085000000014
rs,2021-05-24,168.25,165.24,165.7159886882866,169.18800000000002,167.5325235074543,166.49535000000014
rs,2021-05-25,165.24,166.45,165.1338362748556,168.06400000000002,166.76834900496954,163.90285000000011
rs,2021-05-26,166.45,168.31,166.87918705269237,167.92600000000002,166.6622326699797,163.8817000000001
rs,2021-05-27,168.31,168.07,168.43412201910013,167.513,167.21148844665314,163.3673000000001
rs,2021-05-28,168.07,172.38,171.52845578693612,167.264,167.49765896443543,163.45400000000012
rs,2021-06-01,172.38,169.05,170.45709214840974,167.442,169.12510597629029,164.67225000000013
rs,2021-06-02,169.05,169.48,168.687877963265,167.566,169.1000706508602,165.72130000000013
rs,2021-06-03,169.48,170.45,170.77696394801586,167.875,169.22671376724014,167.11285000000015
rs,2021-06-04,170.45,167.51,168.78893261417596,168.36100000000002,169.63447584482677,168.73300000000012
rs,2021-06-07,167.51,173.71,173.5618511267335,168.519,168.92631722988452,169.33980000000014
rs,2021-06-08,173.71,173.26,171.88890697185187,169.065,170.52087815325638,170.72325000000015
rs,2021-06-09,173.26,172.76,172.52724222046382,169.86700000000002,171.4339187688376,172.45780000000016
rs,2021-06-10,172.76,173.27,173.8736741916096,170.498,171.87594584589175,173.64950000000016
rs,2021-06-11,173.27,167.35,169.57132150642417,170.994,172.34063056392785,174.36735000000016
rs,2021-06-14,167.35,165.49,165.31055540486324,170.922,170.67708704261858,173.63865000000015
rs,2021-06-15,165.49,162.21,162.27822150177082,170.233,168.9480580284124,171.49750000000017
rs,2021-06-16,162.21,154.74,157.58469467529181,169.549,166.70203868560827,169.49005000000017
rs,2021-06-17,154.74,150.06,148.07138460573213,168.075,162.7146924570722,165.77505000000016
rs,2021-06-18,150.06,153.5,152.6756144957167,166.036,158.49646163804815,161.02630000000016
rs,2021-06-21,153.5,150.77,150.59361236289897,164.635,156.83097442536544,158.10640000000018
rs,2021-06-22,150.77,151.18,151.73210151553897,162.34099999999998,154.8106496169103,153.3800000000002
rs,2021-06-23,151.18,152.91,153.5478535353723,160.13299999999998,153.6004330779402,149.3201000000002
rs,2021-06-24,152.91,153.28,152.171725515307,158.148,153.3702887186268,146.2101000000002
rs,2021-06-25,153.28,148.74,149.73441852288826,156.149,153.34019247908452,143.43935000000022
rs,2021-06-28,148.74,148.75,149.29355684109203,154.288,151.80679498605636,141.28195000000022
rs,2021-06-29,148.75,150.9,151.61998056365752,152.614,150.78786332403757,139.7398000000002
rs,2021-06-30,150.9,152.92,153.3342131011362,151.483,150.82524221602506,139.6222000000002
rs,2021-07-01,152.92,152.44,152.67607009267428,151.30100000000002,151.52349481068336,141.6833000000002
rs,2021-07-02,152.44,148.93,149.67604818546528,151.53900000000004,151.8289965404556,144.4528500000002
rs,2021-07-06,148.93,150.79,151.1836520215222,151.08200000000005,150.86266436030374,145.34330000000023
rs,2021-07-07,150.79,148.4,149.66911440443099,151.08400000000003,150.83844290686918,147.03685000000021
rs,2021-07-08,148.4,151.69,151.87533540515594,150.80600000000004,150.02562860457948,147.74090000000018
rs,2021-07-09,151.69,152.75,153.56644184476673,150.68400000000003,150.58041906971965,148.55550000000022
rs,2021-07-12,152.75,150.24,151.11788040347275,150.63100000000003,151.30361271314644,149.25070000000022
rs,2021-07-13,150.24,149.92,150.86707161061233,150.78100000000003,150.94907514209763,150.15175000000022
rs,2021-07-14,149.92,151.01,152.3717446551407,150.89800000000005,150.60605009473176,150.70165000000023
rs,2021-07-15,151.01,148.44,149.0371337595861,150.90900000000005,150.74070006315452,150.81525000000022
rs,2021-07-16,148.44,144.67,144.36390155468453,150.46100000000004,149.97380004210302,149.82125000000025
rs,2021-07-19,144.67,148.76,149.87680390702863,149.68400000000003,148.20586669473533,148.15700000000024
rs,2021-07-20,148.76,150.84,150.76669175339015,149.66700000000003,148.39057779649022,148.32675000000023
rs,2021-07-21,150.84,149.98,150.6347707307098,149.67200000000003,149.20705186432684,148.55105000000023
rs,2021-07-22,149.98,151.31,151.27951245671085,149.83,149.46470124288456,149.09245000000024
rs,2021-07-23,151.31,153.76,153.6282897289545,149.792,150.07980082858973,149.13125000000022
rs,2021-07-26,153.76,153.27,153.5254696483431,149.893,151.30653388572648,149.49445000000023
rs,2021-07-27,153.27,153.51,154.3172844658054,150.196,151.96102259048433,150.33970000000025
rs,2021-07-28,153.51,158.74,159.42897293053088,150.555,152.47734839365623,151.28865000000025
rs,2021-07-29,158.74,157.15,157.6296732785644,151.328,154.56489892910417,153.15830000000022
rs,2021-07-30,157.15,154.67,155.21065342121426,152.199,155.42659928606946,155.07510000000025
rs,2021-08-02,154.67,157.44,158.9081471111561,153.199,155.1743995240463,157.04785000000024
rs,2021-08-03,157.44,151.46,152.71342822205764,154.067,155.92959968269753,158.55785000000023
rs,2021-08-04,151.46,150.4,150.99555821643608,154.12900000000002,154.43973312179835,158.04430000000025
rs,2021-08-05,150.4,152.73,153.30208181443248,154.17100000000002,153.09315541453225,157.49815000000027
rs,2021-08-06,152.73,152.73,153.30208181443248,154.31300000000005,152.9721036096882,157.17500000000024
