symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
sabr,2021-03-23,14.3,14.5,14.678838927689803,15.821999999999946,15.204718401448382,15.98527500000009
sabr,2021-03-24,14.5,14.94,15.28151051182159,15.726999999999947,14.969812267632257,15.647350000000088
sabr,2021-03-25,14.94,14.88,14.601050127765385,15.620999999999947,14.959874845088173,15.329850000000087
sabr,2021-03-26,14.88,14.56,14.505997204173738,15.481999999999946,14.93324989672545,14.974400000000088
sabr,2021-03-29,14.56,15.07,14.804395635585024,15.262999999999945,14.808833264483635,14.48645000000009
sabr,2021-03-30,15.07,14.81,14.655766922710455,15.168999999999945,14.895888842989091,14.345800000000091
sabr,2021-03-31,14.81,15.26,14.972494824873287,14.966999999999945,14.867259228659396,13.98930000000009
sabr,2021-04-01,15.26,15.56,15.10454710200582,14.887999999999943,14.998172819106264,13.963250000000091
sabr,2021-04-05,15.56,15.68,15.416895554808143,14.866999999999942,15.185448546070845,14.09615000000009
sabr,2021-04-06,15.68,15.31,15.141653621244881,14.955999999999943,15.350299030713897,14.475700000000092
sabr,2021-04-07,15.31,15.66,15.556383453740477,15.056999999999942,15.336866020475933,14.842950000000092
sabr,2021-04-08,15.66,15.37,15.026080446193856,15.172999999999941,15.444577346983955,15.216050000000092
sabr,2021-04-09,15.37,14.875,14.737341549513054,15.215999999999942,15.419718231322637,15.384300000000092
sabr,2021-04-12,14.875,15.12,15.065393741772814,15.215499999999944,15.238145487548426,15.423025000000091
sabr,2021-04-13,15.12,15.13,15.218192430912008,15.271499999999943,15.198763658365618,15.561750000000092
sabr,2021-04-14,15.13,14.97,14.739550767188097,15.277499999999943,15.175842438910413,15.56047500000009
sabr,2021-04-15,14.97,14.99,14.768141508901419,15.293499999999943,15.107228292606944,15.55150000000009
sabr,2021-04-16,14.99,15.39,15.258738307889995,15.266499999999946,15.068152195071297,15.427225000000089
sabr,2021-04-19,15.39,14.4,14.661278381083363,15.249499999999944,15.1754347967142,15.32735000000009
sabr,2021-04-20,14.4,15.21,15.263546454232667,15.121499999999944,14.916956531142802,14.98252500000009
sabr,2021-04-21,15.21,15.4,15.588616772268661,15.111499999999944,15.014637687428536,14.94935000000009
sabr,2021-04-22,15.4,15.57,15.194808290869862,15.085499999999945,15.143091791619025,14.897475000000089
sabr,2021-04-23,15.57,15.68,15.445134300531155,15.105499999999944,15.285394527746018,14.96405000000009
sabr,2021-04-26,15.68,15.42,15.151571489598611,15.185999999999945,15.416929685164012,15.169725000000088
sabr,2021-04-27,15.42,15.47,15.175818605908459,15.215999999999942,15.417953123442675,15.253050000000087
sabr,2021-04-28,15.47,15.16,15.148850042315331,15.249999999999943,15.435302082295118,15.342175000000088
sabr,2021-04-29,15.16,14.98,14.714177560900264,15.268999999999943,15.34353472153008,15.393350000000089
sabr,2021-04-30,14.98,15.07,14.939674225839646,15.26799999999994,15.222356481020054,15.39062500000009
sabr,2021-05-03,15.07,12.91,13.599256811595449,15.235999999999938,15.171570987346703,15.31265000000009
sabr,2021-05-04,12.91,12.47,13.00428430004537,15.086999999999938,14.417713991564469,14.945325000000091
sabr,2021-05-05,12.47,12.4,12.400738135102214,14.812999999999937,13.768475994376313,14.30510000000009
sabr,2021-05-06,12.4,12.97,13.290986020774064,14.512999999999938,13.312317329584209,13.640975000000092
sabr,2021-05-07,12.97,12.79,12.960686468123262,14.252999999999938,13.19821155305614,13.11885000000009
sabr,2021-05-10,12.79,12.98,13.341039306398011,13.963999999999936,13.062141035370761,12.579650000000091
sabr,2021-05-11,12.98,12.25,12.54500854060394,13.719999999999937,13.034760690247175,12.194050000000093
sabr,2021-05-12,12.25,12.33,12.566433639685451,13.397999999999936,12.773173793498117,11.666850000000094
sabr,2021-05-13,12.33,13.3,13.40821503085704,13.114999999999938,12.625449195665412,11.282450000000095
sabr,2021-05-14,13.3,13.2,13.193708830344608,12.94699999999994,12.850299463776944,11.210600000000095
sabr,2021-05-17,13.2,13.25,13.349054846709327,12.75999999999994,12.966866309184631,11.114500000000096
sabr,2021-05-18,13.25,12.92,12.912965573279411,12.79399999999994,13.061244206123089,11.543450000000094
sabr,2021-05-19,12.92,13.15,13.140286888498395,12.838999999999938,13.01416280408206,11.952050000000092
sabr,2021-05-20,13.15,12.8,13.012099903616026,12.91399999999994,13.05944186938804,12.379400000000093
sabr,2021-05-21,12.8,13.31,13.405734192521717,12.89699999999994,12.972961246258695,12.540300000000093
sabr,2021-05-24,13.31,13.27,13.373880211920824,12.948999999999941,13.085307497505799,12.822550000000096
sabr,2021-05-25,13.27,13.5,13.47273953661105,12.977999999999943,13.146871665003868,13.006350000000094
sabr,2021-05-26,13.5,13.81,13.71594439291803,13.102999999999943,13.26458111000258,13.363100000000092
sabr,2021-05-27,13.81,13.85,13.782290003686375,13.250999999999943,13.446387406668387,13.712700000000092
sabr,2021-05-28,13.85,14.6,14.50952746159846,13.30599999999994,13.580924937778924,13.796350000000093
sabr,2021-06-01,14.6,14.79,14.55650539378732,13.445999999999941,13.92061662518595,14.043450000000089
sabr,2021-06-02,14.79,14.2,14.213230345752592,13.599999999999941,14.2104110834573,14.307550000000088
sabr,2021-06-03,14.2,13.9,13.927972018249367,13.727999999999941,14.206940722304868,14.494200000000086
sabr,2021-06-04,13.9,14.01,13.931634947822737,13.80299999999994,14.104627148203246,14.548350000000084
sabr,2021-06-07,14.01,14.11,14.078466571135632,13.923999999999939,14.073084765468831,14.696800000000085
sabr,2021-06-08,14.11,13.87,13.901466970448926,14.00399999999994,14.085389843645888,14.738550000000084
sabr,2021-06-09,13.87,14.14,14.11128704073573,14.06399999999994,14.01359322909726,14.725650000000083
sabr,2021-06-10,14.14,14.39,14.254492236242703,14.12799999999994,14.055728819398174,14.731900000000087
sabr,2021-06-11,14.39,13.86,14.044782206605376,14.18599999999994,14.16715254626545,14.736650000000086
sabr,2021-06-14,13.86,13.73,13.746080080763884,14.18699999999994,14.064768364176967,14.607000000000088
sabr,2021-06-15,13.73,13.84,13.785928267220548,14.099999999999941,13.953178909451312,14.29140000000009
sabr,2021-06-16,13.84,13.96,13.941167368513106,14.004999999999942,13.915452606300876,13.993150000000089
sabr,2021-06-17,13.96,13.93,13.885576616041192,13.980999999999943,13.93030173753392,13.895200000000091
sabr,2021-06-18,13.93,14.04,14.008251990878811,13.983999999999943,13.930201158355947,13.87555000000009
sabr,2021-06-21,14.04,13.98,13.927730150856648,13.986999999999943,13.966800772237299,13.873600000000087
sabr,2021-06-22,13.98,13.96,13.925313455937333,13.973999999999943,13.971200514824867,13.845600000000086
sabr,2021-06-23,13.96,13.25,13.557966213137064,13.982999999999944,13.967467009883247,13.880250000000085
sabr,2021-06-24,13.25,13.16,13.03701985463091,13.893999999999943,13.728311339922165,13.692850000000083
sabr,2021-06-25,13.16,12.29,12.763195945847851,13.77099999999994,13.538874226614778,13.447600000000085
sabr,2021-06-28,12.29,12.21,12.45657847929513,13.613999999999942,13.122582817743186,13.141050000000087
sabr,2021-06-29,12.21,12.48,12.57254408774085,13.461999999999943,12.818388545162126,12.856750000000085
sabr,2021-06-30,12.48,12.59,12.661169773342703,13.325999999999942,12.705592363441419,12.618600000000086
sabr,2021-07-01,12.59,12.41,12.59164488464829,13.188999999999941,12.667061575627613,12.394900000000085
sabr,2021-07-02,12.41,12.06,12.332661865684653,13.03699999999994,12.581374383751744,12.156950000000084
sabr,2021-07-06,12.06,12.17,12.256442449325661,12.838999999999942,12.407582922501163,11.834150000000083
sabr,2021-07-07,12.17,11.44,11.631995469412244,12.65799999999994,12.328388615000776,11.579050000000084
sabr,2021-07-08,11.44,11.95,11.940218685444265,12.40599999999994,12.032259076667184,11.185600000000083
sabr,2021-07-09,11.95,12.05,12.17881894813779,12.27599999999994,12.00483938444479,11.103300000000084
sabr,2021-07-12,12.05,11.63,11.856438286804783,12.16499999999994,12.019892922963194,11.066700000000083
sabr,2021-07-13,11.63,11.59,11.797748523481351,12.098999999999942,11.889928615308797,11.128950000000083
sabr,2021-07-14,11.59,11.29,11.535207377342898,12.03699999999994,11.789952410205865,11.187700000000081
sabr,2021-07-15,11.29,11.05,11.205727152435427,11.917999999999939,11.62330160680391,11.101400000000082
sabr,2021-07-16,11.05,10.92,11.011472053973677,11.763999999999939,11.432201071202607,10.930150000000083
sabr,2021-07-19,10.92,11.3,11.604295675704147,11.614999999999938,11.26146738080174,10.770950000000084
sabr,2021-07-20,11.3,11.66,11.786031946864279,11.538999999999938,11.274311587201161,10.775950000000083
sabr,2021-07-21,11.66,11.55,11.625306906007328,11.487999999999937,11.402874391467442,10.823950000000085
sabr,2021-07-22,11.55,11.6,11.665380281555,11.498999999999937,11.451916260978296,10.987500000000086
sabr,2021-07-23,11.6,11.97,12.063631984853117,11.463999999999936,11.501277507318864,11.021800000000086
sabr,2021-07-26,11.97,11.75,11.896652126138397,11.455999999999936,11.657518338212578,11.108150000000085
sabr,2021-07-27,11.75,11.98,12.052041818022097,11.467999999999936,11.688345558808386,11.232800000000086
sabr,2021-07-28,11.98,12.01,12.11582349892683,11.506999999999938,11.785563705872258,11.409800000000088
sabr,2021-07-29,12.01,11.79,11.867172276125984,11.578999999999937,11.860375803914838,11.64065000000009
sabr,2021-07-30,11.79,11.37,11.660495721096215,11.652999999999937,11.836917202609893,11.842300000000089
sabr,2021-08-02,11.37,10.97,11.464898671841917,11.697999999999936,11.681278135073262,11.942350000000088
sabr,2021-08-03,10.97,10.88,10.989508143811044,11.664999999999937,11.444185423382175,11.84095000000009
sabr,2021-08-04,10.88,11.56,11.74548615426386,11.586999999999936,11.256123615588118,11.631100000000092
sabr,2021-08-05,11.56,11.49,11.563512764878492,11.587999999999937,11.357415743725413,11.620250000000093
sabr,2021-08-06,11.49,11.49,11.563512764878492,11.576999999999938,11.401610495816943,11.575800000000092
