symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
sqbg,2021-03-23,29.29,31.5,35.076272685699266,30.222999999999995,32.185512685459955,39.919450000000026
sqbg,2021-03-24,31.5,24.03,24.00190908824595,31.172999999999995,31.957008456973305,40.29390000000003
sqbg,2021-03-25,24.03,24.72,24.156722959141245,30.993000000000002,29.314672304648873,38.01105000000003
sqbg,2021-03-26,24.72,23.52,23.92236194364294,30.671,27.783114869765917,35.59685000000003
sqbg,2021-03-29,23.52,22.6,22.234922692937264,29.867999999999995,26.362076579843947,32.33460000000004
sqbg,2021-03-30,22.6,22.88,22.36646655726229,29.354999999999997,25.108051053229303,30.044550000000037
sqbg,2021-03-31,22.88,22.22,22.02705778565702,28.642999999999994,24.365367368819538,27.536000000000037
sqbg,2021-04-01,22.22,29.42,28.177686823773733,27.299,23.65024491254636,23.935250000000035
sqbg,2021-04-05,29.42,29.09,28.46132034835305,26.644000000000005,25.57349660836424,22.449250000000035
sqbg,2021-04-06,29.09,26.84,26.50215037118523,25.927000000000003,26.74566440557616,21.198100000000032
sqbg,2021-04-07,26.84,28.94,27.40183705854696,25.682,26.77710960371744,21.266750000000034
sqbg,2021-04-08,28.94,28.23,28.104217161282605,25.426,27.498073069144965,21.488800000000033
sqbg,2021-04-09,28.23,27.16,26.474163648159934,25.846000000000004,27.742048712763314,23.310850000000038
sqbg,2021-04-12,27.16,26.27,25.752607235966504,26.09000000000001,27.548032475175546,24.60800000000004
sqbg,2021-04-13,26.27,25.74,25.301632426609878,26.36500000000001,27.122021650117034,25.82095000000004
sqbg,2021-04-14,25.74,27.65,27.20578808410642,26.67900000000001,26.66134776674469,27.007350000000038
sqbg,2021-04-15,27.65,17.46,23.480078011577106,27.156000000000006,26.990898511163127,28.422900000000034
sqbg,2021-04-16,17.46,15.29,17.44514091807874,26.680000000000007,23.81393234077542,27.325750000000035
sqbg,2021-04-19,15.29,18.66,17.83286087686496,25.267000000000007,20.97262156051695,23.999800000000032
sqbg,2021-04-20,18.66,19.5,20.1313274514975,24.22400000000001,20.2017477070113,21.647750000000034
sqbg,2021-04-21,19.5,19.19,19.504640232322625,23.490000000000013,19.9678318046742,20.14155000000003
sqbg,2021-04-22,19.19,20.3,20.636978566130644,22.51500000000001,19.70855453644947,18.14070000000003
sqbg,2021-04-23,20.3,20.63,21.483270571185823,21.722000000000016,19.905703024299648,16.776800000000026
sqbg,2021-04-26,20.63,24.0,24.418310852084726,21.069000000000013,20.147135349533098,15.897450000000026
sqbg,2021-04-27,24.0,25.86,25.760638285847637,20.842000000000013,21.4314235663554,16.15840000000002
sqbg,2021-04-28,25.86,23.88,24.217341706716827,20.854000000000013,22.9076157109036,17.062150000000024
sqbg,2021-04-29,23.88,25.0,24.858324600630333,20.47700000000001,23.23174380726907,17.121500000000022
sqbg,2021-04-30,25.0,27.3,26.796028886263052,21.231000000000012,23.82116253817938,19.82385000000002
sqbg,2021-05-03,27.3,17.02,18.5550564366906,22.432000000000013,24.98077502545292,23.251600000000018
sqbg,2021-05-04,17.02,12.4,12.977991955911495,22.268000000000015,22.327183350301947,23.135000000000016
sqbg,2021-05-05,12.4,11.55,9.717764308390894,21.558000000000014,19.018122233534633,21.649800000000017
sqbg,2021-05-06,11.55,10.88,10.452802741529998,20.79400000000002,16.528748155689758,19.997950000000014
sqbg,2021-05-07,10.88,9.67,10.9424613407528,19.852000000000015,14.645832103793174,17.923450000000013
sqbg,2021-05-10,9.67,13.2,-151.9141204054246,18.756000000000014,12.987221402528784,15.530400000000014
sqbg,2021-05-11,13.2,12.49,4.158501500831109,17.676000000000013,13.058147601685857,13.305300000000017
sqbg,2021-05-12,12.49,10.07,10.422167991525745,16.339000000000016,12.868765067790573,10.640050000000016
sqbg,2021-05-13,10.07,9.89,11.044507852884545,14.958000000000016,11.93584337852705,8.015400000000016
sqbg,2021-05-14,9.89,10.0,10.866907340357985,13.447000000000013,11.2538955856847,5.405500000000015
sqbg,2021-05-17,10.0,9.71,10.485772152034462,11.717000000000015,10.835930390456468,2.6877500000000145
