symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
swi,2021-03-26,17.24,17.28,17.139673470782565,17.074,17.02919276205754,17.42125000000001
swi,2021-03-29,17.28,17.23,16.84833170064781,17.078,17.112795174705028,17.337650000000014
swi,2021-03-30,17.23,17.44,17.28390583100045,17.098,17.151863449803354,17.304100000000012
swi,2021-03-31,17.44,17.88,17.84568150052211,17.118,17.247908966535572,17.286750000000016
swi,2021-04-01,17.88,17.51,17.558702300805237,17.220999999999997,17.458605977690382,17.474050000000016
swi,2021-04-05,17.51,17.69,17.34793513250017,17.249999999999996,17.475737318460258,17.48835000000002
swi,2021-04-06,17.69,17.66,17.422021880770146,17.278999999999996,17.54715821230684,17.516450000000017
swi,2021-04-07,17.66,17.77,17.61739631921379,17.345999999999997,17.584772141537897,17.635050000000017
swi,2021-04-08,17.77,17.78,17.648020486995986,17.452999999999996,17.646514761025266,17.840150000000015
swi,2021-04-09,17.78,17.68,17.571195809427742,17.547999999999995,17.691009840683513,18.00025000000002
swi,2021-04-12,17.68,18.05,17.907117714524727,17.591999999999995,17.68733989378901,18.032550000000022
swi,2021-04-13,18.05,17.99,18.00721828189457,17.668999999999997,17.80822659585934,18.13640000000002
swi,2021-04-14,17.99,18.2,18.14384338142137,17.744999999999997,17.868817730572893,18.22935000000002
swi,2021-04-15,18.2,18.54,18.481941123448678,17.820999999999998,17.979211820381927,18.313900000000025
swi,2021-04-16,18.54,18.17,18.209105109783145,17.886999999999997,18.166141213587952,18.379000000000023
swi,2021-04-19,18.17,18.17,18.15221400628252,17.952999999999996,18.167427475725304,18.438550000000024
swi,2021-04-20,18.17,18.12,18.094835302924462,18.000999999999998,18.16828498381687,18.450250000000025
swi,2021-04-21,18.12,18.03,18.026694350723346,18.047,18.152189989211248,18.460100000000025
swi,2021-04-22,18.03,18.32,18.252950424639003,18.073,18.1114599928075,18.432100000000027
swi,2021-04-23,18.32,18.39,18.388029845022974,18.127,18.180973328538336,18.480250000000023
swi,2021-04-26,18.39,18.35,18.354082381505087,18.197999999999997,18.250648885692225,18.566850000000024
swi,2021-04-27,18.35,18.42,18.4043499761727,18.227999999999994,18.283765923794817,18.558000000000025
swi,2021-04-28,18.42,17.26,17.399658021110863,18.270999999999994,18.32917728252988,18.586600000000026
swi,2021-04-29,17.26,16.86,16.899707118558442,18.176999999999992,17.972784855019924,18.298200000000026
swi,2021-04-30,16.86,17.08,17.06646754614991,18.008999999999993,17.601856570013283,17.859900000000028
swi,2021-05-03,17.08,16.49,16.542630156629997,17.899999999999995,17.427904380008854,17.595350000000025
swi,2021-05-04,16.49,16.56,16.626234993610804,17.731999999999992,17.115269586672568,17.215700000000023
swi,2021-05-05,16.56,16.69,16.5951582939042,17.575999999999993,16.93017972444838,16.896350000000023
swi,2021-05-06,16.69,16.82,16.840870204572177,17.441999999999993,16.85011981629892,16.656000000000027
swi,2021-05-07,16.82,16.53,16.590632712455466,17.291999999999994,16.840079877532617,16.406250000000025
swi,2021-05-10,16.53,16.41,16.347623279077638,17.105999999999995,16.736719918355078,16.105050000000027
swi,2021-05-11,16.41,16.11,16.159555375793538,16.911999999999995,16.627813278903385,15.817450000000028
swi,2021-05-12,16.11,16.02,16.071359849789438,16.680999999999994,16.455208852602258,15.478450000000027
swi,2021-05-13,16.02,16.27,16.229960594607864,16.556999999999995,16.31013923506817,15.411450000000027
swi,2021-05-14,16.27,16.17,16.25151048029884,16.497999999999998,16.29675949004545,15.490600000000025
swi,2021-05-17,16.17,16.37,16.378596750744254,16.407,16.25450632669697,15.487050000000028
swi,2021-05-18,16.37,16.24,16.2552901860426,16.395,16.29300421779798,15.657600000000027
swi,2021-05-19,16.24,16.83,16.70983338220879,16.363,16.27533614519865,15.759550000000027
swi,2021-05-20,16.83,16.63,16.70605197588805,16.377,16.460224096799102,15.954300000000027
swi,2021-05-21,16.63,16.99,16.95527736314338,16.357999999999997,16.516816064532733,16.04690000000003
swi,2021-05-24,16.99,16.48,16.57436515184703,16.404,16.67454404302182,16.267200000000024
swi,2021-05-25,16.48,16.46,16.558582013650426,16.410999999999998,16.609696028681217,16.359850000000026
swi,2021-05-26,16.46,16.68,16.643163629818794,16.445999999999998,16.559797352454147,16.482600000000026
swi,2021-05-27,16.68,16.55,16.600904069825532,16.511999999999997,16.5998649016361,16.654350000000026
swi,2021-05-28,16.55,16.32,16.423204096103575,16.54,16.5832432677574,16.718050000000027
swi,2021-06-01,16.32,16.47,16.536304936662503,16.554999999999996,16.495495511838268,16.733350000000023
swi,2021-06-02,16.47,16.52,16.5353533206381,16.564999999999994,16.486997007892178,16.732850000000024
swi,2021-06-03,16.52,16.5,16.545640308641616,16.592999999999996,16.49799800526145,16.768350000000027
swi,2021-06-04,16.5,16.53,16.538800631467126,16.559999999999995,16.49866533684097,16.658400000000025
swi,2021-06-07,16.53,16.86,16.781386594763433,16.549999999999997,16.509110224560647,16.604600000000026
swi,2021-06-08,16.86,16.74,16.80697718197078,16.536999999999995,16.626073483040432,16.552150000000026
swi,2021-06-09,16.74,17.3,17.095236089343693,16.562999999999995,16.664048988693622,16.594350000000027
swi,2021-06-10,17.3,17.31,17.324237975295468,16.647,16.876032659129084,16.77420000000003
swi,2021-06-11,17.31,17.52,17.492653621327175,16.709999999999997,17.020688439419388,16.902000000000026
swi,2021-06-14,17.52,16.99,16.989684811451603,16.806999999999995,17.187125626279595,17.10445000000003
swi,2021-06-15,16.99,17.08,17.074181714459385,16.874,17.121417084186398,17.22410000000003
swi,2021-06-16,17.08,17.25,17.181833660694537,16.935,17.1076113894576,17.321100000000026
swi,2021-06-17,17.25,17.01,17.097010130600687,17.008,17.1550742596384,17.441350000000025
swi,2021-06-18,17.01,17.05,17.039038949178916,17.058999999999997,17.106716173092266,17.494000000000025
swi,2021-06-21,17.05,16.88,16.93220239537962,17.110999999999997,17.08781078206151,17.539850000000026
swi,2021-06-22,16.88,16.89,16.931379549965897,17.113,17.01854052137434,17.458450000000024
swi,2021-06-23,16.89,17.13,17.15081664952968,17.127999999999997,16.97569368091623,17.411200000000026
swi,2021-06-24,17.13,17.29,17.295168674188133,17.110999999999997,17.02712912061082,17.299100000000024
swi,2021-06-25,17.29,17.09,17.06187812650344,17.108999999999995,17.11475274707388,17.234250000000024
swi,2021-06-28,17.09,17.01,17.06131431074368,17.065999999999995,17.106501831382587,17.087900000000023
swi,2021-06-29,17.01,16.89,16.964749559042815,17.06799999999999,17.07433455425506,17.063800000000025
swi,2021-06-30,16.89,16.8,16.86619653952733,17.048999999999996,17.01288970283671,16.999200000000023
swi,2021-07-01,16.8,17.23,17.10598323317832,17.003999999999998,16.941926468557806,16.887300000000025
swi,2021-07-02,17.23,17.19,17.222684529094053,17.025999999999996,17.037950979038538,16.947250000000025
swi,2021-07-06,17.19,17.55,17.449986494425207,17.039999999999996,17.08863398602569,16.992900000000027
swi,2021-07-07,17.55,17.19,17.183105372664517,17.106999999999996,17.24242265735046,17.16130000000003
swi,2021-07-08,17.19,17.41,17.3608107578827,17.136999999999993,17.22494843823364,17.23495000000003
swi,2021-07-09,17.41,17.09,17.078782508638724,17.164999999999996,17.28663229215576,17.296850000000028
swi,2021-07-12,17.09,17.14,17.12861168341753,17.144999999999996,17.221088194770505,17.24145000000003
swi,2021-07-13,17.14,17.23,17.19862078157155,17.15,17.194058796513673,17.24135000000003
swi,2021-07-14,17.23,16.69,16.746414418389392,17.171999999999997,17.206039197675782,17.28075000000003
swi,2021-07-15,16.69,16.95,16.910978746947006,17.151999999999997,17.034026131783857,17.21530000000003
swi,2021-07-16,16.95,16.92,16.886161246378244,17.166999999999994,17.006017421189238,17.22835000000003
swi,2021-07-19,16.92,10.2,10.953135235458042,17.136,16.977344947459493,17.134350000000033
swi,2021-07-20,10.2,10.88,10.793462639509439,16.436999999999998,14.718229964972995,15.477300000000032
swi,2021-07-21,10.88,11.12,11.579702067421671,15.769999999999996,13.438819976648665,14.010350000000031
swi,2021-07-22,11.12,11.12,11.627034787157546,15.162999999999997,12.665879984432443,12.788950000000028
swi,2021-07-23,11.12,11.12,11.468592456929063,14.533999999999997,12.150586656288297,11.611100000000027
swi,2021-07-26,11.12,11.02,11.486455917211538,13.936999999999998,11.807057770858865,10.599800000000027
swi,2021-07-27,11.02,11.26,11.524682806224504,13.325,11.544705180572578,9.643550000000028
swi,2021-07-28,11.26,11.43,11.648049582419228,12.727999999999998,11.449803453715052,8.817650000000027
swi,2021-07-29,11.43,11.24,11.561624479953501,12.201999999999998,11.443202302476703,8.245150000000027
swi,2021-07-30,11.24,22.07,21.85625902851778,11.630999999999998,11.375468201651136,7.648050000000026
swi,2021-08-02,22.07,22.64,20.51423422785311,12.145999999999999,14.940312134434091,9.684050000000026
swi,2021-08-03,22.64,20.53,20.42672777461047,13.39,17.506874756289395,13.251100000000026
swi,2021-08-04,20.53,20.36,19.729331523334423,14.355,18.5145831708596,15.875850000000025
swi,2021-08-05,20.36,19.09,18.80357298891225,15.279000000000002,19.1297221139064,18.168450000000025
swi,2021-08-06,19.09,18.9,18.723612058539477,16.076,19.116481409270932,19.929650000000024
swi,2021-08-09,18.9,18.58,18.422279264015394,16.854000000000003,19.044320939513955,21.437100000000022
swi,2021-08-10,18.58,18.73,18.097298368003923,17.61,18.889547293009304,22.684350000000023
swi,2021-08-11,18.73,18.73,18.097298368003923,18.357,18.836364862006203,23.707500000000024
