symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
tblt,2021-03-23,1.19,1.1,1.0929834533287524,1.2019999999999995,1.2137270293416982,1.3133374999999992
tblt,2021-03-24,1.1,1.14,1.162612363970351,1.1979999999999995,1.1758180195611323,1.2850899999999992
tblt,2021-03-25,1.14,1.15,1.1492126958720525,1.1949999999999996,1.1638786797074216,1.2606924999999993
tblt,2021-03-26,1.15,0.9016,0.8630433207390199,1.1929999999999996,1.159252453138281,1.2396949999999993
tblt,2021-03-29,0.9016,0.9182,0.8835763144899179,1.1581599999999996,1.0733683020921876,1.1436234999999992
tblt,2021-03-30,0.9182,0.94,0.9264860835426665,1.1329799999999997,1.021645534728125,1.0765289999999994
tblt,2021-03-31,0.94,0.9468,0.9386585370067757,1.1029799999999996,0.9944303564854167,1.0045844999999993
tblt,2021-04-01,0.9468,0.9264,0.92424324233644,1.0786599999999997,0.9785535709902778,0.9535329999999993
tblt,2021-04-05,0.9264,1.02,1.0708952103580047,1.0472999999999995,0.9611690473268519,0.8932379999999993
tblt,2021-04-06,1.02,0.9788,0.992438231759449,1.0232999999999994,0.980779364884568,0.8585429999999994
tblt,2021-04-07,0.9788,0.9665,0.9704243402859591,1.0021799999999996,0.9801195765897119,0.8357159999999993
tblt,2021-04-08,0.9665,0.9338,0.9375599756251826,0.9888299999999995,0.9755797177264747,0.8337164999999993
tblt,2021-04-09,0.9338,0.8959,0.9009055269762544,0.9682099999999995,0.9616531451509831,0.8161849999999994
tblt,2021-04-12,0.8959,0.8525,0.858665948260068,0.9427999999999994,0.9397354301006554,0.7901899999999995
tblt,2021-04-13,0.8525,0.8573,0.854701844432825,0.9378899999999992,0.9106569534004371,0.8109554999999997
tblt,2021-04-14,0.8573,0.7359,0.7379877588715005,0.9317999999999993,0.8928713022669581,0.8259074999999998
tblt,2021-04-15,0.7359,0.7232,0.7225072748793928,0.9113899999999993,0.8405475348446387,0.8036209999999999
tblt,2021-04-16,0.7232,0.7405,0.7363180696205198,0.8890299999999993,0.8014316898964259,0.7761655
tblt,2021-04-19,0.7405,0.6983,0.6981582690394368,0.8704399999999994,0.7811211265976173,0.7562194999999999
tblt,2021-04-20,0.6983,0.7209,0.7101656694309907,0.8382699999999994,0.7535140843984116,0.703549
tblt,2021-04-21,0.7209,0.731,0.7258533070610983,0.8124799999999995,0.7426427229322744,0.6675289999999999
tblt,2021-04-22,0.731,0.7278,0.7197702088056483,0.7889299999999995,0.738761815288183,0.638639
tblt,2021-04-23,0.7278,0.7812,0.7835641636525682,0.7683299999999995,0.7351078768587886,0.6171209999999999
tblt,2021-04-26,0.7812,0.7768,0.7795585283740302,0.7568599999999995,0.7504719179058591,0.6163369999999999
tblt,2021-04-27,0.7768,0.785,0.7801428061440475,0.7492899999999996,0.7592479452705728,0.6257019999999999
tblt,2021-04-28,0.785,0.7792,0.7784561239967985,0.7420599999999995,0.7678319635137152,0.6360879999999999
