symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
tnxp,2021-03-26,1.27,1.21,1.217690538002409,1.3590000000000027,1.3139494753946312,1.4943900000000105
tnxp,2021-03-29,1.21,1.25,1.245662170799602,1.3490000000000024,1.2792996502630876,1.4384600000000105
tnxp,2021-03-30,1.25,1.28,1.2724476583426614,1.3470000000000026,1.2695331001753918,1.4035800000000105
tnxp,2021-03-31,1.28,1.22,1.223807966650563,1.3250000000000024,1.2730220667835948,1.3275500000000107
tnxp,2021-04-01,1.22,1.2,1.2093025015253374,1.3100000000000027,1.2553480445223966,1.2773000000000105
tnxp,2021-04-05,1.2,1.21,1.2146919128345193,1.2850000000000026,1.2368986963482644,1.2122500000000105
tnxp,2021-04-06,1.21,1.16,1.1724343611594967,1.2570000000000028,1.2279324642321763,1.1509500000000106
tnxp,2021-04-07,1.16,1.16,1.1698213632389387,1.2350000000000025,1.2052883094881175,1.1114000000000106
tnxp,2021-04-08,1.16,1.18,1.19417659827863,1.2270000000000025,1.1901922063254116,1.1095500000000107
tnxp,2021-04-09,1.18,1.09,1.12081440755784,1.2140000000000026,1.186794804216941,1.0988000000000107
tnxp,2021-04-12,1.09,1.09,1.1088453002147798,1.1960000000000026,1.1545298694779607,1.0782500000000106
tnxp,2021-04-13,1.09,1.09,1.1089022111445879,1.1840000000000024,1.1330199129853071,1.0730000000000106
tnxp,2021-04-14,1.09,1.04,1.0744983653081086,1.1680000000000024,1.118679941990205,1.0598500000000106
tnxp,2021-04-15,1.04,0.98,1.0105351770329478,1.1440000000000023,1.0924532946601366,1.0270000000000106
tnxp,2021-04-16,0.98,1.08,1.0828503729283927,1.1200000000000023,1.0549688631067577,0.9955000000000107
tnxp,2021-04-19,1.08,1.0,1.039307383097603,1.1080000000000025,1.0633125754045052,0.9920500000000108
tnxp,2021-04-20,1.0,1.025,1.0500352687923211,1.0870000000000026,1.0422083836030036,0.9650500000000107
tnxp,2021-04-21,1.025,1.03,1.0470878176712963,1.0735000000000026,1.0364722557353359,0.9555250000000107
tnxp,2021-04-22,1.03,1.04,1.0542363364403753,1.0605000000000024,1.0343148371568907,0.9480000000000107
tnxp,2021-04-23,1.04,1.1,1.107210162162497,1.0465000000000024,1.0362098914379272,0.9381250000000108
tnxp,2021-04-26,1.1,1.09,1.1012786143506288,1.0475000000000025,1.0574732609586182,0.962900000000011
tnxp,2021-04-27,1.09,1.14,1.1447925961797147,1.0475000000000025,1.0683155073057455,0.983375000000011
tnxp,2021-04-28,1.14,1.15,1.156471013528204,1.0525000000000024,1.0922103382038304,1.013200000000011
tnxp,2021-04-29,1.15,1.14,1.1448365965163827,1.0635000000000026,1.1114735588025537,1.052775000000011
tnxp,2021-04-30,1.14,1.14,1.1464541606062835,1.0795000000000026,1.1209823725350359,1.0988500000000108
tnxp,2021-05-03,1.14,1.15,1.1546785645418551,1.0855000000000028,1.127321581690024,1.1172250000000108
tnxp,2021-05-04,1.15,1.13,1.1320486254582234,1.1005000000000027,1.134881054460016,1.1527000000000107
tnxp,2021-05-05,1.13,1.1,1.11012910542228,1.1110000000000027,1.1332540363066774,1.1733250000000108
tnxp,2021-05-06,1.1,1.07,1.0838135012852832,1.1180000000000025,1.1221693575377851,1.182200000000011
tnxp,2021-05-07,1.07,1.03,1.0496094315053488,1.1210000000000027,1.1047795716918567,1.1785250000000107
tnxp,2021-05-10,1.03,1.04,1.0591638418501073,1.1140000000000025,1.0798530477945711,1.1510500000000108
