symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
tsla,2021-03-26,618.71,611.29,589.7000709888525,661.6189999999993,639.6124800041388,653.5728499999998
tsla,2021-03-29,611.29,635.62,625.47036499661,651.9539999999994,630.1716533360925,630.0913499999998
tsla,2021-03-30,635.62,667.93,663.2229532178953,647.8279999999993,631.9877688907284,620.9328499999998
tsla,2021-03-31,667.93,661.75,665.2158051006122,644.4399999999994,643.968512593819,614.8566999999997
tsla,2021-04-01,661.75,691.05,684.4570865963523,645.2989999999994,649.895675062546,619.7449999999997
tsla,2021-04-05,691.05,691.62,683.0901640000786,648.9169999999995,663.6137833750307,631.8418999999997
tsla,2021-04-06,691.62,670.97,670.4347718763936,651.0789999999995,672.9491889166871,641.5794999999996
tsla,2021-04-07,670.97,683.8,677.3020867959045,651.9599999999995,672.2894592777915,647.8111499999995
tsla,2021-04-08,683.8,677.02,668.2864287772218,657.3129999999995,676.1263061851944,663.8529999999995
tsla,2021-04-09,677.02,701.98,694.3774898219989,660.9759999999995,676.4242041234629,674.2322499999996
tsla,2021-04-12,701.98,762.32,749.5886312090544,669.3029999999997,684.9428027489753,693.8971499999996
tsla,2021-04-13,762.32,732.23,734.7409678914781,684.4059999999996,710.7352018326503,726.7868499999996
tsla,2021-04-14,732.23,738.85,718.4292603876748,694.0669999999996,717.9001345551003,744.0034999999996
tsla,2021-04-15,738.85,739.78,734.3324882145128,701.1589999999995,724.8834230367336,753.2256499999996
tsla,2021-04-16,739.78,714.63,703.3204225894649,708.9619999999995,729.8489486911558,763.1836999999996
tsla,2021-04-19,714.63,718.99,722.4718762056045,711.3199999999995,724.775965794104,759.7182499999997
tsla,2021-04-20,718.99,744.12,727.5047302335189,714.0569999999996,722.8473105294026,757.1140499999996
tsla,2021-04-21,744.12,719.69,724.7789632370086,721.3719999999995,729.9382070196018,764.9897499999995
tsla,2021-04-22,719.69,729.4,726.2069858002397,724.9609999999994,726.5221380130679,763.8150499999996
tsla,2021-04-23,729.4,738.2,736.4561700691208,730.1989999999994,727.4814253420453,766.5265999999996
tsla,2021-04-26,738.2,704.74,709.174469337507,733.8209999999993,731.0542835613636,765.9038999999997
tsla,2021-04-27,704.74,694.4,700.2143430401044,728.0629999999994,722.2828557075758,744.9603499999997
tsla,2021-04-28,694.4,677.0,675.9366302143609,724.2799999999994,712.9885704717171,730.9708999999997
tsla,2021-04-29,677.0,709.44,707.8727194609403,718.0949999999993,700.9923803144782,712.9679999999997
tsla,2021-04-30,709.44,684.9,685.427171229862,715.0609999999995,703.8082535429855,704.4681499999998
tsla,2021-05-03,684.9,673.6,671.3814792225161,712.0879999999994,697.5055023619904,696.9204499999998
tsla,2021-05-04,673.6,670.94,673.5810861261026,707.5489999999994,689.5370015746603,686.5491499999998
tsla,2021-05-05,670.94,663.54,661.9684091941574,700.2309999999995,683.3380010497735,671.4252999999998
tsla,2021-05-06,663.54,672.37,677.8965277025316,694.6159999999994,676.7386673665158,661.9395499999997
tsla,2021-05-07,672.37,629.04,641.939651210483,688.9129999999994,675.2824449110105,653.8749499999997
tsla,2021-05-10,629.04,617.2,632.6546788676978,677.9969999999995,659.8682966073404,634.9585499999996
tsla,2021-05-11,617.2,589.89,610.0621023867691,669.2429999999995,645.6455310715603,621.8965499999996
tsla,2021-05-12,589.89,571.69,588.6521951313994,658.7919999999996,627.0603540477069,605.5922499999995
tsla,2021-05-13,571.69,589.74,593.6876282632378,648.2609999999995,608.603569365138,589.7398499999995
tsla,2021-05-14,589.74,576.83,584.460509987155,636.2909999999995,602.3157129100921,571.6303499999995
tsla,2021-05-17,576.83,577.87,587.083221123797,625.4839999999995,593.8204752733948,557.6034499999994
tsla,2021-05-18,577.87,563.46,570.7754075134843,615.9109999999994,588.5036501822633,547.4166499999994
tsla,2021-05-19,563.46,586.78,587.1846971021272,605.1629999999993,580.1557667881756,534.8068499999994
tsla,2021-05-20,586.78,580.88,587.378096480832,597.4869999999994,582.3638445254504,530.1861999999994
tsla,2021-05-21,580.88,606.44,603.8422620252826,588.3379999999994,581.8692296836336,522.3999499999994
tsla,2021-05-24,606.44,604.69,607.7148239652099,586.0779999999994,590.0594864557559,530.5377999999995
tsla,2021-05-25,604.69,619.13,618.3725809053166,584.8269999999994,594.9363243038373,540.0726999999995
tsla,2021-05-26,619.13,630.85,628.9425206418346,587.7509999999994,603.0008828692248,558.0388499999996
tsla,2021-05-27,630.85,625.22,627.3999580988532,593.6669999999995,612.2839219128166,581.0179499999996
tsla,2021-05-28,625.22,623.9,624.3235399073018,597.2149999999995,616.5959479418777,595.7493499999996
tsla,2021-06-01,623.9,605.12,609.0838676812343,601.9219999999995,619.0306319612519,611.0511499999996
tsla,2021-06-02,605.12,572.84,583.7686613036095,604.6469999999995,614.3937546408346,619.5532499999996
tsla,2021-06-03,572.84,599.05,594.5792449264208,605.5849999999995,600.5425030938898,621.8349499999996
tsla,2021-06-04,599.05,605.13,600.3602560824962,606.8119999999996,600.0450020625932,623.5036999999995
tsla,2021-06-07,605.13,603.59,606.3336418609978,609.2369999999995,601.7400013750621,626.4313499999995
tsla,2021-06-08,603.59,598.78,600.1219112860382,608.9519999999995,602.3566675833747,622.2877499999994
tsla,2021-06-09,598.78,610.12,610.101622403602,608.3609999999995,601.1644450555832,617.2801499999994
tsla,2021-06-10,610.12,609.89,606.808799241696,607.4599999999995,604.1496300370554,612.0712999999994
tsla,2021-06-11,609.89,617.69,616.5168091383039,605.3639999999995,606.0630866913704,605.0767499999995
tsla,2021-06-14,617.69,599.36,601.9882207032147,604.6109999999994,609.9387244609136,602.0848499999995
tsla,2021-06-15,599.36,604.87,603.8935225035664,602.1569999999995,606.4124829739425,595.9145999999994
