symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
whlr,2021-03-23,3.57,3.42,3.5092151036449923,3.183500000000003,3.321858224119806,3.204949999999994
whlr,2021-03-24,3.42,3.35,3.3158272819157406,3.2025000000000032,3.3545721494132046,3.262274999999994
whlr,2021-03-25,3.35,3.46,3.4138074206317985,3.2135000000000034,3.3530480996088032,3.2929999999999944
whlr,2021-03-26,3.46,3.4,3.413909331514208,3.2510000000000034,3.3886987330725358,3.3808249999999935
whlr,2021-03-29,3.4,3.48,3.4123595780009217,3.292000000000003,3.3924658220483574,3.465399999999994
whlr,2021-03-30,3.48,3.75,3.5564087570485863,3.3490000000000024,3.421643881365572,3.574524999999994
whlr,2021-03-31,3.75,3.6,3.5717994191289706,3.4100000000000024,3.531095920910382,3.682549999999994
whlr,2021-04-01,3.6,3.74,3.618108018888507,3.4650000000000025,3.5540639472735878,3.766874999999994
whlr,2021-04-05,3.74,4.05,3.83126868183616,3.5040000000000027,3.6160426315157252,3.8081999999999936
whlr,2021-04-06,4.05,3.75,3.710215780992833,3.582000000000002,3.76069508767715,3.9371249999999938
whlr,2021-04-07,3.75,3.83,3.7646941566164562,3.6000000000000023,3.7571300584514336,3.9196499999999936
whlr,2021-04-08,3.83,3.89,3.806946694581429,3.641000000000002,3.7814200389676227,3.9563749999999933
whlr,2021-04-09,3.89,3.86,3.822181092694508,3.6950000000000016,3.817613359311749,4.019149999999994
whlr,2021-04-12,3.86,3.88,3.8617839251065442,3.7350000000000017,3.831742239541166,4.046549999999994
whlr,2021-04-13,3.88,3.88,3.8584715596867944,3.783000000000002,3.847828159694111,4.092899999999993
whlr,2021-04-14,3.88,3.92,3.8736287577459425,3.8230000000000026,3.8585521064627413,4.121799999999993
whlr,2021-04-15,3.92,4.05,3.9370399020839675,3.8400000000000025,3.879034737641828,4.099799999999993
whlr,2021-04-16,4.05,4.27,4.110420399015092,3.8850000000000025,3.9360231584278855,4.149299999999992
whlr,2021-04-19,4.27,4.15,4.101776542125917,3.9380000000000015,4.0473487722852575,4.216699999999993
whlr,2021-04-20,4.15,4.33,4.20694737793352,3.9480000000000017,4.081565848190172,4.186799999999993
whlr,2021-04-21,4.33,4.25,4.248179448469802,4.006000000000002,4.164377232126782,4.270899999999993
whlr,2021-04-22,4.25,4.29,4.296848129053809,4.048000000000002,4.1929181547511885,4.314849999999994
whlr,2021-04-23,4.29,4.41,4.382208280605614,4.088000000000002,4.225278769834126,4.355899999999993
whlr,2021-04-26,4.41,4.37,4.434642153279388,4.1430000000000025,4.286852513222751,4.432199999999993
whlr,2021-04-27,4.37,4.3,4.25121869578339,4.192000000000002,4.314568342148501,4.493349999999994
