symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
wprt,2021-03-26,7.17,6.57,6.608263692528241,8.400999999999975,7.611286735112125,7.60075
wprt,2021-03-29,6.57,6.89,6.965414796699821,8.032999999999976,7.264191156741417,6.847699999999999
wprt,2021-03-30,6.89,7.19,7.44013743081349,7.8469999999999756,7.139460771160945,6.5589499999999985
wprt,2021-03-31,7.19,7.19,6.95690274098865,7.6499999999999755,7.156307180773964,6.261149999999999
wprt,2021-04-01,7.19,7.04,6.875439860810514,7.477999999999976,7.167538120515976,6.05765
wprt,2021-04-05,7.04,7.11,7.046148198553693,7.2969999999999775,7.125025413677318,5.871699999999999
wprt,2021-04-06,7.11,6.78,6.665842411482222,7.143999999999977,7.120016942451546,5.789799999999998
wprt,2021-04-07,6.78,6.88,6.720045794013862,7.0519999999999765,7.006677961634364,5.863849999999998
wprt,2021-04-08,6.88,6.69,6.5356371602831596,7.0119999999999765,6.96445197442291,6.044199999999997
wprt,2021-04-09,6.69,6.33,6.315050868744153,6.9509999999999765,6.872967982948607,6.147749999999998
wprt,2021-04-12,6.33,6.48,6.389513347335628,6.866999999999976,6.6919786552990725,6.167849999999997
wprt,2021-04-13,6.48,6.49,6.648449272674103,6.857999999999976,6.6213191035327155,6.321599999999997
wprt,2021-04-14,6.49,6.33,6.367184636797831,6.817999999999975,6.57754606902181,6.375949999999998
wprt,2021-04-15,6.33,6.49,6.521167760309438,6.731999999999975,6.495030712681208,6.298649999999997
wprt,2021-04-16,6.49,6.33,6.366261211174117,6.661999999999975,6.493353808454139,6.246049999999997
wprt,2021-04-19,6.33,5.96,6.085037677238562,6.590999999999974,6.438902538969426,6.174449999999997
wprt,2021-04-20,5.96,6.385,6.5666551241526525,6.475999999999973,6.279268359312951,5.987149999999998
wprt,2021-04-21,6.385,6.57,6.691853869793405,6.436499999999974,6.314512239541967,5.980724999999998
wprt,2021-04-22,6.57,6.89,6.938563858940617,6.405499999999975,6.399674826361313,5.9941999999999975
wprt,2021-04-23,6.89,7.08,7.109480654186738,6.425499999999976,6.563116550907543,6.123024999999997
wprt,2021-04-26,7.08,7.31,7.322818405872835,6.500499999999976,6.735411033938362,6.365499999999996
wprt,2021-04-27,7.31,7.13,6.88798462959832,6.583499999999975,6.926940689292242,6.614174999999996
wprt,2021-04-28,7.13,7.045,6.831070418922603,6.647499999999975,6.994627126194828,6.799749999999996
wprt,2021-04-29,7.045,6.83,6.762309685896707,6.718999999999975,7.011418084129886,6.980449999999996
wprt,2021-04-30,6.83,6.62,6.5303083742959185,6.752999999999976,6.950945389419925,7.051799999999996
wprt,2021-05-03,6.62,6.535,6.420895517042012,6.781999999999977,6.840630259613283,7.0956499999999965
wprt,2021-05-04,6.535,6.45,6.309290048131365,6.839499999999977,6.738753506408855,7.184874999999996
wprt,2021-05-05,6.45,6.135,6.13472735835813,6.845999999999977,6.6425023376059045,7.139699999999996
wprt,2021-05-06,6.135,6.25,6.425003940042106,6.802499999999978,6.47333489173727,6.971399999999996
wprt,2021-05-07,6.25,5.26,5.932504344122155,6.738499999999978,6.398889927824847,6.764449999999995
wprt,2021-05-10,5.26,5.5,5.993111486191349,6.5564999999999785,6.019259951883232,6.301049999999995
wprt,2021-05-11,5.5,5.15,5.208595124450326,6.375499999999978,5.846173301255488,5.879749999999994
wprt,2021-05-12,5.15,5.07,5.192458697032046,6.177499999999979,5.614115534170326,5.455249999999994
wprt,2021-05-13,5.07,5.36,5.3957919793222855,5.979999999999978,5.432743689446884,5.072349999999994
wprt,2021-05-14,5.36,5.455,5.410051704753369,5.832999999999979,5.40849579296459,4.842849999999993
wprt,2021-05-17,5.455,5.53,5.513713437940258,5.716499999999979,5.4239971953097275,4.711424999999993
wprt,2021-05-18,5.53,5.59,5.581025157475401,5.615999999999978,5.459331463539819,4.643699999999993
wprt,2021-05-19,5.59,5.58,5.498974973345995,5.529999999999978,5.502887642359879,4.626099999999992
