symbol,time,actual,predict,model_01,sma_10,ema_5,isma_10
zom,2021-03-24,1.53,1.8,1.9695982102596183,2.098000000000001,1.8540298074026162,2.1053499999999987
zom,2021-03-25,1.8,1.69,1.7037791517516632,2.068000000000001,1.8360198716017444,2.016849999999999
zom,2021-03-26,1.69,1.6,1.6167768461389411,2.0080000000000013,1.7873465810678297,1.8686499999999988
zom,2021-03-29,1.6,1.64,1.6463367681672103,1.9190000000000011,1.7248977207118865,1.6677499999999987
zom,2021-03-30,1.64,1.58,1.6637744284233738,1.8570000000000015,1.696598480474591,1.5457499999999988
zom,2021-03-31,1.58,1.46,1.5157287790054221,1.7900000000000014,1.657732320316394,1.4245999999999988
zom,2021-04-01,1.46,1.33,1.405200697534155,1.7260000000000013,1.591821546877596,1.3239999999999987
zom,2021-04-05,1.33,1.4,1.528380746994073,1.6440000000000012,1.5045476979183976,1.1962499999999987
zom,2021-04-06,1.4,1.23,1.3075520757324304,1.583000000000001,1.4696984652789318,1.132099999999999
zom,2021-04-07,1.23,1.32,1.2976051160308206,1.526000000000001,1.3897989768526213,1.0821499999999988
zom,2021-04-08,1.32,1.24,1.221749929554109,1.505000000000001,1.366532651235081,1.1185999999999987
zom,2021-04-09,1.24,1.12,1.116570248202539,1.449000000000001,1.3243551008233876,1.0714499999999987
zom,2021-04-12,1.12,1.0,1.0312020222851848,1.392000000000001,1.2562367338822584,1.0213499999999986
zom,2021-04-13,1.0,1.13,1.1763716701978169,1.3320000000000012,1.170824489254839,0.9593999999999987
zom,2021-04-14,1.13,0.9751,1.0003759439792574,1.281000000000001,1.1572163261698927,0.9182999999999988
zom,2021-04-15,0.9751,0.85,0.8314583409051934,1.2205100000000009,1.0965108841132618,0.8524984999999987
zom,2021-04-16,0.85,0.8466,0.8524786294038804,1.159510000000001,1.0143405894088413,0.7849719999999987
zom,2021-04-19,0.8466,0.7603,0.7381538774994333,1.1111700000000009,0.9584270596058942,0.7440464999999987
zom,2021-04-20,0.7603,0.8348,0.7711310260869118,1.047200000000001,0.8923847064039295,0.6644914999999988
zom,2021-04-21,0.8348,0.923,0.8987359573689252,1.007680000000001,0.8731898042692864,0.6434394999999987
zom,2021-04-22,0.923,0.9433,0.9089317413123765,0.967980000000001,0.889793202846191,0.6247424999999988
zom,2021-04-23,0.9433,1.13,1.1061837003393742,0.938310000000001,0.9076288018974608,0.6271709999999988
zom,2021-04-26,1.13,1.1,1.1444502629260223,0.9393100000000008,0.9817525345983071,0.6975744999999989
zom,2021-04-27,1.1,1.08,1.047344942042052,0.9493100000000008,1.0211683563988716,0.7799779999999988
zom,2021-04-28,1.08,1.02,0.9919122852682112,0.9443100000000009,1.0407789042659146,0.817981499999999
zom,2021-04-29,1.02,1.06,1.0352893242256633,0.9488000000000009,1.0338526028439432,0.8699629999999992
zom,2021-04-30,1.06,0.9602,0.9575494405779643,0.9698000000000009,1.0425684018959622,0.9509194999999993
